parking_id,segment_id,access_node,egress_node
1,38867,5343,5554
2,172408,1793,7535
3,30804,5334,5333
4,23655,1394,2458
5,134419,1738,1738
6,165067,1379,2679
7,188081,10768,4716
8,217410,6853,1941
9,201015,803,8995
10,236545,5551,5552
11,107785,4378,4063
12,212009,4554,4954
13,210385,1516,2775
14,168937,3500,3102
15,219824,6418,6417
16,169119,6395,9635
17,240119,5299,5298
18,19298,2135,6912
19,13509,6208,6088
20,188576,4920,5051
21,15055,6280,8800
22,113705,5145,5589
23,203201,1823,2613
24,145418,6347,5736
25,101631,6102,6269
26,203365,10961,6175
27,230013,2892,3556
28,15973,8246,8247
29,116189,7142,1905
30,14820,8953,4047
31,237238,1780,2113
32,146174,928,991
33,125534,4,8946
34,44950,9387,10139
35,30674,6254,6442
36,159154,10833,1275
37,176234,8089,1582
38,86024,5362,5361
39,228531,9294,8745
40,216501,6369,6284
41,134337,9198,7723
42,251728,5556,5446
43,92111,5119,5345
44,90181,5570,5177
45,183306,11365,3581
46,181415,4512,5048
47,30042,6253,5736
48,178964,2497,2592
49,106023,3383,3384
50,64981,9225,7999
51,213320,5962,5976
52,165238,2083,9842
53,87714,3795,3794
54,99701,4174,4173
55,136253,7149,2001
56,169514,8970,4743
57,36291,874,873
58,195191,5528,9028
59,42477,2814,2787
60,214013,9094,6443
61,11174,372,90
62,222343,4020,4019
63,169825,1583,1746
64,121119,11319,11318
65,160293,5187,5162
66,174344,10098,10096
67,65100,9918,7360
68,144197,6314,9105
69,123794,9842,2083
70,107648,168,604
71,212629,10837,732
72,190245,2097,2192
73,56268,4876,9905
74,132686,10602,6664
75,154672,5409,5410
76,68033,6895,2320
77,132773,1269,1268
78,60954,1620,10132
79,170781,9084,4998
80,95575,10932,1275
81,1846,960,593
82,170449,4756,6567
83,163157,3478,3640
84,52849,5040,4944
85,106460,6899,916
86,86978,693,734
87,99804,2047,2048
88,115666,1011,8109
89,222266,4791,9223
90,94534,5054,4991
91,179532,9139,9142
92,131826,5907,5999
93,200116,9494,7648
94,243057,3992,3991
95,198637,3547,3546
96,240936,10769,4715
97,72047,4889,4888
98,50061,5093,875
99,90792,2042,2296
100,132420,6342,11076
101,87025,693,692
102,78411,10716,6927
103,102896,2185,6393
104,45980,588,589
105,54764,444,443
106,198494,9347,11412
107,133845,4727,786
108,193762,1815,1816
109,63579,7993,846
110,220453,2606,1898
111,178035,4771,4683
112,220406,828,6890
113,97964,5055,9720
114,205786,2806,2707
115,18510,9245,5487
116,195251,8637,3647
117,104993,3008,4093
118,177001,65,64
119,179119,9630,9629
120,157038,8451,3797
121,171432,2657,692
122,240782,2274,2202
123,66497,2973,3148
124,222835,1995,1235
125,18319,1541,1282
126,55816,5562,5466
127,84889,2475,7830
128,141046,9333,5052
129,92175,11410,6515
130,18260,600,655
131,170268,9036,5014
132,171822,616,617
133,56833,7976,7977
134,124495,734,723
135,160572,9021,7027
136,56226,7104,4732
137,104691,6258,6259
138,42469,2814,2787
139,104870,2187,118
140,160174,9661,6656
141,158731,37,33
