,parking_id,segment_id,access_node,egress_node,id,z,traffic_li,tags,node_type,geometry,x,y
0,1,38867,5343,5554,5343,0,0,,2,POINT (-77.106757 39.630253),-77.106757,39.630253
1,2,172408,1793,7535,1793,0,0,,3,POINT (-76.4837153 39.32854920000001),-76.4837153,39.32854920000001
2,3,30804,5334,5333,5334,0,0,,2,POINT (-76.9879115 39.55787410000001),-76.9879115,39.55787410000001
3,4,23655,1394,2458,1394,0,0,,2,POINT (-76.64437059999999 39.465737),-76.64437059999999,39.465737
4,5,134419,1738,1738,1738,0,0,,2,POINT (-76.44686729999999 39.2298001),-76.4468673,39.2298001
5,6,165067,1379,2679,1379,0,0,,3,POINT (-76.5739303 39.383867),-76.5739303,39.383867
6,7,188081,10768,4716,10768,0,0,,2,POINT (-76.6642791 38.9984909),-76.6642791,38.9984909
7,8,217410,6853,1941,6853,0,0,,2,POINT (-76.45346170000001 39.41649620000001),-76.4534617,39.41649620000001
8,9,201015,803,8995,803,0,0,,2,POINT (-76.7810729 39.1990313),-76.7810729,39.1990313
9,10,236545,5551,5552,5551,0,0,,2,POINT (-76.836119 39.693828),-76.836119,39.693828
10,11,107785,4378,4063,4378,0,0,,2,POINT (-76.5954629 39.3166534),-76.5954629,39.3166534
11,12,212009,4554,4954,4554,0,0,,2,POINT (-76.6277863 39.0596205),-76.6277863,39.0596205
12,13,210385,1516,2775,1516,0,0,,2,POINT (-76.5597083 39.5187566),-76.5597083,39.5187566
13,14,168937,3500,3102,3500,0,0,,2,POINT (-76.60988879999999 39.2939159),-76.6098888,39.2939159
14,15,219824,6418,6417,6418,0,0,,2,POINT (-76.38648609999998 39.575987),-76.38648609999998,39.575987
15,16,169119,6395,9635,6395,0,0,,2,POINT (-76.3496593 39.548025),-76.3496593,39.548025
16,17,240119,5299,5298,5299,0,0,,2,POINT (-77.097039 39.40211400000001),-77.097039,39.40211400000001
17,18,19298,2135,6912,2135,0,0,,2,POINT (-76.431201 39.435352),-76.431201,39.435352
18,19,13509,6208,6088,6208,0,0,,2,POINT (-76.3373782 39.4746311),-76.3373782,39.4746311
19,20,188576,4920,5051,4920,0,0,,2,POINT (-76.66406809999999 38.843639),-76.6640681,38.843639
20,21,15055,6280,8800,6280,0,0,,2,POINT (-76.3652235 39.4175125),-76.3652235,39.4175125
21,22,113705,5145,5589,5145,0,0,,2,POINT (-77.037798 39.486676),-77.037798,39.486676
22,23,203201,1823,2613,1823,0,0,,2,POINT (-76.439533 39.3061526),-76.439533,39.3061526
23,24,145418,6347,5736,6347,0,0,,2,POINT (-76.4778677 39.60468820000001),-76.4778677,39.60468820000001
24,25,101631,6102,6269,6102,0,0,,2,POINT (-76.19738700000001 39.563845),-76.197387,39.563845
25,26,203365,10961,6175,10961,0,0,,3,POINT (-76.34363949999999 39.5175745),-76.3436395,39.5175745
26,27,230013,2892,3556,2892,0,0,,2,POINT (-76.67590899999998 39.3490159),-76.67590899999998,39.3490159
27,28,15973,8246,8247,8246,0,0,,2,POINT (-76.58271809999999 39.10752960000001),-76.5827181,39.10752960000001
28,29,116189,7142,1905,7142,0,0,,3,POINT (-76.42850559999999 39.3348895),-76.4285056,39.3348895
29,30,14820,8953,4047,8953,0,0,,3,POINT (-76.63539729999999 39.2650993),-76.6353973,39.2650993
30,31,237238,1780,2113,1780,0,0,,2,POINT (-76.8719368 39.44662460000001),-76.8719368,39.44662460000001
31,32,146174,928,991,928,0,0,,2,POINT (-77.0553024 39.2506296),-77.0553024,39.2506296
32,33,125534,4,8946,4,0,0,,3,POINT (-76.7362945 39.16433720000001),-76.7362945,39.16433720000001
33,34,44950,9387,10139,9387,0,0,,2,POINT (-76.537648 38.9814995),-76.537648,38.9814995
34,35,30674,6254,6442,6254,0,0,,2,POINT (-76.42116899999998 39.581298),-76.42116899999998,39.581298
35,36,159154,10833,1275,10833,0,0,,2,POINT (-76.618262 39.5187501),-76.618262,39.5187501
36,37,176234,8089,1582,8089,0,0,,3,POINT (-76.7501896 39.3741011),-76.7501896,39.3741011
37,38,86024,5362,5361,5362,0,0,,2,POINT (-76.83724580000001 39.60401020000001),-76.8372458,39.60401020000001
38,39,228531,9294,8745,9294,0,0,,2,POINT (-76.36728170000001 39.3616165),-76.3672817,39.3616165
39,40,216501,6369,6284,6369,0,0,,2,POINT (-76.230097 39.679542),-76.230097,39.679542
40,41,134337,9198,7723,9198,0,0,,3,POINT (-76.5846007 39.3483934),-76.5846007,39.3483934
41,42,251728,5556,5446,5556,0,0,,2,POINT (-76.89545799999998 39.618919),-76.89545799999998,39.618919
42,43,92111,5119,5345,5119,0,0,,2,POINT (-76.942806 39.606262),-76.942806,39.606262
43,44,90181,5570,5177,5570,0,0,,2,POINT (-77.05359799999999 39.408445),-77.053598,39.408445
44,45,183306,11365,3581,11365,0,0,,2,POINT (-76.61499809999999 39.26826370000001),-76.6149981,39.26826370000001
45,46,181415,4512,5048,4512,0,0,,2,POINT (-76.6548025 39.1042083),-76.6548025,39.1042083
46,47,30042,6253,5736,6253,0,0,,2,POINT (-76.423766 39.574457),-76.423766,39.574457
47,48,178964,2497,2592,2497,0,0,,2,POINT (-76.72483920000001 39.6763894),-76.7248392,39.6763894
48,49,106023,3383,3384,3383,0,0,,2,POINT (-76.6689312 39.2992294),-76.6689312,39.2992294
49,50,64981,9225,7999,9225,0,0,,2,POINT (-76.6876003 39.136833),-76.6876003,39.136833
50,51,213320,5962,5976,5962,0,0,,2,POINT (-76.2102398 38.9583987),-76.2102398,38.9583987
51,52,165238,2083,9842,2083,0,0,,2,POINT (-76.4955485 39.4073424),-76.4955485,39.4073424
52,53,87714,3795,3794,3795,0,0,,2,POINT (-76.55468449999999 39.3181262),-76.5546845,39.3181262
53,54,99701,4174,4173,4174,0,0,,2,POINT (-76.64648829999999 39.3098847),-76.64648829999999,39.3098847
54,55,136253,7149,2001,7149,0,0,,2,POINT (-76.43927140000002 39.2989065),-76.43927140000002,39.2989065
55,56,169514,8970,4743,8970,0,0,,2,POINT (-76.7387717 39.1059968),-76.7387717,39.1059968
56,57,36291,874,873,874,0,0,,2,POINT (-76.9540756 39.1540955),-76.9540756,39.1540955
57,58,195191,5528,9028,5528,0,0,,2,POINT (-77.1758517 39.5735393),-77.1758517,39.5735393
58,59,42477,2814,2787,2814,0,0,,2,POINT (-76.650098 39.373118),-76.650098,39.373118
59,60,214013,9094,6443,9094,0,0,,2,POINT (-76.23862750000001 39.5543315),-76.2386275,39.5543315
60,61,11174,372,90,372,0,0,,3,POINT (-76.85701640000001 39.206323),-76.8570164,39.206323
61,62,222343,4020,4019,4020,0,0,,2,POINT (-76.66435809999999 39.3145196),-76.66435809999999,39.3145196
62,63,169825,1583,1746,1583,0,0,,2,POINT (-76.6218392 39.45536970000001),-76.6218392,39.45536970000001
63,64,121119,11319,11318,11319,0,0,,2,POINT (-76.72766659999998 39.3680081),-76.72766659999998,39.3680081
64,65,160293,5187,5162,5187,0,0,,2,POINT (-76.94459520000002 39.4022713),-76.94459520000002,39.4022713
65,66,174344,10098,10096,10098,0,0,,3,POINT (-76.79187779999999 39.1800477),-76.7918778,39.1800477
66,67,65100,9918,7360,9918,0,0,,2,POINT (-76.5367888 39.0673024),-76.5367888,39.0673024
67,68,144197,6314,9105,6314,0,0,,2,POINT (-76.38625400000002 39.5052993),-76.38625400000002,39.5052993
68,69,123794,9842,2083,9842,0,0,,2,POINT (-76.48475570000002 39.4108968),-76.48475570000002,39.4108968
69,70,107648,168,604,168,0,0,,3,POINT (-77.0095321 39.3239973),-77.0095321,39.3239973
70,71,212629,10837,732,10837,0,0,,2,POINT (-76.8408297 39.2978486),-76.8408297,39.2978486
71,72,190245,2097,2192,2097,0,0,,2,POINT (-76.60769499999998 39.4233112),-76.60769499999998,39.4233112
72,73,56268,4876,9905,4876,0,0,,2,POINT (-76.55030790000001 39.08756500000001),-76.5503079,39.08756500000001
73,74,132686,10602,6664,10602,0,0,,3,POINT (-76.7012625 39.2230439),-76.7012625,39.2230439
74,75,154672,5409,5410,5409,0,0,,2,POINT (-76.8893621 39.4934355),-76.8893621,39.4934355
75,76,68033,6895,2320,6895,0,0,,2,POINT (-76.42691359999998 39.2814506),-76.42691359999998,39.2814506
76,77,132773,1269,1268,1269,0,0,,3,POINT (-76.83737170000001 39.46706010000001),-76.8373717,39.46706010000001
77,78,60954,1620,10132,1620,0,0,,2,POINT (-76.7546043 39.2797591),-76.7546043,39.2797591
78,79,170781,9084,4998,9084,0,0,,2,POINT (-76.59067359999997 39.1188391),-76.59067359999997,39.1188391
79,80,95575,10932,1275,10932,0,0,,2,POINT (-76.6505935 39.500958),-76.6505935,39.500958
80,81,1846,960,593,960,0,0,,3,POINT (-76.8932243 39.2113647),-76.8932243,39.2113647
81,82,170449,4756,6567,4756,0,0,,2,POINT (-76.66546070000003 39.2245733),-76.66546070000003,39.2245733
82,83,163157,3478,3640,3478,0,0,,2,POINT (-76.569638 39.356627),-76.569638,39.356627
