vehicle_no,driver_id,longtitude_at_start_point,latitude_at_start_point,start_time,index,subscribed_controllers,shift_duration
SHA100000,100000-16,417264.0503561745,158823.94244278787,00:00:00,0,16,10
AMD100001,100001-4,418655.909268154,160183.21036065312,00:00:07,1,4,10
AMD100002,100002-4,422790.0353773707,166282.56523023994,00:00:14,2,4,10
AMD100003,100003-4,426823.5685405993,170811.26654110968,00:00:21,3,4,10
AMD100004,100004-4,427376.369803477,171362.7976084931,00:00:28,4,4,10
AMD100005,100005-4,435378.7004712845,170990.97666470404,00:00:35,5,4,10
AMD100006,100006-4,432169.8350003531,170678.88536308994,00:00:42,6,4,10
AMD100007,100007-4,431482.5034122197,170644.293744588,00:00:49,7,4,10
AMD100008,100008-4,430898.9768490129,171007.6405536142,00:00:56,8,4,10
AMD100009,100009-4,416743.35761849076,172845.13283116184,00:01:03,9,4,10
AMD100010,100010-4,416741.25648427114,172952.17046721122,00:01:10,10,4,10
AMD100011,100011-4,416764.5424476863,172953.33012149925,00:01:17,11,4,10
AMD100012,100012-4,417671.5199502443,172029.7008501293,00:01:24,12,4,10
AMD100013,100013-4,417778.1731566002,171298.55495113632,00:01:31,13,4,10
SHA100014,100014-16,418339.200001909,171094.1493856361,00:01:38,14,16,10
SHA100015,100015-16,419692.43649025547,170405.0174652675,00:01:45,15,16,10
SHA100016,100016-16,432622.25939157815,177729.3703675349,00:01:52,16,16,10
SHA100017,100017-16,419713.5726945828,169351.24210999507,00:01:59,17,16,10
SHA100018,100018-16,437635.9560679185,177513.95844664203,00:02:06,18,16,10
SHA100019,100019-16,437999.34229968453,177895.34297910106,00:02:13,19,16,10
SHA100020,100020-16,438442.28815720073,178356.62234534958,00:02:20,20,16,10
AMD100021,100021-4,439123.65163861396,179639.81894652836,00:02:27,21,4,10
SHA100022,100022-16,418779.30854493094,171035.1034648954,00:02:34,22,16,10
SHA100023,100023-16,418787.68135574006,171059.00296219293,00:02:41,23,16,10
SHA100024,100024-16,418797.01183556323,171028.9731582698,00:02:48,24,16,10
SHA100025,100025-16,418754.4868760886,171154.41994749053,00:02:55,25,16,10
AMD100026,100026-4,418758.9041706616,171181.85142637073,00:03:02,26,4,10
AMD100027,100027-4,418744.3183771511,171184.68095171027,00:03:09,27,4,10
AMD100028,100028-4,408935.383790282,168429.6883855893,00:03:16,28,4,10
SHA100029,100029-16,424545.8089887114,165899.6576846575,00:03:23,29,16,10
AMD100030,100030-4,424905.39444456185,166081.35037473254,00:03:30,30,4,10
SHA100031,100031-16,427421.4900612338,165870.45069258707,00:03:37,31,16,10
AMD100032,100032-4,429509.86335928406,166192.99092316948,00:03:44,32,4,10
SHA100033,100033-16,424764.8483700375,165718.38879647772,00:03:51,33,16,10
SHA100034,100034-16,425248.1980402743,168042.03632744285,00:03:58,34,16,10
SHA100035,100035-16,426747.042404268,167784.97992648458,00:04:05,35,16,10
AMD100036,100036-4,431787.99212426343,183783.0230642546,00:04:12,36,4,10
AMD100037,100037-4,431825.4411954674,183708.7130575881,00:04:19,37,4,10
SHA100038,100038-16,432862.0940426251,182330.98251822786,00:04:26,38,16,10
AMD100039,100039-4,424411.9970836804,165758.97523027429,00:04:33,39,4,10
SHA100040,100040-16,424377.80252090865,165726.50867611024,00:04:40,40,16,10
SHA100041,100041-16,424094.972366176,165126.48216253344,00:04:47,41,16,10
AMD100042,100042-4,423573.81979673257,164981.25501067349,00:04:54,42,4,10
AMD100043,100043-4,424416.8042044885,165800.32093600152,00:05:01,43,4,10
