vehicle_no,driver_id,longtitude_at_start_point,latitude_at_start_point,start_time,index,subscribed_controllers,shift_duration
SHA100000,100000-16,-76.8004246,39.0972771,00:00:00,0,16,10
AMD100001,100001-4,-76.7842974,39.1094928,00:00:07,1,4,10
AMD100002,100002-4,-76.7572928,39.13618,00:00:14,2,4,10
AMD100003,100003-4,-76.7362945,39.16433720000001,00:00:21,3,4,10
SHA100004,100004-16,-76.6894442,39.2050163,00:00:28,4,16,10
SHA100005,100005-16,-76.6830219,39.2099672,00:00:35,5,16,10
AMD100006,100006-4,-76.59038709999999,39.2063311,00:00:42,6,4,10
SHA100007,100007-16,-76.6275535,39.2036437,00:00:49,7,16,10
SHA100008,100008-16,-76.6355126,39.2033571,00:00:56,8,16,10
AMD100009,100009-4,-76.6422518,39.2066508,00:01:03,9,4,10
SHA100010,100010-16,-76.8060996,39.2235876,00:01:10,10,16,10
AMD100011,100011-4,-76.8061213,39.2245518,00:01:17,11,4,10
SHA100012,100012-16,-76.80581640000003,39.22479379999999,00:01:24,12,16,10
AMD100013,100013-4,-76.8058516,39.2245618,00:01:31,13,4,10
AMD100014,100014-4,-76.795372,39.2162242,00:01:38,14,4,10
AMD100015,100015-4,-76.7941561,39.2096361,00:01:45,15,4,10
SHA100016,100016-16,-76.7876658,39.2077833,00:01:52,16,16,10
AMD100017,100017-4,-76.7720178,39.2015464,00:01:59,17,4,10
AMD100018,100018-4,-76.6219776,39.2671348,00:02:06,18,4,10
SHA100019,100019-16,-76.7718036,39.1920538,00:02:13,19,16,10
SHA100020,100020-16,-76.56389229999998,39.26499310000001,00:02:20,20,16,10
AMD100021,100021-4,-76.5596603,39.268412700000006,00:02:27,21,4,10
SHA100022,100022-16,-76.5545014,39.2725483,00:02:34,22,16,10
AMD100023,100023-4,-76.5465315,39.2840764,00:02:41,23,4,10
AMD100024,100024-4,-76.7825718,39.2072421,00:02:48,24,4,10
AMD100025,100025-4,-76.78247420000002,39.20745720000001,00:02:55,25,4,10
AMD100026,100026-4,-76.78236700000002,39.2071865,00:03:02,26,4,10
SHA100027,100027-16,-76.7828559,39.2083174,00:03:09,27,16,10
SHA100028,100028-16,-76.782804,39.2085644,00:03:16,28,16,10
SHA100029,100029-16,-76.7829728,39.2085902,00:03:23,29,16,10
AMD100030,100030-4,-76.8965795,39.183929,00:03:30,30,4,10
SHA100031,100031-16,-76.7159922,39.1608406,00:03:37,31,16,10
AMD100032,100032-4,-76.711825,39.1624671,00:03:44,32,4,10
SHA100033,100033-16,-76.6827205,39.1604922,00:03:51,33,16,10
SHA100034,100034-16,-76.7134644,39.1592016,00:03:58,34,16,10
