vehicle_no,driver_id,longtitude_at_start_point,latitude_at_start_point,start_time,index,subscribed_controllers,shift_duration
SHA100000,100000-16,-76.8004246,39.0972771,00:00:00,0,16,10
AMD100001,100001-4,-76.7842974,39.1094928,00:00:10,1,4,10
SHA100002,100002-16,-76.7572928,39.13618,00:00:20,2,16,10
SHA100003,100003-16,-76.7362945,39.16433720000001,00:00:30,3,16,10
AMD100004,100004-4,-76.6894442,39.2050163,00:00:40,4,4,10
AMD100005,100005-4,-76.6830219,39.2099672,00:00:50,5,4,10
AMD100006,100006-4,-76.6275535,39.2036437,00:01:00,6,4,10
AMD100007,100007-4,-76.6422518,39.2066508,00:01:10,7,4,10
SHA100008,100008-16,-76.8061213,39.2245518,00:01:20,8,16,10
SHA100009,100009-16,-76.80581640000003,39.22479379999999,00:01:30,9,16,10
SHA100010,100010-16,-76.8058516,39.2245618,00:01:40,10,16,10
SHA100011,100011-16,-76.795372,39.2162242,00:01:50,11,16,10
SHA100012,100012-16,-76.7720178,39.2015464,00:02:00,12,16,10
SHA100013,100013-16,-76.6219776,39.2671348,00:02:10,13,16,10
AMD100014,100014-4,-76.7718036,39.1920538,00:02:20,14,4,10
SHA100015,100015-16,-76.5596603,39.268412700000006,00:02:30,15,16,10
AMD100016,100016-4,-76.5545014,39.2725483,00:02:40,16,4,10
AMD100017,100017-4,-76.5465315,39.2840764,00:02:50,17,4,10
AMD100018,100018-4,-76.7825718,39.2072421,00:03:00,18,4,10
SHA100019,100019-16,-76.78247420000002,39.20745720000001,00:03:10,19,16,10
SHA100020,100020-16,-76.78236700000002,39.2071865,00:03:20,20,16,10
SHA100021,100021-16,-76.7828559,39.2083174,00:03:30,21,16,10
AMD100022,100022-4,-76.782804,39.2085644,00:03:40,22,4,10
SHA100023,100023-16,-76.7829728,39.2085902,00:03:50,23,16,10
SHA100024,100024-16,-76.8965795,39.183929,00:04:00,24,16,10
SHA100025,100025-16,-76.7159922,39.1608406,00:04:10,25,16,10
AMD100026,100026-4,-76.711825,39.1624671,00:04:20,26,4,10
AMD100027,100027-4,-76.65854329999998,39.16332970000001,00:04:30,27,4,10
AMD100028,100028-4,-76.7134644,39.1592016,00:04:40,28,4,10
SHA100029,100029-16,-76.7077859,39.1801187,00:04:50,29,16,10
AMD100030,100030-4,-76.690449,39.17775870000001,00:05:00,30,4,10
SHA100031,100031-16,-76.63136159999998,39.3216934,00:05:10,31,16,10
AMD100032,100032-4,-76.6309308,39.3210227,00:05:20,32,4,10
SHA100033,100033-16,-76.61897590000002,39.30857460000001,00:05:30,33,16,10
AMD100034,100034-4,-76.7175455,39.1595771,00:05:40,34,4,10
AMD100035,100035-4,-76.71794229999998,39.1592856,00:05:50,35,4,10
AMD100036,100036-4,-76.72123590000002,39.1538885,00:06:00,36,4,10
AMD100037,100037-4,-76.71748840000002,39.1599494,00:06:10,37,4,10
AMD100038,100038-4,-76.7181382,39.159422,00:06:20,38,4,10
SHA100039,100039-16,-76.72137679999999,39.1540305,00:06:30,39,16,10
AMD100040,100040-4,-76.6931744,39.1767064,00:06:40,40,4,10
SHA100041,100041-16,-76.6915637,39.1779092,00:06:50,41,16,10
AMD100042,100042-4,-76.68979809999998,39.1847705,00:07:00,42,4,10
AMD100043,100043-4,-76.6771115,39.19040220000001,00:07:10,43,4,10
SHA100044,100044-16,-76.6762747,39.1903633,00:07:20,44,16,10
AMD100045,100045-4,-76.6946339,39.1585024,00:07:30,45,4,10
SHA100046,100046-16,-76.69035720000002,39.1851599,00:07:40,46,16,10
SHA100047,100047-16,-76.69170030000002,39.1916536,00:07:50,47,16,10
AMD100048,100048-4,-76.92226059999999,39.1880047,00:08:00,48,4,10
SHA100049,100049-16,-76.722301,39.38905,00:08:10,49,16,10
SHA100050,100050-16,-76.7219985,39.38917,00:08:20,50,16,10
SHA100051,100051-16,-76.72187459999998,39.3892223,00:08:30,51,16,10
AMD100052,100052-4,-76.7215874,39.38934129999999,00:08:40,52,4,10
SHA100053,100053-16,-76.7136548,39.3900398,00:08:50,53,16,10
SHA100054,100054-16,-76.7132114,39.3900701,00:09:00,54,16,10
SHA100055,100055-16,-76.7130734,39.3900841,00:09:10,55,16,10
AMD100056,100056-4,-76.471003,39.235861,00:09:20,56,4,10
AMD100057,100057-4,-76.47107170000002,39.236295,00:09:30,57,4,10
SHA100058,100058-16,-76.8948533,39.2119941,00:09:40,58,16,10
AMD100059,100059-4,-76.5060017,39.2806458,00:09:50,59,4,10
SHA100060,100060-16,-76.5058422,39.2818882,00:10:00,60,16,10
AMD100061,100061-4,-76.83632879999998,39.2405665,00:10:10,61,4,10
AMD100062,100062-4,-77.06460320000002,39.3407688,00:10:20,62,4,10
AMD100063,100063-4,-77.0700214,39.344666,00:10:30,63,4,10
AMD100064,100064-4,-77.0705377,39.3447864,00:10:40,64,4,10
SHA100065,100065-16,-77.071966,39.34501760000001,00:10:50,65,16,10
AMD100066,100066-4,-77.0778935,39.3448657,00:11:00,66,4,10
AMD100067,100067-4,-76.57433470000002,39.3958665,00:11:10,67,4,10
AMD100068,100068-4,-76.794653,39.1306593,00:11:20,68,4,10
AMD100069,100069-4,-76.83609200000002,39.1105302,00:11:30,69,4,10
AMD100070,100070-4,-76.8367988,39.11086210000001,00:11:40,70,4,10
SHA100071,100071-16,-76.68717059999999,39.3950026,00:11:50,71,16,10
SHA100072,100072-16,-76.7599196,39.1864557,00:12:00,72,16,10
SHA100073,100073-16,-76.75577009999998,39.18667,00:12:10,73,16,10
SHA100074,100074-16,-76.83707829999999,39.2511182,00:12:20,74,16,10
SHA100075,100075-16,-76.8383599,39.2514711,00:12:30,75,16,10
AMD100076,100076-4,-76.8593962,39.2024519,00:12:40,76,4,10
SHA100077,100077-16,-76.4877968,39.3323003,00:12:50,77,16,10
AMD100078,100078-4,-76.556336,39.379773,00:13:00,78,4,10
AMD100079,100079-4,-76.5556696,39.3800675,00:13:10,79,4,10
AMD100080,100080-4,-76.84702440000002,39.139322,00:13:20,80,4,10
SHA100081,100081-16,-76.8507352,39.1852568,00:13:30,81,16,10
SHA100082,100082-16,-76.70301090000002,39.2200723,00:13:40,82,16,10
SHA100083,100083-16,-76.7038593,39.2192819,00:13:50,83,16,10
AMD100084,100084-4,-76.72171759999998,39.2928215,00:14:00,84,4,10
SHA100085,100085-16,-76.57941290000002,39.4092994,00:14:10,85,16,10
AMD100086,100086-4,-76.5794917,39.4077709,00:14:20,86,4,10
SHA100087,100087-16,-76.58007959999998,39.4079843,00:14:30,87,16,10
AMD100088,100088-4,-76.630124,39.4163943,00:14:40,88,4,10
AMD100089,100089-4,-76.6296825,39.4161585,00:14:50,89,4,10
AMD100090,100090-4,-76.6294993,39.4161152,00:15:00,90,4,10
AMD100091,100091-4,-76.62816540000001,39.41567620000001,00:15:10,91,4,10
AMD100092,100092-4,-76.62328670000002,39.4143212,00:15:20,92,4,10
AMD100093,100093-4,-76.7801041,39.41807160000001,00:15:30,93,4,10
SHA100094,100094-16,-76.779481,39.4177581,00:15:40,94,16,10
SHA100095,100095-16,-76.7780528,39.41793120000001,00:15:50,95,16,10
SHA100096,100096-16,-76.7796151,39.41768560000001,00:16:00,96,16,10
AMD100097,100097-4,-76.7779458,39.417855,00:16:10,97,4,10
SHA100098,100098-16,-76.5279237,39.3315251,00:16:20,98,16,10
SHA100099,100099-16,-76.529331,39.3312645,00:16:30,99,16,10
AMD100100,100100-4,-76.6903942,39.4253969,00:16:40,100,4,10
SHA100101,100101-16,-76.6910739,39.42577470000001,00:16:50,101,16,10
AMD100102,100102-4,-76.84361899999998,39.2290878,00:17:00,102,4,10
SHA100103,100103-16,-76.8129718,39.138669,00:17:10,103,16,10
AMD100104,100104-4,-76.78658490000002,39.1707445,00:17:20,104,4,10
SHA100105,100105-16,-76.6832908,39.2505359,00:17:30,105,16,10
AMD100106,100106-4,-76.6865902,39.2465659,00:17:40,106,4,10
AMD100107,100107-4,-76.86348740000003,39.204023600000006,00:17:50,107,4,10
SHA100108,100108-16,-76.8528557,39.1703983,00:18:00,108,16,10
AMD100109,100109-4,-76.8144482,39.1358551,00:18:10,109,4,10
AMD100110,100110-4,-76.8086637,39.1362078,00:18:20,110,4,10
AMD100111,100111-4,-76.67036970000002,39.6282828,00:18:30,111,4,10
AMD100112,100112-4,-76.8168823,39.24780360000001,00:18:40,112,4,10
SHA100113,100113-16,-76.84640859999998,39.5596119,00:18:50,113,16,10
AMD100114,100114-4,-76.7765622,39.4064527,00:19:00,114,4,10
AMD100115,100115-4,-76.502333,39.322895,00:19:10,115,4,10
SHA100116,100116-16,-76.502452,39.32325,00:19:20,116,16,10
SHA100117,100117-16,-76.7235907,39.3919415,00:19:30,117,16,10
SHA100118,100118-16,-76.579806,39.386467,00:19:40,118,16,10
SHA100119,100119-16,-76.48441700000002,39.35390200000001,00:19:50,119,16,10
AMD100120,100120-4,-76.48495,39.354142,00:20:00,120,4,10
AMD100121,100121-4,-76.8565964,39.12328710000001,00:20:10,121,4,10
AMD100122,100122-4,-76.70092109999999,39.2231756,00:20:20,122,4,10
SHA100123,100123-16,-76.8668597,39.1216629,00:20:30,123,16,10
AMD100124,100124-4,-76.6167973,39.4127492,00:20:40,124,4,10
SHA100125,100125-16,-76.613119,39.411934,00:20:50,125,16,10
AMD100126,100126-4,-76.6725304,39.2452594,00:21:00,126,4,10
AMD100127,100127-4,-76.6734402,39.2451219,00:21:10,127,4,10
SHA100128,100128-16,-76.66873340000002,39.5483381,00:21:20,128,16,10
SHA100129,100129-16,-76.66862940000001,39.5489132,00:21:30,129,16,10
AMD100130,100130-4,-76.67060620000002,39.5485021,00:21:40,130,4,10
AMD100131,100131-4,-76.471305,39.2778031,00:21:50,131,4,10
SHA100132,100132-16,-76.4721002,39.2784954,00:22:00,132,16,10
AMD100133,100133-4,-76.4722324,39.2785661,00:22:10,133,4,10
SHA100134,100134-16,-76.4739523,39.2792019,00:22:20,134,16,10
AMD100135,100135-4,-76.4742411,39.2761055,00:22:30,135,4,10
SHA100136,100136-16,-76.4733361,39.2770594,00:22:40,136,16,10
SHA100137,100137-16,-76.4718572,39.2788152,00:22:50,137,16,10
AMD100138,100138-4,-76.46803680000002,39.2740453,00:23:00,138,4,10
AMD100139,100139-4,-76.8801552,39.2162153,00:23:10,139,4,10
SHA100140,100140-16,-76.88018570000001,39.21588320000001,00:23:20,140,16,10
AMD100141,100141-4,-77.0227009,39.3289562,00:23:30,141,4,10
SHA100142,100142-16,-77.0177462,39.3245259,00:23:40,142,16,10
SHA100143,100143-16,-77.01738409999999,39.3244093,00:23:50,143,16,10
AMD100144,100144-4,-77.0170725,39.3243403,00:24:00,144,4,10
AMD100145,100145-4,-76.70016159999999,39.2225207,00:24:10,145,4,10
SHA100146,100146-16,-77.0095321,39.3239973,00:24:20,146,16,10
SHA100147,100147-16,-76.8460934,39.2253782,00:24:30,147,16,10
AMD100148,100148-4,-76.84629620000003,39.2256016,00:24:40,148,4,10
AMD100149,100149-4,-77.06495699999998,39.3406068,00:24:50,149,4,10
SHA100150,100150-16,-77.0705068,39.3401284,00:25:00,150,16,10
SHA100151,100151-16,-77.07234009999998,39.3403825,00:25:10,151,16,10
SHA100152,100152-16,-77.07836970000002,39.3447594,00:25:20,152,16,10
AMD100153,100153-4,-76.8428663,39.2398333,00:25:30,153,4,10
SHA100154,100154-16,-76.8399051,39.2357129,00:25:40,154,16,10
AMD100155,100155-4,-76.83774190000003,39.2392374,00:25:50,155,4,10
AMD100156,100156-4,-76.837642,39.2398891,00:26:00,156,4,10
SHA100157,100157-16,-76.81990309999998,39.2557766,00:26:10,157,16,10
AMD100158,100158-4,-76.811033,39.1916678,00:26:20,158,4,10
AMD100159,100159-4,-76.810364,39.192524,00:26:30,159,4,10
