X,Y,OBJECTID,ARC_Street,ARC_City,ARC_State,ARC_ZIP,PSC_NUMBER,School_Type,County,School_Name,Grades
-76.599455785646128,39.325050031249567,1387,1300 Gorsuch Avenue,Baltimore,MD,21218,30.224,PreK-8,Baltimore City,Abbottston Elementary School # 050,PreK-8
-76.171096686442624,39.516398411943456,1388,251 Paradise Road,Aberdeen,MD,21001,12.058,High,Harford,Aberdeen High School,9-12
-76.164525172372748,39.515402215861421,1389,111 Mount Royal Avenue,Aberdeen,MD,21001,12.006,Middle,Harford,Aberdeen Middle School,6-8
-76.325244281600646,39.477426776336912,1390,399 Singer Road,Abingdon,MD,21009,12.049,Elementary,Harford,Abingdon Elementary School,PreK-5
-79.310453237659587,39.626239002332333,1391,534 Accident Bittinger Road,Accident,MD,21520,11.013,Elementary,Garrett,Accident Elementary School,PreK-5
-76.979333992945257,38.68812782579699,1392,14400 Berry Road,Accokeek,MD,20607,16.005,PreK-8,Prince George's,Accokeek Academy (Eugene Burroughs)                         ,5-8
-76.974035620703361,39.000069036002948,1393,8820 Riggs Road,Adelphi,MD,20783,16.169,Elementary,Prince George's,Adelphi Elementary School,PreK-6
-76.665292773830075,39.297463262189034,1394,800 Poplar Grove Street,Baltimore,MD,21216,30.068,Elementary,Baltimore City,Alexander Hamilton Elementary School # 145,PreK-5
-78.775311571312685,39.656185514073023,1395,616 Sedgwick Street,Cumberland,MD,21502,1.012,High,Allegany,Allegany High School,9-12
-76.930146902158342,38.803090001195734,1396,6300 Harley Lane,Temple Hills,MD,20748,16.205,Elementary,Prince George's,Allenwood Elementary School,PreK-6
-76.908280099834215,38.841230449841603,1397,3500 Regency Parkway,Forestville,MD,20747,16.197,PreK-8,Prince George's,Andrew Jackson Academy,PreK-8
-76.487725671616971,38.976548075281137,1398,180 Green Street,Annapolis,MD,21401,2.034,Elementary,Anne Arundel,Annapolis Elementary School,PreK-5
-76.565577403045509,38.974503498069083,1399,2700 Riva Road,Annapolis,MD,21401,2.03,High,Anne Arundel,Annapolis High School,9-12
-76.511434944639987,38.958091149091373,1400,1399 Forest Drive,Annapolis,MD,21403,2.061,Middle,Anne Arundel,Annapolis Middle School,6-8
-76.930781448718847,38.940057834946181,1401,5150 Annapolis Road,Bladensburg,MD,20710,16.163,Alternate,Prince George's,Annapolis Road Academy High School,9-10
-77.734179906281724,39.614278538233904,1402,40 West Oak Ridge Drive,Hagerstown,MD,21740,21.049,Middle/High,Washington,Antietam Academy,6-12
-76.436498292122479,38.375834712711807,1403,11655 H.G. Trueman Road,Lusby,MD,20657,4.013,Elementary,Calvert,Appeal Elementary School,3-5
-76.962860230022599,38.789150743007554,1404,7400 Bellefield Avenue,Fort Washington,MD,20744,16.057,Elementary,Prince George's,Apple Grove Elementary School,PreK-6
-76.892505990668909,39.235231034102092,1405,10920 Clarksville Pike,Ellicott City,MD,21043,13.018,CareerTech,Howard,Applications and Research Lab,N/A
-76.696564868008679,39.247717864220647,1406,1300 Sulphur Spring Road,Baltimore,MD,21227,3.16,Elementary,Baltimore,Arbutus Elementary School,PreK-5
-76.705312432276713,39.247932730347188,1407,5525 Shelbourne Road,Baltimore,MD,21227,3.048,Middle,Baltimore,Arbutus Middle School,6-8
-77.039513631320006,39.045448975974196,1408,1820 Franwell Avenue,Silver Spring,MD,20902,15.049,Elementary,Montgomery,Arcola Elementary School,HS-5
-76.846608095667861,38.934120715074954,1409,9301 Ardwick Ardmore Road,Springdale,MD,20774,16.164,Elementary,Prince George's,Ardmore Elementary School,PreK-6
-77.04936691031169,39.088370888837524,1410,2400 Bel Pre Road,Silver Spring,MD,20906,15.231,Middle,Montgomery,Argyle Middle School,6-8
-76.608212999616953,39.076884256200984,1411,975 Indian Landing Road,Millersville,MD,21108,2.122,Environmental Education,Anne Arundel,Arlington Echo Education Center,K-12
-76.683962329225892,39.35041234686333,1412,3705 West Rogers Avenue,Baltimore,MD,21215,30.094,PreK-8,Baltimore City,Arlington Elementary/Middle School # 234,PreK-8
-76.554483476984586,39.304134706964597,1413,5001-5061 East Eager Street,Baltimore,MD,21205,30.186,PreK-8,Baltimore City,Armistead Gardens Elementary/Middle School # 243,PreK-8
-76.50327329214295,39.034899534833301,1414,90 Church Road,Arnold,MD,21012,2.106,Elementary,Anne Arundel,Arnold Elementary School,K-5
-76.84305242633107,38.856839896178023,1415,2300 Sansbury Road,Upper Marlboro,MD,20774,16.074,Elementary,Prince George's,Arrowhead Elementary School,PreK-5
-76.921873224355494,38.602634642759412,1416,1109 Copley Avenue,Waldorf,MD,20601,8.011,Elementary,Charles,Arthur Middle Schoolton Elementary School,PreK-5
-76.682001122806042,39.071303998753777,1417,1001 Annapolis Road,Gambrills,MD,21054,2.04,High,Anne Arundel,Arundel High School,9-12
-76.686064563958851,39.072528781081125,1418,1179 Hammond Lane,Odenton,MD,21113,2.057,Middle,Anne Arundel,Arundel Middle School,6-8
-76.627911073012498,39.251517148318356,1419,2400 Round Road,Baltimore,MD,21225,30.239,PreK-8,Baltimore City,Arundel Elementary/Middle School # 164,PreK-8
-77.127511125111909,39.019283051070708,1420,6314 Lone Oak Drive,Bethesda,MD,20817,15.188,Elementary,Montgomery,Ashburton Elementary School,K-5
-76.863214403214059,39.185807705313422,1421,6700 Seneca Drive,Columbia,MD,21046,13.03,Elementary,Howard,Atholton Elementary School,PreK-5
-76.880589630015919,39.188044624834923,1422,6520 Freetown Road,Columbia,MD,21044,13.013,High,Howard,Atholton High School,9-12
