,X,Y,county,enrollment,enrollment_complete
0,-76.67838653,39.36940844,Baltimore City,8,8
2,-76.61988014,39.35135867,Baltimore City,"2,863","2,863"
3,-76.59529579,39.40838917,Baltimore,"2,254","2,254"
5,-76.62027639,39.32653077,Baltimore City,"20,871","20,871"
6,-76.61911683,39.34632366,Baltimore City,"5,978","5,978"
7,-76.62167614,39.30753513,Baltimore City,"2,273","2,273"
10,-76.7546459,39.38969267,Baltimore,549,549
11,-76.49133839,38.98151579,Anne Arundel,513,513
12,-76.63995322,39.36045294,Baltimore City,207,207
13,-76.6006056,39.29397379,Baltimore City,"1,236","1,236"
14,-76.88806229,39.16587309,Howard,511,511
15,-76.70165859,39.42196213,Baltimore,"4,212","4,212"
17,-77.00281396,39.58150811,Carroll,"3,284","3,284"
18,-76.83643129,39.17432351,Howard,634,634
20,-76.69848608,39.36179668,Baltimore City,146,146
22,-76.77928356,39.42767621,Baltimore,See Stevenson Campus for Enrollment Numbers,"3,941"
23,-76.74730514,39.36766649,Baltimore,,3000
1,-76.66569949,39.26066351,Baltimore City,"1,111","1,111"
3,-76.57215258,39.40194768,Baltimore,See Baltimore Campus for Enrollment Numbers,"3,222"
1,-76.6587876,39.31178842,Baltimore City,"3,612","3,612"
4,-76.61638815,39.39485241,Baltimore,"21,960","21,960"
5,-76.61659123,39.30585876,Baltimore City,"6,558","6,558"
6,-76.62503131,39.29169583,Baltimore City,"6,368","6,368"
7,-76.71354948,39.25302867,Baltimore,"13,637","13,637"
11,-76.58151903,39.33921237,Baltimore City,"7,952","7,952"
13,-76.48629039,38.98170045,Anne Arundel,,"3,000"
1,-76.51304953,39.04942783,Anne Arundel,"17,650","17,650"
2,-76.66279524,39.3200256,Baltimore City,"5,480","5,480"
3,-76.99095377,39.53189849,Carroll,"4,103","4,103"
4,-76.7331669,39.2526412,Baltimore,"25,188","25,188"
7,-76.08369593,38.95215303,Queen Anne's,"2,660","2,660"
11,-76.28225468,39.56128312,Harford,"7,226","7,226"
12,-76.88009055,39.21379511,Howard,"10,150","10,150"
18,-76.512729,39.26609562,Baltimore,See Catonsville Campus for Enrollment Numbers,"6,920"
19,-76.48151459,39.35321763,Baltimore,See Catonsville Campus for Enrollment Numbers,"6,920"
,,,,,
,,,,,
,,,,,
,,,total enrollment ,,206196
