,X,Y,county
0,-76.5898502691963,39.28799862306226,Baltimore City
1,-76.60021700005157,39.31884199927766,Baltimore City
2,-76.63040184886876,39.2997121376745,Baltimore City
3,-76.5762931796943,39.28585337123931,Baltimore City
4,-76.66313165003865,39.304482161719314,Baltimore City
5,-76.59728770709779,39.290106747452185,Baltimore City
6,-76.59620872174543,39.18759543772353,Anne Arundel
7,-76.73471448017216,39.16798386406705,Anne Arundel
10,-76.63847728196313,39.28171576231898,Baltimore City
11,-76.70766119885963,39.28412712460554,Baltimore City
12,-76.6643149630332,39.317902849476795,Baltimore City
13,-76.66231943198635,39.297438741182496,Baltimore City
14,-76.65803637610273,39.34560310280053,Baltimore City
15,-76.66231943198635,39.297438741182496,Baltimore City
16,-76.60011617494072,39.293968234521905,Baltimore City
17,-76.6105240369579,39.35757667865544,Baltimore City
18,-76.59183137599467,39.3455959612903,Baltimore City
19,-76.5723598235778,39.32432811087159,Baltimore City
20,-76.54877883087565,39.33608510765167,Baltimore City
21,-76.61803381169766,39.29516711801116,Baltimore City
22,-76.6125038115547,39.30834511490365,Baltimore City
23,-76.6125038115547,39.30834511490365,Baltimore City
24,-76.53444783377327,39.34890110415874,Baltimore City
25,-76.65931979735254,39.30847211721235,Baltimore City
26,-76.5968116529978,39.28189687991009,Baltimore City
27,-76.65919379785414,39.29762411916725,Baltimore City
28,-76.57242082457547,39.324267110876995,Baltimore City
29,-76.63646880349806,39.330952111137435,Baltimore City
30,-76.6643149630332,39.317902849476795,Baltimore City
31,-76.6226528087514,39.308384115943646,Baltimore City
32,-76.5788388237498,39.29282111774204,Baltimore City
33,-76.6467218031468,39.295942118348606,Baltimore City
34,-76.8242400001775,39.08585499967289,Anne Arundel
47,-76.6651430004177,39.333946999951415,Baltimore City
0,-76.5994557856461,39.32505003124957,Baltimore City
1,-76.17109668644262,39.516398411943456,Harford
2,-76.16452517237273,39.51540221586142,Harford
3,-76.32524428160063,39.477426776336905,Harford
7,-76.66529277383006,39.29746326218904,Baltimore City
11,-76.48772567161699,38.97654807528114,Anne Arundel
12,-76.56557740304551,38.974503498069076,Anne Arundel
13,-76.51143494463999,38.958091149091366,Anne Arundel
18,-76.89250599066891,39.23523103410209,Howard
19,-76.69656486800869,39.24771786422065,Baltimore
20,-76.70531243227671,39.24793273034719,Baltimore
24,-76.60821299961694,39.07688425620098,Anne Arundel
25,-76.68396232922589,39.35041234686333,Baltimore City
26,-76.55448347698457,39.304134706964604,Baltimore City
27,-76.50327329214295,39.0348995348333,Anne Arundel
30,-76.68200112280604,39.07130399875377,Anne Arundel
31,-76.68606456395885,39.07252878108113,Anne Arundel
32,-76.62791107301251,39.25151714831836,Baltimore City
34,-76.86321440321406,39.18580770531342,Howard
35,-76.88058963001593,39.18804462483492,Howard
40,-76.16990524189812,39.51291932290557,Harford
43,-76.59534415257326,39.327599361867655,Baltimore City
44,-76.6421385222104,39.23699182621064,Baltimore
45,-76.6434057863615,39.34702615017372,Baltimore City
46,-76.61740477899637,39.298143105812976,Baltimore City
51,-76.6113704826192,39.32369549176257,Baltimore City
55,-76.50530842272418,38.97227755997234,Anne Arundel
56,-76.47479476805515,39.26872026192708,Baltimore
57,-76.48435800439778,39.273561008952655,Baltimore
58,-76.59957710402354,39.22584032070307,Baltimore City
59,-76.59953303896394,39.226525132734814,Baltimore City
61,-76.30716047088922,38.981940831679786,Queen Anne's
66,-76.48249595581562,39.26841963279245,Baltimore
68,-76.73025635880934,39.36036868314624,Baltimore
69,-76.69364601886838,39.2807431828283,Baltimore City
71,-76.3502852612183,39.538883521677725,Harford
72,-76.3478063565985,39.53126927293707,Harford
73,-76.34442598899784,39.527878167791,Harford
75,-76.62191986702291,39.22971602995196,Anne Arundel
76,-76.78653277415546,39.20412466987799,Howard
79,-76.6709807930214,39.30342194024949,Baltimore City
81,-76.50241103523435,39.05866412610917,Anne Arundel
82,-76.58909357241842,39.08530844126995,Anne Arundel
85,-76.59361476000574,39.23282916003718,Baltimore City
89,-76.51184145027234,39.28738310470687,Baltimore
100,-76.45544657768298,39.112030777960854,Anne Arundel
102,-76.82803952887626,39.14598631400876,Howard
104,-76.77280327908585,39.23232033772878,Howard
105,-76.62786631894501,39.302896979920014,Baltimore City
114,-76.76766423743265,39.28446813374027,Baltimore City
116,-76.56631510135345,39.32138996198098,Baltimore City
120,-76.48401799296106,39.048361551134796,Anne Arundel
121,-76.4538113519134,39.039827639300015,Anne Arundel
122,-76.82095996720754,39.088220662824476,Anne Arundel
125,-76.61743034504934,39.22197569370887,Anne Arundel
126,-76.61985495639166,39.21628597734013,Anne Arundel
131,-76.86720630343595,39.22100768297058,Howard
134,-76.86749063369811,39.25520504799072,Howard
138,-77.02230771628794,39.30166805226346,Howard
140,-76.33011696109402,39.56153185597928,Harford
143,-76.67789914033426,39.33656726871197,Baltimore City
149,-76.65835889913751,39.30062737113509,Baltimore City
150,-76.69414014707188,39.33023147601415,Baltimore City
153,-76.72283528821235,39.351666663829754,Baltimore
156,-76.56876734217899,39.28348546309653,Baltimore City
157,-76.4450458204414,39.03865152502788,Anne Arundel
164,-76.52031450106766,39.39246910778027,Baltimore
167,-76.55047322328313,38.84529094818957,Anne Arundel
168,-76.99227022082177,39.5390119127124,Carroll
169,-76.52392956341778,39.49738959307085,Baltimore
171,-76.99166506713736,39.56030961898609,Carroll
173,-76.93371987484412,39.39361417792709,Carroll
176,-76.6523674155685,39.30480656716462,Baltimore City
182,-76.72551162097203,39.25270478532568,Baltimore
183,-76.73052427505465,39.27156895472951,Baltimore
184,-76.73086911134276,39.268198904753135,Baltimore
185,-76.73107480398326,39.259471589816705,Baltimore
186,-76.77140086519691,39.27594659216359,Baltimore
187,-76.60557393436515,39.31337870373394,Baltimore City
