id,from_segment,to_segment,from_lane,to_lane,is_true_connector,tags
83,38876,38877,3887600,3887700,,
84,38877,38879,3887700,3887900,,
85,38879,38878,3887900,3887800,,
213,38889,66099,3888900,6609900,,
45,46663,46758,4666300,4675800,,
44,46664,46663,4666400,4666300,,
43,46665,46664,4666500,4666400,,
237,46752,46754,4675200,4675400,,
239,46753,46755,4675300,4675500,,
238,46754,46753,4675400,4675300,,
236,46756,46752,4675600,4675200,,
235,46757,46756,4675700,4675600,,
46,46758,46759,4675800,4675900,,
30,47507,47505,4750700,4750500,,
29,47511,47507,4751100,4750700,,
28,47512,47511,4751200,4751100,,
26,47513,47514,4751300,4751400,,
27,47514,47512,4751400,4751200,,
104,60768,133284,6076800,13328400,,
267,60769,133283,6076900,13328300,,
279,61022,61021,6102200,6102100,,
240,64538,64540,6453800,6454000,,
241,64540,68465,6454000,6846500,,
282,64541,64543,6454100,6454300,,
281,64542,64541,6454200,6454100,,
283,64543,64545,6454300,6454500,,
280,64544,64542,6454400,6454200,,
284,64545,64548,6454500,6454800,,
286,64546,64549,6454600,6454900,,
288,64547,68516,6454700,6851600,,
285,64548,64546,6454800,6454600,,
287,64549,64547,6454900,6454700,,
225,64550,64555,6455000,6455500,,
232,64551,64552,6455100,6455200,,
229,64553,64554,6455300,6455400,,
230,64554,87619,6455400,8761900,,
226,64555,64557,6455500,6455700,,
228,64556,64553,6455600,6455300,,
227,64557,64556,6455700,6455600,,
215,66096,66104,6609600,6610400,,
220,66097,66106,6609700,6610600,,
224,66098,66107,6609800,6610700,,
214,66099,66096,6609900,6609600,,
223,66100,66098,6610000,6609800,,
222,66101,66100,6610100,6610000,,
217,66102,66105,6610200,6610500,,
219,66103,66097,6610300,6609700,,
216,66104,66102,6610400,6610200,,
218,66105,66103,6610500,6610300,,
221,66106,66101,6610600,6610100,,
210,66108,66112,6610800,6611200,,
209,66110,66108,6611000,6610800,,
208,66111,66110,6611100,6611000,,
211,66112,66113,6611200,6611300,,
212,66113,66109,6611300,6610900,,
9,66166,66167,6616600,6616700,,
10,66167,66168,6616700,6616800,,
11,66168,69813,6616800,6981300,,
25,66169,47513,6616900,4751300,,
23,66170,66171,6617000,6617100,,
24,66171,66169,6617100,6616900,,
86,66173,66172,6617300,6617200,,
278,66174,61022,6617400,6102200,,
274,66175,66178,6617500,6617800,,
277,66176,66174,6617600,6617400,,
273,66177,66175,6617700,6617500,,
