shapeid,id,width,vehicle_mode,bus_lane,can_stop,can_park,high_occ_veh,has_road_shoulder,segment,tags
3887600,3887600,3.2,,0,0,0,0,0,38876,
3887700,3887700,3.2,,0,0,0,0,0,38877,
3887800,3887800,3.2,,0,0,0,0,0,38878,
3887900,3887900,3.2,,0,0,0,0,0,38879,
3888900,3888900,3.2,,0,0,0,0,0,38889,
4666300,4666300,3.2,,0,0,0,0,0,46663,
4666400,4666400,3.2,,0,0,0,0,0,46664,
4666500,4666500,3.2,,0,0,0,0,0,46665,
4675200,4675200,3.2,,0,0,0,0,0,46752,
4675300,4675300,3.2,,0,0,0,0,0,46753,
4675400,4675400,3.2,,0,0,0,0,0,46754,
4675500,4675500,3.2,,0,0,0,0,0,46755,
4675600,4675600,3.2,,0,0,0,0,0,46756,
4675700,4675700,3.2,,0,0,0,0,0,46757,
4675800,4675800,3.2,,0,0,0,0,0,46758,
4675900,4675900,3.2,,0,0,0,0,0,46759,
4750500,4750500,3.2,,0,0,0,0,0,47505,
4750700,4750700,3.2,,0,0,0,0,0,47507,
4751100,4751100,3.2,,0,0,0,0,0,47511,
4751200,4751200,3.2,,0,0,0,0,0,47512,
4751300,4751300,3.2,,0,0,0,0,0,47513,
4751400,4751400,3.2,,0,0,0,0,0,47514,
6076800,6076800,3.2,,0,0,0,0,0,60768,
6076900,6076900,3.2,,0,0,0,0,0,60769,
6077000,6077000,3.2,,0,0,0,0,0,60770,
6102100,6102100,3.2,,0,0,0,0,0,61021,
6102200,6102200,3.2,,0,0,0,0,0,61022,
6102700,6102700,3.2,,0,0,0,0,0,61027,
6341400,6341400,3.2,,0,0,0,0,0,63414,
6453800,6453800,3.2,,0,0,0,0,0,64538,
6454000,6454000,3.2,,0,0,0,0,0,64540,
6454100,6454100,3.2,,0,0,0,0,0,64541,
6454200,6454200,3.2,,0,0,0,0,0,64542,
6454300,6454300,3.2,,0,0,0,0,0,64543,
6454400,6454400,3.2,,0,0,0,0,0,64544,
6454500,6454500,3.2,,0,0,0,0,0,64545,
6454600,6454600,3.2,,0,0,0,0,0,64546,
