shapeid,id,x,y,z,seq_id
3887600,3887600,235185.7817,891303.4443,0,1
3887600,3887600,235200.0697,891316.0889,0,2
3887600,3887600,235217.06,891332.6414,0,3
3887600,3887600,235232.7018,891343.7754,0,4
3887600,3887600,235244.7072,891348.1752,0,5
3887600,3887600,235264.3184,891349.3649,0,6
3887600,3887600,235287.6858,891350.4097,0,7
3887600,3887600,235300.71865,891351.51825,0,8
3887700,3887700,235300.71865,891351.51825,0,1
3887700,3887700,235313.7515,891352.6268,0,2
3887700,3887700,235328.4327,891354.4718,0,3
3887700,3887700,235347.9408,891356.24,0,4
3887700,3887700,235358.8651,891358.0903,0,5
3887700,3887700,235371.68235000002,891360.3497,0,6
3887800,3887800,235416.18865000003,891369.9621,0,1
3887800,3887800,235428.79,891373.8181,0,2
3887800,3887800,235438.0161,891377.5456,0,3
3887800,3887800,235471.7033,891395.9532,0,4
3887800,3887800,235500.8755,891409.112,0,5
3887800,3887800,235514.9644,891417.453,0,6
3887900,3887900,235371.68235000002,891360.3497,0,1
3887900,3887900,235384.4996,891362.6091,0,2
3887900,3887900,235403.5873,891366.1061,0,3
3887900,3887900,235416.18865000003,891369.9621,0,4
3888900,3888900,234031.9572,891171.3051,0,1
3888900,3888900,234056.0564,891181.9881,0,2
3888900,3888900,234121.7488,891211.8545,0,3
3888900,3888900,234164.2027,891230.8971,0,4
3888900,3888900,234191.232,891240.0085,0,5
3888900,3888900,234198.67095,891242.4508,0,6
4666300,4666300,235610.12900000002,890482.33945,0,1
4666300,4666300,235610.4716,890495.3526,0,2
4666300,4666300,235612.2234,890591.1267,0,3
4666300,4666300,235612.66554999998,890604.1206499999,0,4
4666400,4666400,235605.74145,890340.1673999999,0,1
4666400,4666400,235605.9376,890353.2085,0,2
4666400,4666400,235605.9193,890356.8252,0,3
4666400,4666400,235609.7864,890469.3263,0,4
4666400,4666400,235610.12900000002,890482.33945,0,5
4666500,4666500,235596.757,890051.1499,0,1
4666500,4666500,235596.7406,890051.3934,0,2
4666500,4666500,235603.5498,890270.3547,0,3
4666500,4666500,235605.5453,890327.1263,0,4
4666500,4666500,235605.74145,890340.1673999999,0,5
4675200,4675200,235307.75855,891130.0904999999,0,1
4675200,4675200,235319.3489,891136.0978,0,2
4675200,4675200,235329.9647,891141.9587,0,3
4675200,4675200,235359.4601,891153.3495,0,4
4675200,4675200,235375.7095,891158.1421,0,5
4675200,4675200,235393.2677,891160.9687,0,6
4675200,4675200,235432.1675,891163.4906,0,7
4675200,4675200,235451.343,891164.6956,0,8
4675200,4675200,235474.5603,891165.365,0,9
4675200,4675200,235477.8269,891165.2038,0,10
4675200,4675200,235490.7246,891164.2206,0,11
4675300,4675300,235542.4813,891159.6879499999,0,1
4675300,4675300,235555.4335,891158.6124,0,2
4675300,4675300,235568.4993,891157.4949,0,3
4675300,4675300,235583.9185,891159.8687,0,4
4675300,4675300,235589.8467,891162.1098,0,5
4675300,4675300,235601.93315,891167.0422499999,0,6
4675400,4675400,235490.7246,891164.2206,0,1
4675400,4675400,235503.6223,891163.2374,0,2
4675400,4675400,235519.4371,891161.6048,0,3
4675400,4675400,235529.5291,891160.7635,0,4
4675400,4675400,235542.4813,891159.6879499999,0,5
4675500,4675500,235601.93315,891167.0422499999,0,1
4675500,4675500,235614.0196,891171.9747,0,2
4675500,4675500,235636.3071,891181.7545,0,3
4675600,4675600,235259.4291,891106.0268000001,0,1
4675600,4675600,235271.0025,891111.8675,0,2
4675600,4675600,235296.1682,891124.0832,0,3
4675600,4675600,235307.75855,891130.0904999999,0,4
4675700,4675700,235227.3417,891093.3272,0,1
4675700,4675700,235231.5914,891093.516,0,2
4675700,4675700,235242.107,891097.1726,0,3
4675700,4675700,235247.8557,891100.1861,0,4
4675700,4675700,235259.4291,891106.0268000001,0,5
4675800,4675800,235612.66554999998,890604.1206499999,0,1
4675800,4675800,235613.1077,890617.1146,0,2
4675800,4675800,235614.509,890713.1987,0,3
4675800,4675800,235616.4826,890730.2914,0,4
4675800,4675800,235617.31065,890743.3641,0,5
4675900,4675900,235617.31065,890743.3641,0,1
4675900,4675900,235618.1387,890756.4368,0,2
4675900,4675900,235618.5033,890787.9527,0,3
4675900,4675900,235620.5495,890802.9067,0,4
4675900,4675900,235624.7544,890829.3807,0,5
4675900,4675900,235651.7735,890910.7013,0,6
4675900,4675900,235660.4435,890941.6211,0,7
4675900,4675900,235668.6967,890966.2129,0,8
4675900,4675900,235683.8133,891004.5416,0,9
4675900,4675900,235688.0206,891010.6685,0,10
4750500,4750500,236330.05955,892116.1217,0,1
4750500,4750500,236334.1837,892128.4771,0,2
4750500,4750500,236352.689,892186.1613,0,3
4750500,4750500,236377.1656,892255.4095,0,4
4750700,4750700,236300.26140000002,892028.98065,0,1
4750700,4750700,236304.7591,892041.2261,0,2
4750700,4750700,236317.6191,892078.7076,0,3
4750700,4750700,236320.2134,892087.2702,0,4
4750700,4750700,236325.9354,892103.7663,0,5
4750700,4750700,236330.05955,892116.1217,0,6
4751100,4751100,236272.92575,891957.35785,0,1
4751100,4751100,236277.3852,891964.1297,0,2
4751100,4751100,236282.1542,891974.0963,0,3
4751100,4751100,236293.2108,892010.2205,0,4
4751100,4751100,236295.7637,892016.7352,0,5
4751100,4751100,236300.26140000002,892028.98065,0,6
4751200,4751200,236256.6288,891933.3676,0,1
4751200,4751200,236260.5522,891940.0485,0,2
4751200,4751200,236268.4663,891950.586,0,3
4751200,4751200,236272.92575,891957.35785,0,4
4751300,4751300,235959.98235,891509.7693,0,1
4751300,4751300,235970.9774,891517.0046,0,2
4751300,4751300,235983.5372,891527.2581,0,3
4751300,4751300,236008.0443,891549.148,0,4
4751300,4751300,236036.6633,891580.1379,0,5
4751300,4751300,236060.798,891606.0231,0,6
4751300,4751300,236080.7357,891633.9464,0,7
4751300,4751300,236103.3628,891669.1124,0,8
4751300,4751300,236118.5531,891693.5832,0,9
4751300,4751300,236135.2243,891717.0431,0,10
4751300,4751300,236142.8344,891727.5582000001,0,11
4751400,4751400,236142.8344,891727.5582000001,0,1
4751400,4751400,236150.4445,891738.0733,0,2
4751400,4751400,236169.2708,891763.6178,0,3
4751400,4751400,236189.6768,891799.498,0,4
4751400,4751400,236208.3923,891843.9287,0,5
4751400,4751400,236218.9574,891869.2417,0,6
