shapeid,id,road_type,category,from_node,to_node,road_name,tags
1,1,,2,53706,37595,CENTRAL AVENUE,
2,2,,2,37595,46602,CENTRAL AVENUE,
3,3,,2,46602,54503,RIVER STREET,
4,4,,2,54503,53932,STANDARD STREET,
5,5,,2,53932,53936,MORTON STREET,
6,6,,2,53936,53934,GALLIVAN BOULEVARD,
7,7,,2,53934,53932,MORTON STREET,
8,8,,2,53932,54054,MORTON STREET,
9,9,,2,54054,54050,WASHINGTON STREET,
10,10,,2,54050,46602,RIVER STREET,
11,11,,2,46602,37595,CENTRAL AVENUE,
12,12,,2,37595,53790,CENTRAL AVENUE,
13,13,,2,53790,53706,CENTRAL AVENUE,
14,14,,2,37595,51720,ELIOT STREET,
15,15,,2,51720,37595,ELIOT STREET,
16,16,,2,37595,52345,ELIOT STREET,
17,17,,2,52345,52272,ADAMS STREET,
18,18,,2,52272,53665,CANTON AVENUE,
19,19,,2,53665,52272,CANTON AVENUE,
20,20,,2,52272,52252,RANDOLPH AVENUE,
21,21,,2,52252,52272,RANDOLPH AVENUE,
22,22,,2,52272,52345,ADAMS STREET,
23,23,,2,52345,54063,ADAMS STREET,
24,24,,2,54063,54813,DORCHESTER AVENUE,
25,25,,2,54813,54063,DORCHESTER AVENUE,
26,26,,2,54063,54930,ADAMS STREET,
27,27,,2,54930,54063,ADAMS STREET,
28,28,,2,54063,52345,ADAMS STREET,
29,29,,2,52345,37595,ELIOT STREET,
30,30,,2,54063,54050,WASHINGTON STREET,
31,31,,2,54050,54054,WASHINGTON STREET,
32,32,,2,54054,53932,MORTON STREET,
33,33,,2,53932,53934,MORTON STREET,
34,34,,2,53934,53936,GALLIVAN BOULEVARD,
35,35,,2,53936,53932,MORTON STREET,
36,36,,2,53932,54503,WOODMERE STREET,
37,37,,2,54503,51725,RIVER STREET,
38,38,,2,51725,54503,RIVER STREET,
39,39,,2,54503,46602,RIVER STREET,
40,40,,2,46602,54050,RIVER STREET,
41,41,,2,54050,54063,WASHINGTON STREET,
42,42,,2,53936,53952,GALLIVAN BOULEVARD,
43,43,,2,53952,53913,MILTON AVENUE,
44,44,,2,53913,53952,MILTON AVENUE,
45,45,,2,53952,53936,GALLIVAN BOULEVARD,
46,46,,2,53952,54061,GALLIVAN BOULEVARD,
47,47,,2,54061,54829,GALLIVAN BOULEVARD,
48,48,,2,54061,54815,WASHINGTON STREET,
49,49,,2,54815,54061,WASHINGTON STREET,
50,50,,2,54061,53952,GALLIVAN BOULEVARD,
51,51,,2,54061,54054,WASHINGTON STREET,
52,52,,2,54054,54061,WASHINGTON STREET,
53,53,,2,53934,53933,MORTON STREET,
54,54,,2,53933,53934,MORTON STREET,
55,55,,2,52272,52363,ADAMS STREET,
56,56,,2,52363,52272,ADAMS STREET,
