shapeid,id,x,y,z,seq_id
1,1,234800.9501,890537.4118,0,1
1,1,234821.5225,890573.9198,0,2
1,1,234826.4299,890581.4615,0,3
1,1,234833.2052,890592.6321,0,4
1,1,234833.2052,890592.6321,0,5
1,1,234839.9805,890603.8027,0,6
1,1,234878.9773,890672.9397,0,7
1,1,234885.35655,890684.2688,0,8
1,1,234885.35655,890684.2688,0,9
1,1,234891.7358,890695.5979,0,10
1,1,234962.0321,890820.6549,0,11
1,1,234969.05550000002,890831.4247,0,12
1,1,234969.05550000002,890831.4247,0,13
1,1,234976.0789,890842.1945,0,14
1,1,234987.5551,890858.1417,0,15
1,1,235006.8427,890877.6188,0,16
1,1,235042.2003,890909.637,0,17
1,1,235074.3793,890939.1085,0,18
1,1,235110.4115,890970.6361,0,19
1,1,235120.19994999998,890979.1885500001,0,20
1,1,235120.19994999998,890979.1885500001,0,21
1,1,235129.9884,890987.741,0,22
1,1,235153.932,891008.6312,0,23
1,1,235163.51285,891017.50865,0,24
1,1,235163.51285,891017.50865,0,25
1,1,235173.0937,891026.3861,0,26
1,1,235187.0714,891040.137,0,27
1,1,235203.8411,891061.0282,0,28
1,1,235209.6549,891071.7044,0,29
1,1,235212.5999,891079.6418,0,30
1,1,235213.172,891081.8493,0,31
2,2,235217.4583,891108.0016,0,1
2,2,235217.3181,891113.7159,0,2
2,2,235217.1014,891123.3492,0,3
2,2,235211.9827,891149.1875,0,4
2,2,235209.6183,891160.3868,0,5
2,2,235208.5328,891166.0738,0,6
2,2,235206.02425,891178.8149,0,7
2,2,235206.02425,891178.8149,0,8
2,2,235203.5157,891191.556,0,9
2,2,235200.8883,891206.1308,0,10
2,2,235197.1434,891221.4178,0,11
2,2,235193.86695,891234.02925,0,12
2,2,235193.86695,891234.02925,0,13
2,2,235190.5905,891246.6407,0,14
2,2,235180.169,891284.5743,0,15
3,3,235171.2639,891297.5545,0,1
3,3,235160.0272,891292.7554,0,2
3,3,235152.82985,891291.1444,0,3
3,3,235152.82985,891291.1444,0,4
3,3,235145.6325,891289.5334,0,5
3,3,235135.1111,891289.0178,0,6
3,3,235118.914,891290.136,0,7
3,3,235093.8331,891295.8724,0,8
3,3,235072.9,891299.4263,0,9
3,3,235060.18949999998,891301.8822000001,0,10
3,3,235060.18949999998,891301.8822000001,0,11
3,3,235047.479,891304.3381,0,12
3,3,235036.1711,891306.7904,0,13
3,3,235007.0093,891313.6645,0,14
3,3,234980.9942,891317.1254,0,15
3,3,234967.0332,891317.1139,0,16
3,3,234953.9889,891317.0486999999,0,17
3,3,234953.9889,891317.0486999999,0,18
3,3,234940.9446,891316.9835,0,19
3,3,234918.5759,891316.0408,0,20
3,3,234896.4353,891317.1451,0,21
3,3,234888.8779,891317.7613,0,22
3,3,234876.07085,891319.3162,0,23
3,3,234876.07085,891319.3162,0,24
3,3,234863.2638,891320.8711,0,25
3,3,234858.2108,891321.6879,0,26
3,3,234836.0306,891327.6149,0,27
3,3,234823.39179999998,891330.7817500001,0,28
3,3,234823.39179999998,891330.7817500001,0,29
3,3,234810.753,891333.9486,0,30
3,3,234802.1562,891335.9917,0,31
3,3,234784.6871,891337.1488,0,32
3,3,234783.8698,891337.1182,0,33
4,4,234773.1996,891347.3864,0,1
4,4,234773.161,891384.6994,0,2
4,4,234771.77519999997,891397.7685,0,3
4,4,234771.77519999997,891397.7685,0,4
4,4,234770.3894,891410.8376,0,5
4,4,234766.3863,891431.5062,0,6
4,4,234760.7874,891445.7615,0,7
4,4,234755.5394,891457.7395,0,8
4,4,234755.5394,891457.7395,0,9
4,4,234750.2914,891469.7175,0,10
4,4,234748.5844,891473.2367,0,11
4,4,234737.9604,891500.1125,0,12
4,4,234734.6851,891511.2759,0,13
4,4,234731.02675000002,891523.7502,0,14
4,4,234731.02675000002,891523.7502,0,15
4,4,234727.3684,891536.2245,0,16
4,4,234724.2779,891546.7674,0,17
4,4,234718.83185,891558.77735,0,18
4,4,234718.83185,891558.77735,0,19
4,4,234713.3858,891570.7873,0,20
4,4,234702.8575,891587.347,0,21
4,4,234693.4261,891600.0284,0,22
4,4,234680.7326,891613.3656,0,23
4,4,234661.1048,891630.2189,0,24
4,4,234616.7363,891669.1411,0,25
4,4,234608.7336,891680.3383,0,26
4,4,234604.7836,891689.9879,0,27
4,4,234603.8799,891699.3282,0,28
4,4,234606.206,891724.6379,0,29
4,4,234608.9388,891746.2686,0,30
4,4,234610.13815,891759.2819999999,0,31
4,4,234610.13815,891759.2819999999,0,32
4,4,234611.3375,891772.2954,0,33
4,4,234612.1756,891786.6961,0,34
4,4,234624.7502,891894.756,0,35
4,4,234630.7641,891941.1251,0,36
4,4,234634.799,891954.3521,0,37
4,4,234639.778,891964.6976,0,38
4,4,234649.408,891977.7995,0,39
4,4,234648.3327,891988.9346,0,40
4,4,234648.3327,891988.9346,0,41
4,4,234647.2574,892000.0697,0,42
4,4,234634.0726,892012.2158,0,43
4,4,234628.1322,892018.2653,0,44
4,4,234628.23365,892025.81925,0,45
4,4,234628.23365,892025.81925,0,46
4,4,234628.3351,892033.3732,0,47
4,4,234629.209,892034.2166,0,48
4,4,234645.924,892052.3797,0,49
4,4,234667.6819,892072.1582,0,50
5,5,234688.9695,892083.1218,0,1
5,5,234703.504,892086.2716,0,2
5,5,234717.8242,892088.9082,0,3
5,5,234723.3496,892090.4393,0,4
6,6,234723.3956,892102.7002,0,1
6,6,234715.2958,892104.426,0,2
6,6,234697.0681,892109.0631,0,3
6,6,234676.2543,892115.681,0,4
6,6,234645.0282,892126.6783,0,5
7,7,234637.7604,892115.1812,0,1
7,7,234663.7891,892088.9728,0,2
8,8,234683.2703,892071.209,0,1
8,8,234752.5808,892014.0273,0,2
8,8,234771.8545,892002.6371,0,3
8,8,234783.0027,891995.98375,0,4
8,8,234783.0027,891995.98375,0,5
8,8,234794.1509,891989.3304,0,6
8,8,234829.4657,891968.047,0,7
8,8,234837.14945,891963.36335,0,8
8,8,234837.14945,891963.36335,0,9
8,8,234844.8332,891958.6797,0,10
8,8,234864.8742,891946.1052,0,11
8,8,234872.3789,891941.17885,0,12
8,8,234872.3789,891941.17885,0,13
8,8,234879.8836,891936.2525,0,14
8,8,234889.6293,891929.7437,0,15
8,8,234900.86805,891922.9033,0,16
8,8,234900.86805,891922.9033,0,17
8,8,234912.1068,891916.0629,0,18
8,8,234923.427,891909.8097,0,19
8,8,234934.9257,891903.642,0,20
8,8,234934.9257,891903.642,0,21
8,8,234946.4244,891897.4743,0,22
8,8,234963.4265,891888.6232,0,23
8,8,235048.574,891844.3404,0,24
8,8,235060.17095,891838.4073999999,0,25
8,8,235060.17095,891838.4073999999,0,26
8,8,235071.7679,891832.4744,0,27
8,8,235112.8948,891811.7802,0,28
8,8,235132.1554,891802.9062,0,29
8,8,235143.57254999998,891797.0652000001,0,30
8,8,235143.57254999998,891797.0652000001,0,31
8,8,235154.9897,891791.2242,0,32
8,8,235184.629,891774.4884,0,33
8,8,235189.906,891771.5535,0,34
8,8,235200.53204999998,891764.6227500001,0,35
8,8,235200.53204999998,891764.6227500001,0,36
8,8,235211.1581,891757.692,0,37
8,8,235249.1323,891728.9234,0,38
8,8,235276.5366,891707.5724,0,39
8,8,235286.78865,891699.5806,0,40
8,8,235286.78865,891699.5806,0,41
8,8,235297.0407,891691.5888,0,42
8,8,235362.0729,891640.8668,0,43
8,8,235409.1159,891604.3344,0,44
8,8,235414.9131,891599.8345,0,45
8,8,235424.45685000002,891591.4188,0,46
8,8,235424.45685000002,891591.4188,0,47
8,8,235434.0006,891583.0031,0,48
8,8,235440.0927,891576.9126,0,49
8,8,235451.9569,891565.5456,0,50
9,9,235464.4711,891546.252,0,1
9,9,235464.7206,891545.0124,0,2
9,9,235471.9639,891521.7161,0,3
9,9,235476.2808,891509.3785,0,4
9,9,235476.2808,891509.3785,0,5
9,9,235480.5977,891497.0409,0,6
9,9,235499.9429,891447.4187,0,7
9,9,235509.501,891432.4933,0,8
9,9,235512.6522,891430.6459,0,9
10,10,235512.672,891421.3252,0,1
10,10,235498.7977,891413.1114,0,2
10,10,235469.6963,891399.9846,0,3
10,10,235436.0879,891381.62,0,4
10,10,235427.1044,891377.9905,0,5
10,10,235414.94035,891374.2615,0,6
10,10,235414.94035,891374.2615,0,7
10,10,235402.7763,891370.5325,0,8
10,10,235383.6886,891367.0355,0,9
10,10,235370.90115,891364.7812999999,0,10
10,10,235370.90115,891364.7812999999,0,11
10,10,235358.1137,891362.5271,0,12
10,10,235347.361,891360.706,0,13
10,10,235327.9489,891358.9464,0,14
10,10,235313.1903,891357.0916,0,15
10,10,235300.33755,891355.9984500001,0,16
10,10,235300.33755,891355.9984500001,0,17
10,10,235287.4848,891354.9053,0,18
10,10,235264.0816,891353.8589,0,19
10,10,235243.7772,891352.627,0,20
10,10,235230.5852,891347.7924,0,21
10,10,235214.168,891336.1064,0,22
10,10,235197.0067,891319.3873,0,23
10,10,235182.7995,891306.8141,0,24
11,11,235175.8298,891283.3821,0,1
11,11,235186.2513,891245.4485,0,2
11,11,235189.51195000001,891232.89775,0,3
11,11,235189.51195000001,891232.89775,0,4
11,11,235192.7726,891220.347,0,5
11,11,235196.4843,891205.1954,0,6
11,11,235199.0871,891190.7576,0,7
11,11,235201.59985,891177.9939,0,8
11,11,235201.59985,891177.9939,0,9
11,11,235204.1126,891165.2302,0,10
11,11,235205.2063,891159.5001,0,11
11,11,235207.5739,891148.2855,0,12
11,11,235212.6114,891122.8576,0,13
11,11,235212.8193,891113.6101,0,14
11,11,235212.9597,891107.8912,0,15
12,12,235208.8158,891082.9781,0,1
12,12,235208.3013,891080.9924,0,2
12,12,235205.5483,891073.5728,0,3
12,12,235200.0809,891063.5324,0,4
