id,x,y,z,traffic_light_id,tags,node_type
37595,235214.308098,891094.036956,0,2300,,
46602,235174.609011,891295.552502,0,0,,
51720,,,0,,,
51725,,,0,,,
52252,,,0,,,
52272,235693.578195,891021.697548,0,0,,
52345,235647.360718,891188.077365,0,2311,,
52363,,,0,,,
53665,,,0,,,
53706,234792.661436,890526.22972,0,0,,
53790,,,0,,,
53913,,,0,,,
53932,234675.841588,892081.606176,0,0,,
53933,,,0,,,
53934,,,0,,,
53936,234735.330297,892095.117689,0,1320,,
53952,235078.953825,892048.615484,0,0,,
54050,235525.058245,891425.050616,0,0,,
54054,235464.164737,891558.479101,0,1276,,
54061,,,0,,,
54063,235635.757274,891394.17584,0,1613,,
54503,234771.01657,891333.422856,0,0,,
54813,,,0,,,
54815,,,0,,,
54829,,,0,,,
54930,,,0,,,
