id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category
38876,40,1,1,,56.0,,2
38877,40,2,1,,56.0,,2
38878,40,4,1,,56.0,,2
38879,40,3,1,,56.0,,2
38889,38,1,1,,56.0,,2
46663,21,3,1,,60.0,,2
46664,21,2,1,,60.0,,2
46665,21,1,1,,60.0,,2
46752,16,3,1,,48.0,,2
46753,16,5,1,,48.0,,2
46754,16,4,1,,48.0,,2
46755,16,6,1,,48.0,,2
46756,16,2,1,,48.0,,2
46757,16,1,1,,48.0,,2
46758,21,4,1,,60.0,,2
46759,21,5,1,,60.0,,2
47505,26,9,1,,40.0,,2
47507,26,8,1,,40.0,,2
47511,26,7,1,,40.0,,2
47512,26,6,1,,40.0,,2
47513,26,4,1,,40.0,,2
47514,26,5,1,,40.0,,2
60768,4,6,1,,48.0,,2
60769,36,2,1,,48.0,,2
60770,4,8,1,,48.0,,2
61021,52,8,1,,45.0,,2
61022,52,7,1,,56.0,,2
61027,48,1,1,,40.0,,2
63414,5,1,1,,56.0,,2
64538,19,1,1,,48.0,,2
64540,19,2,1,,48.0,,2
64541,55,3,1,,60.0,,2
64542,55,2,1,,60.0,,2
64543,55,4,1,,60.0,,2
64544,55,1,1,,60.0,,2
64545,55,5,1,,60.0,,2
64546,55,7,1,,60.0,,2
64547,55,9,1,,56.0,,2
64548,55,6,1,,60.0,,2
64549,55,8,1,,60.0,,2
64550,15,1,1,,48.0,,2
64551,15,8,1,,48.0,,2
64552,15,9,1,,48.0,,2
64553,15,5,1,,48.0,,2
64554,15,6,1,,48.0,,2
64555,15,2,1,,48.0,,2
64556,15,4,1,,48.0,,2
64557,15,3,1,,48.0,,2
66005,43,1,1,,32.0,,2
66096,38,3,1,,56.0,,2
66097,38,8,1,,56.0,,2
66098,38,12,1,,56.0,,2
66099,38,2,1,,56.0,,2
66100,38,11,1,,56.0,,2
66101,38,10,1,,56.0,,2
66102,38,5,1,,56.0,,2
66103,38,7,1,,56.0,,2
66104,38,4,1,,56.0,,2
66105,38,6,1,,56.0,,2
66106,38,9,1,,56.0,,2
66107,38,13,1,,56.0,,2
66108,39,3,1,,56.0,,2
66109,39,6,1,,56.0,,2
66110,39,2,1,,56.0,,2
66111,39,1,1,,56.0,,2
66112,39,4,1,,56.0,,2
66113,39,5,1,,56.0,,2
66166,24,1,1,,45.0,,2
66167,24,2,1,,45.0,,2
66168,24,3,1,,45.0,,2
66169,26,3,1,,40.0,,2
66170,26,1,1,,40.0,,2
66171,26,2,1,,40.0,,2
66172,41,2,1,,56.0,,2
66173,41,1,1,,45.0,,2
66174,52,6,1,,56.0,,2
66175,52,2,1,,45.0,,2
66176,52,5,1,,45.0,,2
66177,52,1,1,,45.0,,2
66178,52,3,1,,45.0,,2
66179,52,4,1,,45.0,,2
66180,31,2,1,,56.0,,2
66181,31,1,1,,45.0,,2
66207,4,2,1,,48.0,,2
66208,4,1,1,,48.0,,2
66209,4,3,1,,48.0,,2
68458,19,4,1,,48.0,,2
68459,19,5,1,,48.0,,2
68460,19,7,1,,48.0,,2
68461,19,6,1,,48.0,,2
68462,19,9,1,,48.0,,2
68463,19,10,1,,48.0,,2
68464,19,8,1,,48.0,,2
68465,19,3,1,,48.0,,2
68516,55,10,1,,60.0,,2
68781,4,4,1,,48.0,,2
