shapeid,id,x,y,z,seq_id
38876,38876,235185.7817,891303.4443,0,1
38876,38876,235200.0697,891316.0889,0,2
38876,38876,235217.06,891332.6414,0,3
38876,38876,235232.7018,891343.7754,0,4
38876,38876,235244.7072,891348.1752,0,5
38876,38876,235264.3184,891349.3649,0,6
38876,38876,235287.6858,891350.4097,0,7
38876,38876,235300.71865,891351.51825,0,8
38877,38877,235300.71865,891351.51825,0,1
38877,38877,235313.7515,891352.6268,0,2
38877,38877,235328.4327,891354.4718,0,3
38877,38877,235347.9408,891356.24,0,4
38877,38877,235358.8651,891358.0903,0,5
38877,38877,235371.68235000002,891360.3497,0,6
38878,38878,235416.18865000003,891369.9621,0,1
38878,38878,235428.79,891373.8181,0,2
38878,38878,235438.0161,891377.5456,0,3
38878,38878,235471.7033,891395.9532,0,4
38878,38878,235500.8755,891409.112,0,5
38878,38878,235514.9644,891417.453,0,6
38879,38879,235371.68235000002,891360.3497,0,1
38879,38879,235384.4996,891362.6091,0,2
38879,38879,235403.5873,891366.1061,0,3
38879,38879,235416.18865000003,891369.9621,0,4
38889,38889,234031.9572,891171.3051,0,1
38889,38889,234056.0564,891181.9881,0,2
38889,38889,234121.7488,891211.8545,0,3
38889,38889,234164.2027,891230.8971,0,4
38889,38889,234191.232,891240.0085,0,5
38889,38889,234198.67095,891242.4508,0,6
46663,46663,235610.12900000002,890482.33945,0,1
46663,46663,235610.4716,890495.3526,0,2
46663,46663,235612.2234,890591.1267,0,3
46663,46663,235612.66554999998,890604.1206499999,0,4
46664,46664,235605.74145,890340.1673999999,0,1
46664,46664,235605.9376,890353.2085,0,2
46664,46664,235605.9193,890356.8252,0,3
46664,46664,235609.7864,890469.3263,0,4
46664,46664,235610.12900000002,890482.33945,0,5
46665,46665,235596.757,890051.1499,0,1
46665,46665,235596.7406,890051.3934,0,2
46665,46665,235603.5498,890270.3547,0,3
46665,46665,235605.5453,890327.1263,0,4
46665,46665,235605.74145,890340.1673999999,0,5
46752,46752,235307.75855,891130.0904999999,0,1
46752,46752,235319.3489,891136.0978,0,2
46752,46752,235329.9647,891141.9587,0,3
46752,46752,235359.4601,891153.3495,0,4
46752,46752,235375.7095,891158.1421,0,5
46752,46752,235393.2677,891160.9687,0,6
46752,46752,235432.1675,891163.4906,0,7
46752,46752,235451.343,891164.6956,0,8
46752,46752,235474.5603,891165.365,0,9
46752,46752,235477.8269,891165.2038,0,10
46752,46752,235490.7246,891164.2206,0,11
46753,46753,235542.4813,891159.6879499999,0,1
46753,46753,235555.4335,891158.6124,0,2
46753,46753,235568.4993,891157.4949,0,3
46753,46753,235583.9185,891159.8687,0,4
46753,46753,235589.8467,891162.1098,0,5
46753,46753,235601.93315,891167.0422499999,0,6
46754,46754,235490.7246,891164.2206,0,1
46754,46754,235503.6223,891163.2374,0,2
46754,46754,235519.4371,891161.6048,0,3
46754,46754,235529.5291,891160.7635,0,4
46754,46754,235542.4813,891159.6879499999,0,5
46755,46755,235601.93315,891167.0422499999,0,1
46755,46755,235614.0196,891171.9747,0,2
46755,46755,235636.3071,891181.7545,0,3
46756,46756,235259.4291,891106.0268000001,0,1
46756,46756,235271.0025,891111.8675,0,2
46756,46756,235296.1682,891124.0832,0,3
46756,46756,235307.75855,891130.0904999999,0,4
46757,46757,235227.3417,891093.3272,0,1
46757,46757,235231.5914,891093.516,0,2
46757,46757,235242.107,891097.1726,0,3
46757,46757,235247.8557,891100.1861,0,4
46757,46757,235259.4291,891106.0268000001,0,5
