shapeid,id,x,y,z,seq_id
439,439,235182.7995,891306.8141,0,1
439,439,235185.7817,891303.4443,0,2
325,325,235182.7995,891306.8141,0,1
325,325,235175.8298,891283.3821,0,2
437,437,235182.7995,891306.8141,0,1
437,437,235171.2639,891297.5545,0,2
379,379,234030.1336,891175.4191,0,1
379,379,234031.9572,891171.3051,0,2
341,341,235592.267,890050.8489,0,1
341,341,235596.757,890051.1499,0,2
339,339,235227.1419,891097.8228,0,1
339,339,235201.0974,891095.9741,0,2
342,342,235227.1419,891097.8228,0,1
342,342,235208.8158,891082.9781,0,2
364,364,235227.1419,891097.8228,0,1
364,364,235217.4583,891108.0016,0,2
329,329,235227.1419,891097.8228,0,1
329,329,235227.3417,891093.3272,0,2
412,412,235505.604,892131.0596,0,1
412,412,235509.6106,892133.1082,0,2
346,346,235505.604,892131.0596,0,1
346,346,235510.7607,892115.8767,0,2
450,450,235505.604,892131.0596,0,1
450,450,235495.21731307809,892127.63873839332,0,2
328,328,235505.604,892131.0596,0,1
328,328,235522.17462840391,892131.84475381626,0,2
372,372,234688.0165,892087.5198,0,1
372,372,234664.6549,892075.488,0,2
349,349,234688.0165,892087.5198,0,1
349,349,234670.60055614301,892095.73767216806,0,2
355,355,234688.0165,892087.5198,0,1
355,355,234688.9695,892083.1218,0,2
394,394,234688.0165,892087.5198,0,1
394,394,234684.28851842263,892072.4431925473,0,2
356,356,235231.4163,890200.3627,0,1
356,356,235235.7363,890199.1027,0,2
404,404,235698.961,891010.6375,0,1
404,404,235692.518,891035.8135,0,2
368,368,235698.961,891010.6375,0,1
368,368,235684.311,891013.2159,0,2
419,419,235698.961,891010.6375,0,1
419,419,235694.6046,891009.5097,0,2
400,400,235698.961,891010.6375,0,1
400,400,235682.2575,891015.7951,0,2
403,403,234099.4412,890655.2094,0,1
403,403,234101.6258,890651.2752,0,2
388,388,235073.5529,892061.6378,0,1
388,388,235091.43547058527,892045.37830412341,0,2
480,480,235073.5529,892061.6378,0,1
480,480,235077.9175,892062.7334,0,2
365,365,235073.5529,892061.6378,0,1
365,365,235066.86774706628,892057.03192208882,0,2
386,386,234783.8698,891337.1182,0,1
386,386,234784.038,891332.6214,0,2
425,425,234783.8698,891337.1182,0,1
425,425,234773.1996,891347.3864,0,2
327,327,234783.8698,891337.1182,0,1
327,327,234765.8141,891335.7099,0,2
361,361,235633.5689,891408.3204,0,1
361,361,235648.8293,891393.801,0,2
335,335,235633.5689,891408.3204,0,1
335,335,235631.0637,891397.5177,0,2
492,492,235633.5689,891408.3204,0,1
492,492,235636.186,891382.0514,0,2
423,423,235633.5689,891408.3204,0,1
423,423,235638.0465,891407.871,0,2
421,421,235648.5149,891398.29,0,1
421,421,235638.0465,891407.871,0,2
479,479,235648.5149,891398.29,0,1
479,479,235631.0637,891397.5177,0,2
434,434,235648.5149,891398.29,0,1
434,434,235636.186,891382.0514,0,2
446,446,235648.5149,891398.29,0,1
446,446,235648.8293,891393.801,0,2
494,494,235538.001,891423.7403,0,1
494,494,235512.672,891421.3252,0,2
489,489,235538.001,891423.7403,0,1
489,489,235536.4816,891419.5045,0,2
393,393,235538.001,891423.7403,0,1
393,393,235514.928,891434.5279,0,2
418,418,235460.3936,891572.113,0,1
418,418,235464.8674,891572.5984,0,2
324,324,235460.3936,891572.113,0,1
324,324,235458.59840485419,891572.47751884942,0,2
390,390,235460.3936,891572.113,0,1
390,390,235464.4711,891546.252,0,2
452,452,235512.6522,891430.6459,0,1
452,452,235514.928,891434.5279,0,2
482,482,235512.6522,891430.6459,0,1
482,482,235512.672,891421.3252,0,2
429,429,235512.6522,891430.6459,0,1
429,429,235536.4816,891419.5045,0,2
323,323,234768.6996,891347.3818,0,1
323,323,234773.1996,891347.3864,0,2
347,347,234768.6996,891347.3818,0,1
347,347,234765.8141,891335.7099,0,2
406,406,234768.6996,891347.3818,0,1
406,406,234784.038,891332.6214,0,2
432,432,235641.0648,891200.6615,0,1
432,432,235645.3342,891202.0835,0,2
363,363,235641.0648,891200.6615,0,1
363,363,235648.9439,891175.9472,0,2
350,350,235641.0648,891200.6615,0,1
350,350,235634.4989,891185.8753,0,2
426,426,235688.1554,891034.7099,0,1
426,426,235694.6046,891009.5097,0,2
413,413,235688.1554,891034.7099,0,1
413,413,235682.2575,891015.7951,0,2
378,378,235688.1554,891034.7099,0,1
378,378,235684.311,891013.2159,0,2
483,483,235688.1554,891034.7099,0,1
483,483,235692.518,891035.8135,0,2
354,354,234790.52635,890528.39685,0,1
354,354,234800.9501,890537.4118,0,2
461,461,234790.52635,890528.39685,0,1
461,461,234790.52635,890528.39685,0,2
411,411,235212.9597,891107.8912,0,1
411,411,235227.3417,891093.3272,0,2
491,491,235212.9597,891107.8912,0,1
491,491,235201.0974,891095.9741,0,2
486,486,235212.9597,891107.8912,0,1
486,486,235208.8158,891082.9781,0,2
348,348,235212.9597,891107.8912,0,1
348,348,235217.4583,891108.0016,0,2
462,462,234597.2052,890072.8969,0,1
462,462,234601.62,890072.0251,0,2
330,330,234721.39519242948,892093.31092320231,0,1
330,330,234722.1478,892094.7759,0,2
416,416,234721.39519242948,892093.31092320231,0,1
416,416,234747.51390457217,892088.96497676778,0,2
458,458,234722.06200757052,892096.44067679776,0,1
458,458,234723.06217710761,892101.13532646676,0,2
345,345,234722.06200757052,892096.44067679776,0,1
345,345,234747.89649542782,892092.1420232323,0,2
431,431,234662.653843857,892087.84532783192,0,1
431,431,234664.6549,892075.488,0,2
398,398,234662.653843857,892087.84532783192,0,1
398,398,234682.25208157738,892069.97480745276,0,2
409,409,234664.92435614299,892090.10027216806,0,1
409,409,234668.33004385701,892093.48272783193,0,2
336,336,234664.92435614299,892090.10027216806,0,1
336,336,234684.28851842263,892072.4431925473,0,2
414,414,234664.92435614299,892090.10027216806,0,1
414,414,234688.9695,892083.1218,0,2
366,366,235065.21685293372,892045.95427791122,0,1
366,366,235090.98692941471,892042.2098958767,0,2
465,465,235065.68854706627,892049.11932208878,0,1
465,465,235091.43547058527,892045.37830412341,0,2
484,484,235065.68854706627,892049.11932208878,0,1
484,484,235066.39605293373,892053.86687791126,0,2
359,359,235065.68854706627,892049.11932208878,0,1
359,359,235077.9175,892062.7334,0,2
468,468,235500.41548056155,892117.71805827413,0,1
468,468,235510.7607,892115.8767,0,2
382,382,235500.41548056155,892117.71805827413,0,1
382,382,235523.48477159609,892128.92524618376,0,2
443,443,235498.93031943846,892120.5525417258,0,1
443,443,235496.70248692189,892124.80426160665,0,2
417,417,235498.93031943846,892120.5525417258,0,1
417,417,235509.6106,892133.1082,0,2
322,322,235498.93031943846,892120.5525417258,0,1
322,322,235522.17462840391,892131.84475381626,0,2
415,415,235450.84999651738,891564.39027983649,0,1
415,415,235464.4711,891546.252,0,2
360,360,235450.84999651738,891564.39027983649,0,1
360,360,235464.8674,891572.5984,0,2
380,380,235453.0638034826,891566.70092016342,0,1
380,380,235456.38459514582,891570.16688115068,0,2
453,453,234625.60956398005,892124.40269833058,0,1
453,453,234636.625143857,892114.05372783192,0,2
385,385,234625.60956398005,892124.40269833058,0,1
385,385,234641.8393077355,892117.62335588061,0,2
375,375,234627.40063601997,892127.05450166948,0,1
375,375,234630.08716398003,892131.03229833057,0,2
371,371,234627.40063601997,892127.05450166948,0,1
371,371,234642.90229226451,892120.64164411929,0,2
326,326,234689.37951824916,892078.61419269047,0,1
326,326,234670.60055614301,892095.73767216806,0,2
391,391,234689.37951824916,892078.61419269047,0,1
391,391,234688.9695,892083.1218,0,2
428,428,234687.34308175082,892076.14580730954,0,1
428,428,234664.6549,892075.488,0,2
463,463,234687.34308175082,892076.14580730954,0,1
463,463,234668.33004385701,892093.48272783193,0,2
454,454,234687.34308175082,892076.14580730954,0,1
