id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category
1,1,1,2,1000,60,,2
2,2,1,2,1000,60,,2
3,3,1,2,1000,60,,2
4,4,1,2,1000,60,,2
5,5,1,2,1000,60,,2
6,6,1,2,1000,60,,2
7,6,2,2,1000,60,,2
8,7,1,2,1000,60,,2
9,7,2,2,1000,60,,2
10,8,1,2,1000,60,,2
11,9,1,2,1000,60,,2
12,10,1,2,1000,60,,2
13,11,1,2,1000,60,,2
14,12,1,2,1000,60,,2
15,12,2,2,1000,60,,2
16,13,1,2,1000,60,,2
17,13,2,2,1000,60,,2
18,14,1,2,1000,60,,2
19,15,1,2,1000,60,,2
20,15,2,2,1000,60,,2
21,16,1,2,1000,60,,2
22,17,1,2,1000,60,,2
23,17,2,2,1000,60,,2
24,18,1,2,1000,60,,2
25,19,1,2,1000,60,,2
26,20,1,2,1000,60,,2
27,21,1,2,1000,60,,2
28,22,1,2,1000,60,,2
29,23,1,2,1000,60,,2
30,24,1,2,1000,60,,2
31,24,2,2,1000,60,,2
32,25,1,2,1000,60,,2
33,26,1,2,1000,60,,2
34,27,1,2,1000,60,,2
35,27,2,2,1000,60,,2
36,27,3,2,1000,60,,2
37,28,1,2,1000,60,,2
38,29,1,2,1000,60,,2
39,30,1,2,1000,60,,2
40,31,1,2,1000,60,,2
41,32,1,2,1000,60,,2
42,32,2,2,1000,60,,2
43,33,1,2,1000,60,,2
44,34,1,2,1000,60,,2
45,34,2,2,1000,60,,2
46,35,1,2,1000,60,,2
47,36,1,2,1000,60,,2
48,36,2,2,1000,60,,2
49,37,1,2,1000,60,,2
50,38,1,2,1000,60,,2
51,39,1,2,1000,60,,2
52,40,1,2,1000,60,,2
53,41,1,2,1000,60,,2
54,42,1,2,1000,60,,2
55,43,1,2,1000,60,,2
56,43,2,2,1000,60,,2
57,44,1,2,1000,60,,2
58,44,2,2,1000,60,,2
59,44,3,2,1000,60,,2
60,45,1,2,1000,60,,2
61,45,2,2,1000,60,,2
62,46,1,2,1000,60,,2
63,46,2,2,1000,60,,2
64,47,1,2,1000,60,,2
65,48,1,2,1000,60,,2
66,49,1,2,1000,60,,2
67,50,1,2,1000,60,,2
68,51,1,2,1000,60,,2
69,52,1,2,1000,60,,2
70,53,1,2,1000,60,,2
71,53,2,2,1000,60,,2
72,54,1,2,1000,60,,2
73,55,1,2,1000,60,,2
74,56,1,2,1000,60,,2
75,56,2,2,1000,60,,2
76,57,1,2,1000,60,,2
77,57,2,2,1000,60,,2
78,57,3,2,1000,60,,2
79,57,4,2,1000,60,,2
80,57,5,2,1000,60,,2
81,57,6,2,1000,60,,2
82,57,7,2,1000,60,,2
83,57,8,2,1000,60,,2
84,57,9,2,1000,60,,2
85,57,10,2,1000,60,,2
86,57,11,2,1000,60,,2
87,57,12,2,1000,60,,2
88,57,13,2,1000,60,,2
89,57,14,2,1000,60,,2
90,57,15,2,1000,60,,2
91,57,16,2,1000,60,,2
92,57,17,2,1000,60,,2
93,57,18,2,1000,60,,2
94,57,19,2,1000,60,,2
95,57,20,2,1000,60,,2
96,57,21,2,1000,60,,2
97,57,22,2,1000,60,,2
98,57,23,2,1000,60,,2
99,57,24,2,1000,60,,2
100,57,25,2,1000,60,,2
101,57,26,2,1000,60,,2
102,58,1,2,1000,60,,2
103,58,2,2,1000,60,,2
104,58,3,2,1000,60,,2
105,58,4,2,1000,60,,2
106,58,5,2,1000,60,,2
107,58,6,2,1000,60,,2
108,58,7,2,1000,60,,2
109,58,8,2,1000,60,,2
110,58,9,2,1000,60,,2
111,58,10,2,1000,60,,2
112,58,11,2,1000,60,,2
113,58,12,2,1000,60,,2
114,59,1,2,1000,60,,2
115,60,1,2,1000,60,,2
116,61,1,2,1000,60,,2
117,62,1,2,1000,60,,2
118,62,2,2,1000,60,,2
119,62,3,2,1000,60,,2
120,63,1,2,1000,60,,2
121,64,1,2,1000,60,,2
122,65,1,2,1000,60,,2
123,65,2,2,1000,60,,2
124,65,3,2,1000,60,,2
125,66,1,2,1000,60,,2
126,67,1,2,1000,60,,2
127,68,1,2,1000,60,,2
128,68,2,2,1000,60,,2
129,68,3,2,1000,60,,2
130,68,4,2,1000,60,,2
131,68,5,2,1000,60,,2
132,69,1,2,1000,60,,2
133,69,2,2,1000,60,,2
134,69,3,2,1000,60,,2
135,70,1,2,1000,60,,2
136,71,1,2,1000,60,,2
