id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category
1,1,1,2,1000,60,,2
2,2,1,2,1000,60,,2
3,3,1,2,1000,60,,2
4,4,1,2,1000,60,,2
5,5,1,2,1000,60,,2
6,6,1,2,1000,60,,2
7,7,1,2,1000,60,,2
8,8,1,2,1000,60,,2
9,9,1,2,1000,60,,2
10,10,1,2,1000,60,,2
11,11,1,2,1000,60,,2
12,12,1,2,1000,60,,2
13,13,1,2,1000,60,,2
14,14,1,2,1000,60,,2
15,15,1,2,1000,60,,2
16,16,1,2,1000,60,,2
17,17,1,2,1000,60,,2
18,18,1,2,1000,60,,2
19,19,1,2,1000,60,,2
20,20,1,2,1000,60,,2
21,21,1,2,1000,60,,2
22,22,1,2,1000,60,,2
23,23,1,2,1000,60,,2
24,24,1,2,1000,60,,2
25,25,1,2,1000,60,,2
26,26,1,2,1000,60,,2
27,27,1,2,1000,60,,2
28,28,1,2,1000,60,,2
29,29,1,2,1000,60,,2
30,30,1,2,1000,60,,2
31,31,1,2,1000,60,,2
32,32,1,2,1000,60,,2
33,33,1,2,1000,60,,2
34,34,1,2,1000,60,,2
35,35,1,2,1000,60,,2
36,36,1,2,1000,60,,2
37,36,2,2,1000,60,,2
38,37,1,2,1000,60,,2
39,38,1,2,1000,60,,2
40,39,1,2,1000,60,,2
41,40,1,2,1000,60,,2
42,41,1,2,1000,60,,2
43,42,1,2,1000,60,,2
44,43,1,2,1000,60,,2
45,44,1,2,1000,60,,2
46,45,1,2,1000,60,,2
47,46,1,2,1000,60,,2
48,47,1,2,1000,60,,2
49,48,1,2,1000,60,,2
50,49,1,2,1000,60,,2
51,50,1,2,1000,60,,2
52,51,1,2,1000,60,,2
53,52,1,2,1000,60,,2
54,53,1,2,1000,60,,2
55,54,1,2,1000,60,,2
56,55,1,2,1000,60,,2
57,56,1,2,1000,60,,2
58,56,2,2,1000,60,,2
59,57,1,2,1000,60,,2
60,57,2,2,1000,60,,2
61,57,3,2,1000,60,,2
62,57,4,2,1000,60,,2
63,57,5,2,1000,60,,2
64,57,6,2,1000,60,,2
65,57,7,2,1000,60,,2
66,57,8,2,1000,60,,2
67,57,9,2,1000,60,,2
68,57,10,2,1000,60,,2
69,57,11,2,1000,60,,2
70,57,12,2,1000,60,,2
71,57,13,2,1000,60,,2
72,57,14,2,1000,60,,2
73,57,15,2,1000,60,,2
74,57,16,2,1000,60,,2
75,57,17,2,1000,60,,2
76,57,18,2,1000,60,,2
77,57,19,2,1000,60,,2
78,57,20,2,1000,60,,2
79,57,21,2,1000,60,,2
80,57,22,2,1000,60,,2
81,57,23,2,1000,60,,2
82,57,24,2,1000,60,,2
83,57,25,2,1000,60,,2
84,57,26,2,1000,60,,2
85,58,1,2,1000,60,,2
86,58,2,2,1000,60,,2
87,58,3,2,1000,60,,2
88,58,4,2,1000,60,,2
89,58,5,2,1000,60,,2
90,58,6,2,1000,60,,2
91,58,7,2,1000,60,,2
92,58,8,2,1000,60,,2
93,58,9,2,1000,60,,2
94,58,10,2,1000,60,,2
95,58,11,2,1000,60,,2
96,58,12,2,1000,60,,2
97,59,1,2,1000,60,,2
98,60,1,2,1000,60,,2
99,61,1,2,1000,60,,2
100,62,1,2,1000,60,,2
101,62,2,2,1000,60,,2
102,63,1,2,1000,60,,2
103,64,1,2,1000,60,,2
104,65,1,2,1000,60,,2
105,65,2,2,1000,60,,2
106,66,1,2,1000,60,,2
107,67,1,2,1000,60,,2
108,68,1,2,1000,60,,2
109,68,2,2,1000,60,,2
110,68,3,2,1000,60,,2
111,68,4,2,1000,60,,2
112,68,5,2,1000,60,,2
113,69,1,2,1000,60,,2
114,69,2,2,1000,60,,2
115,70,1,2,1000,60,,2
116,71,1,2,1000,60,,2
117,71,2,2,1000,60,,2
118,71,3,2,1000,60,,2
119,71,4,2,1000,60,,2
120,71,5,2,1000,60,,2
121,72,1,2,1000,60,,2
122,72,2,2,1000,60,,2
123,73,1,2,1000,60,,2
124,73,2,2,1000,60,,2
125,73,3,2,1000,60,,2
126,73,4,2,1000,60,,2
127,73,5,2,1000,60,,2
128,73,6,2,1000,60,,2
129,73,7,2,1000,60,,2
130,73,8,2,1000,60,,2
131,73,9,2,1000,60,,2
132,73,10,2,1000,60,,2
133,73,11,2,1000,60,,2
134,74,1,2,1000,60,,2
135,75,1,2,1000,60,,2
136,75,2,2,1000,60,,2
