id,from_segment,to_segment,from_lane,to_lane,is_true_connector,tags
26,10,11,1000,1101,,
25,10,11,1000,1100,,
28,10,11,1001,1101,,
27,10,11,1001,1100,,
30,11,12,1100,1201,,
29,11,12,1100,1200,,
31,11,12,1101,1200,,
32,11,12,1101,1201,,
33,12,13,1200,1300,,
34,12,13,1200,1301,,
36,12,13,1201,1301,,
35,12,13,1201,1300,,
38,13,14,1300,1401,,
37,13,14,1300,1400,,
39,13,14,1301,1400,,
40,13,14,1301,1401,,
42,14,15,1400,1501,,
41,14,15,1400,1500,,
43,14,15,1401,1500,,
44,14,15,1401,1501,,
46,15,16,1500,1601,,
45,15,16,1500,1600,,
48,15,16,1501,1601,,
47,15,16,1501,1600,,
2,4,5,400,501,,
1,4,5,400,500,,
4,4,5,401,501,,
3,4,5,401,500,,
6,5,6,500,601,,
5,5,6,500,600,,
7,5,6,501,600,,
8,5,6,501,601,,
10,6,7,600,701,,
9,6,7,600,700,,
11,6,7,601,700,,
12,6,7,601,701,,
14,7,8,700,801,,
13,7,8,700,800,,
15,7,8,701,800,,
16,7,8,701,801,,
18,8,9,800,901,,
17,8,9,800,900,,
20,8,9,801,901,,
19,8,9,801,900,,
21,9,10,900,1000,,
22,9,10,900,1001,,
24,9,10,901,1001,,
23,9,10,901,1000,,
