id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category
0,1,0,2,100,60,[],1
1,1,1,2,100,60,[],1
2,2,0,2,100,60,[],1
3,2,1,2,100,60,[],1
4,3,0,2,100,60,[],1
5,4,0,2,100,60,[],1
6,4,1,2,100,60,[],1
7,4,2,2,100,60,[],1
8,4,3,2,100,60,[],1
9,4,4,2,100,60,[],1
10,4,5,2,100,60,[],1
11,4,6,2,100,60,[],1
12,4,7,2,100,60,[],1
13,4,8,2,100,60,[],1
14,4,9,2,100,60,[],1
15,4,10,2,100,60,[],1
16,4,11,2,100,60,[],1
17,4,12,2,100,60,[],1
18,4,13,2,100,60,[],1
19,4,14,2,100,60,[],1
20,4,15,2,100,60,[],1
21,4,16,2,100,60,[],1
22,4,17,2,100,60,[],1
23,4,18,2,100,60,[],1
