id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category,length
1,1,1,2,1000,60,,2,97.843801918925621
2,2,1,2,1000,60,,2,80.936061084616142
3,3,1,2,1000,60,,2,114.16456072716609
4,4,1,2,1000,60,,2,112.71285155057849
5,4,2,2,1000,60,,2,67.133689497147088
6,4,3,2,1000,60,,2,57.014567866810069
7,4,4,2,1000,60,,2,105.61638789362659
8,4,5,2,1000,60,,2,72.544803130691719
9,4,6,2,1000,60,,2,74.371171372579255
10,4,7,2,1000,60,,2,72.35512534994028
11,4,8,2,1000,60,,2,78.338702929325109
12,4,9,2,1000,60,,2,100.25855862034574
13,4,10,2,1000,60,,2,106.47130391763737
14,4,11,2,1000,60,,2,64.725220327733851
15,4,12,2,1000,60,,2,81.582168783092484
16,4,13,2,1000,60,,2,72.679754393141266
