id,x,y,z,seq_id
0,-71.10513,42.364512,0,0
0,-71.1042168,42.3639472,0,1
1,-71.1042168,42.3639472,0,0
1,-71.103965707905886,42.363791866920884,0,1
2,-71.1025701,42.3647366,0,0
2,-71.10318,42.364165,0,1
3,-71.10318,42.364165,0,0
3,-71.103552175784401,42.363822171410064,0,1
4,-71.103507971657606,42.363512208013923,0,0
4,-71.102432,42.362863,0,1
5,-71.103925756350108,42.363480984407389,0,0
5,-71.103992,42.363421,0,1
5,-71.104306,42.363136,0,2
6,-71.104306,42.363136,0,0
6,-71.104792,42.362695,0,1
7,-71.104792,42.362695,0,0
7,-71.105002,42.362496,0,1
8,-71.105002,42.362496,0,0
8,-71.105308,42.362227,0,1
9,-71.105308,42.362227,0,0
9,-71.105553,42.362,0,1
10,-71.105553,42.362,0,0
10,-71.105737,42.361824,0,1
11,-71.105737,42.361824,0,0
11,-71.105982,42.361599,0,1
12,-71.105982,42.361599,0,0
12,-71.106109,42.361483,0,1
12,-71.106556,42.361092,0,2
13,-71.106556,42.361092,0,0
13,-71.106811,42.360859,0,1
14,-71.106811,42.360859,0,0
14,-71.10711,42.360584,0,1
15,-71.10711,42.360584,0,0
15,-71.107211,42.360479,0,1
15,-71.107667,42.360057,0,2
16,-71.107667,42.360057,0,0
16,-71.108224,42.359553,0,1
17,-71.108224,42.359553,0,0
17,-71.108813,42.358999,0,1
18,-71.108813,42.358999,0,0
18,-71.1095694,42.3582915,0,1
19,-71.1095694,42.3582915,0,0
19,-71.110362,42.357534,0,1
20,-71.110362,42.357534,0,0
20,-71.11086,42.357083,0,1
21,-71.11086,42.357083,0,0
21,-71.11092,42.35703,0,1
21,-71.1111466,42.3568122,0,2
22,-71.1111466,42.3568122,0,0
22,-71.1114735,42.3565062,0,1
23,-71.1114735,42.3565062,0,0
23,-71.1120124,42.3559879,0,1
