GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No vehicle available,Margin of Error; Total: - No vehicle available,Estimate; Total: - 1 vehicle available,Margin of Error; Total: - 1 vehicle available,Estimate; Total: - 2 vehicles available,Margin of Error; Total: - 2 vehicles available,Estimate; Total: - 3 vehicles available,Margin of Error; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available,Margin of Error; Total: - 4 or more vehicles available,Estimate; Total: - No workers:,Margin of Error; Total: - No workers:,Estimate; Total: - No workers: - No vehicle available,Margin of Error; Total: - No workers: - No vehicle available,Estimate; Total: - No workers: - 1 vehicle available,Margin of Error; Total: - No workers: - 1 vehicle available,Estimate; Total: - No workers: - 2 vehicles available,Margin of Error; Total: - No workers: - 2 vehicles available,Estimate; Total: - No workers: - 3 vehicles available,Margin of Error; Total: - No workers: - 3 vehicles available,Estimate; Total: - No workers: - 4 or more vehicles available,Margin of Error; Total: - No workers: - 4 or more vehicles available,Estimate; Total: - 1 worker:,Margin of Error; Total: - 1 worker:,Estimate; Total: - 1 worker: - No vehicle available,Margin of Error; Total: - 1 worker: - No vehicle available,Estimate; Total: - 1 worker: - 1 vehicle available,Margin of Error; Total: - 1 worker: - 1 vehicle available,Estimate; Total: - 1 worker: - 2 vehicles available,Margin of Error; Total: - 1 worker: - 2 vehicles available,Estimate; Total: - 1 worker: - 3 vehicles available,Margin of Error; Total: - 1 worker: - 3 vehicles available,Estimate; Total: - 1 worker: - 4 or more vehicles available,Margin of Error; Total: - 1 worker: - 4 or more vehicles available,Estimate; Total: - 2 workers:,Margin of Error; Total: - 2 workers:,Estimate; Total: - 2 workers: - No vehicle available,Margin of Error; Total: - 2 workers: - No vehicle available,Estimate; Total: - 2 workers: - 1 vehicle available,Margin of Error; Total: - 2 workers: - 1 vehicle available,Estimate; Total: - 2 workers: - 2 vehicles available,Margin of Error; Total: - 2 workers: - 2 vehicles available,Estimate; Total: - 2 workers: - 3 vehicles available,Margin of Error; Total: - 2 workers: - 3 vehicles available,Estimate; Total: - 2 workers: - 4 or more vehicles available,Margin of Error; Total: - 2 workers: - 4 or more vehicles available,Estimate; Total: - 3 or more workers:,Margin of Error; Total: - 3 or more workers:,Estimate; Total: - 3 or more workers: - No vehicle available,Margin of Error; Total: - 3 or more workers: - No vehicle available,Estimate; Total: - 3 or more workers: - 1 vehicle available,Margin of Error; Total: - 3 or more workers: - 1 vehicle available,Estimate; Total: - 3 or more workers: - 2 vehicles available,Margin of Error; Total: - 3 or more workers: - 2 vehicles available,Estimate; Total: - 3 or more workers: - 3 vehicles available,Margin of Error; Total: - 3 or more workers: - 3 vehicles available,Estimate; Total: - 3 or more workers: - 4 or more vehicles available,Margin of Error; Total: - 3 or more workers: - 4 or more vehicles available
0500000US48015,48015,"Austin County, Texas",11038,360,304,133,3647,359,4336,483,1777,244,974,219,3102,321,200,106,1550,261,1162,227,122,80,68,47,3896,398,91,87,1619,291,1450,260,558,141,178,99,3211,357,2,10,451,156,1488,302,878,159,392,142,829,169,11,18,27,38,236,138,219,120,336,133
0500000US48039,48039,"Brazoria County, Texas",112510,884,3946,533,32917,1298,50072,1250,18289,1043,7286,700,21462,885,2601,381,10176,783,6710,583,1496,250,479,159,46040,1475,1052,354,20025,1013,18455,1067,5084,561,1424,318,38059,1181,227,96,2571,389,23755,962,8835,747,2671,453,6949,656,66,62,145,92,1152,274,2874,476,2712,414
0500000US48071,48071,"Chambers County, Texas",13018,228,342,149,3752,516,5741,471,2256,323,927,234,3375,357,228,100,1684,309,1121,230,206,89,136,88,5614,541,0,27,1754,431,2870,419,808,263,182,85,3146,420,114,103,108,80,1580,305,986,259,358,153,883,233,0,27,206,160,170,127,256,154,251,101
0500000US48157,48157,"Fort Bend County, Texas",206188,1155,5277,582,45859,1449,101977,1917,39430,1401,13645,951,27019,1164,2660,402,12344,830,9635,683,1866,369,514,208,84480,2093,1733,377,28948,1494,40865,1671,10281,855,2653,443,78236,2145,729,231,4191,627,49144,1906,19530,1127,4642,582,16453,1015,155,88,376,157,2333,416,7753,762,5836,643
0500000US48167,48167,"Galveston County, Texas",113866,959,7334,582,36439,1170,48034,1517,15999,929,6060,565,26132,1022,4246,457,12731,685,7609,714,1203,257,343,125,48081,1445,2488,383,20124,1033,18787,1080,5077,529,1605,278,32831,1222,471,167,3358,482,20313,1121,6773,697,1916,336,6822,640,129,82,226,102,1325,314,2946,472,2196,321
0500000US48201,48201,"Harris County, Texas",1499528,3851,100420,2308,553591,4483,581420,4416,193141,3078,70956,1932,263321,3032,53296,1754,135149,2393,62072,1583,10301,631,2503,354,695990,5839,37833,1576,353882,4267,238623,3785,53321,1771,12331,649,435120,4871,7711,742,58574,2099,259384,3558,85572,1880,23879,1136,105097,2585,1580,317,5986,736,21341,1238,43947,1753,32243,1308
0500000US48291,48291,"Liberty County, Texas",25319,498,1296,219,8383,508,10224,600,3522,503,1894,327,7380,467,992,213,3379,380,2231,299,650,231,128,79,11174,701,244,113,4219,451,4876,495,1279,292,556,184,5589,484,46,29,720,203,2958,365,1175,254,690,195,1176,215,14,24,65,41,159,82,418,169,520,147
0500000US48339,48339,"Montgomery County, Texas",173238,1343,6090,637,51786,1833,75860,1999,28431,1221,11071,814,36370,1418,3811,480,17865,1038,11828,786,2199,404,667,204,76043,1814,1485,309,29613,1516,32891,1455,9295,887,2759,449,50413,1647,767,236,4014,555,29669,1404,12372,909,3591,555,10412,907,27,28,294,137,1472,366,4565,629,4054,455
0500000US48473,48473,"Waller County, Texas",13937,743,781,202,3951,416,5517,572,2720,386,968,192,2815,349,552,180,1102,214,885,220,228,101,48,54,5994,553,174,93,2567,366,2208,316,753,178,292,129,4416,559,55,43,268,133,2263,420,1357,300,473,158,712,202,0,27,14,17,161,103,382,140,155,77
