GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US48015,48015,"Austin County, Texas",11038,360,639,216,510,120,504,157,909,273,436,166,704,189,497,166,566,146,350,139,989,220,882,217,1474,258,1146,249,450,153,558,152,424,109
0500000US48039,48039,"Brazoria County, Texas",112510,884,5542,658,4471,639,4430,606,4005,486,4265,575,4445,541,4336,552,4035,571,4992,650,7912,637,11465,1011,16130,1075,12037,902,7439,734,9752,996,7254,676
0500000US48071,48071,"Chambers County, Texas",13018,228,906,270,742,210,354,137,433,209,574,174,408,174,387,184,765,238,409,221,808,228,965,261,2022,407,1367,299,1015,238,1116,228,747,226
0500000US48157,48157,"Fort Bend County, Texas",206188,1155,6303,698,4404,478,5373,626,5544,630,7004,712,6026,574,6052,684,6788,749,6658,680,14058,944,19331,1256,27197,1536,23659,1331,18998,1081,21209,1045,27584,1366
0500000US48167,48167,"Galveston County, Texas",113866,959,7952,608,4949,523,4796,517,5870,580,4397,469,5160,559,4913,515,4498,546,3967,464,8406,666,10498,754,14120,882,10609,786,7480,617,8474,743,7777,586
0500000US48201,48201,"Harris County, Texas",1499528,3851,101436,2437,72245,2343,78082,1929,82384,2235,76440,2190,78514,2426,70345,2067,69426,2398,60646,1818,116332,2518,143789,3057,169165,2992,121403,2600,73171,1978,83066,2089,103084,1890
0500000US48291,48291,"Liberty County, Texas",25319,498,1874,327,1504,256,1904,333,1536,295,1047,200,1449,297,1246,234,1340,274,1066,259,2243,372,2516,407,3005,406,1904,329,1120,229,865,211,700,188
0500000US48339,48339,"Montgomery County, Texas",173238,1343,7588,777,6153,633,7388,740,7557,759,7441,775,8028,895,6960,688,6800,785,5820,681,12727,1058,16731,1093,22546,1229,16410,1143,11025,1096,13144,1089,16920,1002
0500000US48473,48473,"Waller County, Texas",13937,743,1123,321,647,231,701,240,765,210,572,179,907,215,766,252,709,236,689,176,870,182,1702,319,1473,275,1087,250,711,187,710,154,505,155
