GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Householder under 25 years:,Margin of Error; Householder under 25 years:,"Estimate; Householder under 25 years: - Less than $10,000","Margin of Error; Householder under 25 years: - Less than $10,000","Estimate; Householder under 25 years: - $10,000 to $14,999","Margin of Error; Householder under 25 years: - $10,000 to $14,999","Estimate; Householder under 25 years: - $15,000 to $19,999","Margin of Error; Householder under 25 years: - $15,000 to $19,999","Estimate; Householder under 25 years: - $20,000 to $24,999","Margin of Error; Householder under 25 years: - $20,000 to $24,999","Estimate; Householder under 25 years: - $25,000 to $29,999","Margin of Error; Householder under 25 years: - $25,000 to $29,999","Estimate; Householder under 25 years: - $30,000 to $34,999","Margin of Error; Householder under 25 years: - $30,000 to $34,999","Estimate; Householder under 25 years: - $35,000 to $39,999","Margin of Error; Householder under 25 years: - $35,000 to $39,999","Estimate; Householder under 25 years: - $40,000 to $44,999","Margin of Error; Householder under 25 years: - $40,000 to $44,999","Estimate; Householder under 25 years: - $45,000 to $49,999","Margin of Error; Householder under 25 years: - $45,000 to $49,999","Estimate; Householder under 25 years: - $50,000 to $59,999","Margin of Error; Householder under 25 years: - $50,000 to $59,999","Estimate; Householder under 25 years: - $60,000 to $74,999","Margin of Error; Householder under 25 years: - $60,000 to $74,999","Estimate; Householder under 25 years: - $75,000 to $99,999","Margin of Error; Householder under 25 years: - $75,000 to $99,999","Estimate; Householder under 25 years: - $100,000 to $124,999","Margin of Error; Householder under 25 years: - $100,000 to $124,999","Estimate; Householder under 25 years: - $125,000 to $149,999","Margin of Error; Householder under 25 years: - $125,000 to $149,999","Estimate; Householder under 25 years: - $150,000 to $199,999","Margin of Error; Householder under 25 years: - $150,000 to $199,999","Estimate; Householder under 25 years: - $200,000 or more","Margin of Error; Householder under 25 years: - $200,000 or more",Estimate; Householder 25 to 44 years:,Margin of Error; Householder 25 to 44 years:,"Estimate; Householder 25 to 44 years: - Less than $10,000","Margin of Error; Householder 25 to 44 years: - Less than $10,000","Estimate; Householder 25 to 44 years: - $10,000 to $14,999","Margin of Error; Householder 25 to 44 years: - $10,000 to $14,999","Estimate; Householder 25 to 44 years: - $15,000 to $19,999","Margin of Error; Householder 25 to 44 years: - $15,000 to $19,999","Estimate; Householder 25 to 44 years: - $20,000 to $24,999","Margin of Error; Householder 25 to 44 years: - $20,000 to $24,999","Estimate; Householder 25 to 44 years: - $25,000 to $29,999","Margin of Error; Householder 25 to 44 years: - $25,000 to $29,999","Estimate; Householder 25 to 44 years: - $30,000 to $34,999","Margin of Error; Householder 25 to 44 years: - $30,000 to $34,999","Estimate; Householder 25 to 44 years: - $35,000 to $39,999","Margin of Error; Householder 25 to 44 years: - $35,000 to $39,999","Estimate; Householder 25 to 44 years: - $40,000 to $44,999","Margin of Error; Householder 25 to 44 years: - $40,000 to $44,999","Estimate; Householder 25 to 44 years: - $45,000 to $49,999","Margin of Error; Householder 25 to 44 years: - $45,000 to $49,999","Estimate; Householder 25 to 44 years: - $50,000 to $59,999","Margin of Error; Householder 25 to 44 years: - $50,000 to $59,999","Estimate; Householder 25 to 44 years: - $60,000 to $74,999","Margin of Error; Householder 25 to 44 years: - $60,000 to $74,999","Estimate; Householder 25 to 44 years: - $75,000 to $99,999","Margin of Error; Householder 25 to 44 years: - $75,000 to $99,999","Estimate; Householder 25 to 44 years: - $100,000 to $124,999","Margin of Error; Householder 25 to 44 years: - $100,000 to $124,999","Estimate; Householder 25 to 44 years: - $125,000 to $149,999","Margin of Error; Householder 25 to 44 years: - $125,000 to $149,999","Estimate; Householder 25 to 44 years: - $150,000 to $199,999","Margin of Error; Householder 25 to 44 years: - $150,000 to $199,999","Estimate; Householder 25 to 44 years: - $200,000 or more","Margin of Error; Householder 25 to 44 years: - $200,000 or more",Estimate; Householder 45 to 64 years:,Margin of Error; Householder 45 to 64 years:,"Estimate; Householder 45 to 64 years: - Less than $10,000","Margin of Error; Householder 45 to 64 years: - Less than $10,000","Estimate; Householder 45 to 64 years: - $10,000 to $14,999","Margin of Error; Householder 45 to 64 years: - $10,000 to $14,999","Estimate; Householder 45 to 64 years: - $15,000 to $19,999","Margin of Error; Householder 45 to 64 years: - $15,000 to $19,999","Estimate; Householder 45 to 64 years: - $20,000 to $24,999","Margin of Error; Householder 45 to 64 years: - $20,000 to $24,999","Estimate; Householder 45 to 64 years: - $25,000 to $29,999","Margin of Error; Householder 45 to 64 years: - $25,000 to $29,999","Estimate; Householder 45 to 64 years: - $30,000 to $34,999","Margin of Error; Householder 45 to 64 years: - $30,000 to $34,999","Estimate; Householder 45 to 64 years: - $35,000 to $39,999","Margin of Error; Householder 45 to 64 years: - $35,000 to $39,999","Estimate; Householder 45 to 64 years: - $40,000 to $44,999","Margin of Error; Householder 45 to 64 years: - $40,000 to $44,999","Estimate; Householder 45 to 64 years: - $45,000 to $49,999","Margin of Error; Householder 45 to 64 years: - $45,000 to $49,999","Estimate; Householder 45 to 64 years: - $50,000 to $59,999","Margin of Error; Householder 45 to 64 years: - $50,000 to $59,999","Estimate; Householder 45 to 64 years: - $60,000 to $74,999","Margin of Error; Householder 45 to 64 years: - $60,000 to $74,999","Estimate; Householder 45 to 64 years: - $75,000 to $99,999","Margin of Error; Householder 45 to 64 years: - $75,000 to $99,999","Estimate; Householder 45 to 64 years: - $100,000 to $124,999","Margin of Error; Householder 45 to 64 years: - $100,000 to $124,999","Estimate; Householder 45 to 64 years: - $125,000 to $149,999","Margin of Error; Householder 45 to 64 years: - $125,000 to $149,999","Estimate; Householder 45 to 64 years: - $150,000 to $199,999","Margin of Error; Householder 45 to 64 years: - $150,000 to $199,999","Estimate; Householder 45 to 64 years: - $200,000 or more","Margin of Error; Householder 45 to 64 years: - $200,000 or more",Estimate; Householder 65 years and over:,Margin of Error; Householder 65 years and over:,"Estimate; Householder 65 years and over: - Less than $10,000","Margin of Error; Householder 65 years and over: - Less than $10,000","Estimate; Householder 65 years and over: - $10,000 to $14,999","Margin of Error; Householder 65 years and over: - $10,000 to $14,999","Estimate; Householder 65 years and over: - $15,000 to $19,999","Margin of Error; Householder 65 years and over: - $15,000 to $19,999","Estimate; Householder 65 years and over: - $20,000 to $24,999","Margin of Error; Householder 65 years and over: - $20,000 to $24,999","Estimate; Householder 65 years and over: - $25,000 to $29,999","Margin of Error; Householder 65 years and over: - $25,000 to $29,999","Estimate; Householder 65 years and over: - $30,000 to $34,999","Margin of Error; Householder 65 years and over: - $30,000 to $34,999","Estimate; Householder 65 years and over: - $35,000 to $39,999","Margin of Error; Householder 65 years and over: - $35,000 to $39,999","Estimate; Householder 65 years and over: - $40,000 to $44,999","Margin of Error; Householder 65 years and over: - $40,000 to $44,999","Estimate; Householder 65 years and over: - $45,000 to $49,999","Margin of Error; Householder 65 years and over: - $45,000 to $49,999","Estimate; Householder 65 years and over: - $50,000 to $59,999","Margin of Error; Householder 65 years and over: - $50,000 to $59,999","Estimate; Householder 65 years and over: - $60,000 to $74,999","Margin of Error; Householder 65 years and over: - $60,000 to $74,999","Estimate; Householder 65 years and over: - $75,000 to $99,999","Margin of Error; Householder 65 years and over: - $75,000 to $99,999","Estimate; Householder 65 years and over: - $100,000 to $124,999","Margin of Error; Householder 65 years and over: - $100,000 to $124,999","Estimate; Householder 65 years and over: - $125,000 to $149,999","Margin of Error; Householder 65 years and over: - $125,000 to $149,999","Estimate; Householder 65 years and over: - $150,000 to $199,999","Margin of Error; Householder 65 years and over: - $150,000 to $199,999","Estimate; Householder 65 years and over: - $200,000 or more","Margin of Error; Householder 65 years and over: - $200,000 or more"
0500000US48015,48015,"Austin County, Texas",11038,360,336,138,39,59,0,24,0,24,97,100,32,48,15,16,18,31,16,30,34,43,12,21,41,59,26,39,6,12,0,24,0,24,0,24,3214,282,200,114,41,38,39,34,270,168,69,46,189,94,146,86,198,97,103,103,350,149,255,127,508,147,495,146,141,93,102,70,108,73,4277,241,189,103,141,72,185,87,251,122,186,105,243,104,179,81,171,77,54,35,344,129,326,131,713,166,417,155,265,107,398,127,215,84,3211,169,211,92,328,93,280,130,291,112,149,62,257,118,154,88,181,87,159,86,283,112,260,113,227,85,228,89,44,34,58,35,101,54
0500000US48039,48039,"Brazoria County, Texas",112510,884,3734,431,392,184,426,182,449,189,271,105,271,134,212,157,142,73,167,109,185,132,376,174,457,213,250,142,34,51,5,8,37,42,60,74,43958,871,1619,370,1073,276,1224,344,1198,287,1295,305,1303,318,1678,351,1210,329,2106,513,2945,374,4609,748,7707,842,5539,638,3068,528,4628,747,2756,492,44244,727,1843,284,1506,391,1058,280,1273,327,1359,306,1434,329,1372,280,1661,324,1744,373,2684,393,4317,508,6328,565,5414,656,3769,496,4465,575,4017,482,20574,662,1688,333,1466,245,1699,329,1263,211,1340,323,1496,265,1144,258,997,207,957,209,1907,293,2082,302,1845,272,1050,217,597,174,622,188,421,130
0500000US48071,48071,"Chambers County, Texas",13018,228,445,193,152,174,8,13,12,19,0,27,24,40,84,91,11,20,11,17,0,27,122,112,0,27,0,27,21,39,0,27,0,27,0,27,4880,294,294,156,62,68,41,45,223,183,226,130,63,57,210,154,297,165,105,137,359,163,399,171,1071,320,424,187,576,218,292,149,238,142,5347,265,292,114,275,126,164,83,101,60,144,118,123,105,53,41,267,111,222,158,200,85,444,174,675,226,807,237,432,119,739,163,409,146,2346,161,168,83,397,155,137,74,109,60,180,81,138,70,113,65,190,93,82,55,127,80,122,66,276,99,115,67,7,9,85,86,100,74
0500000US48157,48157,"Fort Bend County, Texas",206188,1155,3111,476,311,148,136,97,187,113,154,103,365,274,255,153,175,116,186,122,144,119,310,161,354,168,340,190,112,82,58,61,0,30,24,27,80248,1145,2258,475,1357,308,1396,360,2042,407,2601,434,1998,362,2276,430,2742,540,2646,470,5204,732,7851,886,11942,1084,10455,902,8619,870,7897,800,8964,832,92448,1215,2253,446,1407,291,1769,409,1731,342,2369,399,2329,352,2378,474,2549,445,2785,449,5703,705,8188,766,11671,811,10888,958,8434,641,11419,742,16575,990,30381,882,1481,261,1504,335,2021,381,1617,305,1669,305,1444,242,1223,280,1311,273,1083,220,2841,461,2938,423,3244,379,2204,367,1887,370,1893,326,2021,326
0500000US48167,48167,"Galveston County, Texas",113866,959,4452,484,954,194,207,103,478,188,246,102,274,173,313,152,221,90,290,137,170,83,375,149,305,127,278,142,313,252,20,33,8,12,0,30,37831,763,2256,407,1504,376,1434,296,1921,375,1190,277,1303,250,1273,262,1452,320,1400,310,3096,432,3740,463,5882,761,4036,565,3028,441,2413,431,1903,359,48753,692,3372,388,1858,305,1481,232,1976,317,1306,247,1939,380,2118,362,1604,275,1445,375,3470,447,4353,415,5410,651,5126,549,3556,466,4813,501,4926,455,22830,533,1370,264,1380,217,1403,224,1727,264,1627,238,1605,275,1301,230,1152,271,952,156,1465,254,2100,308,2550,285,1134,159,876,228,1240,269,948,165
0500000US48201,48201,"Harris County, Texas",1499528,3851,67038,1924,11476,808,5193,609,5315,586,6739,887,5597,600,5008,678,3686,466,3220,434,3543,474,5111,620,4830,534,3897,575,2022,343,708,207,493,151,200,93,631419,4022,37025,1543,25391,1306,32394,1544,34900,1608,32855,1468,36314,1690,30999,1352,32657,1552,27247,1387,52129,1855,66086,2200,74310,2074,53229,1946,31830,1331,31879,1384,32174,1164,571773,3267,34152,1286,22684,1268,22707,1261,23917,988,23509,1208,24483,1205,24017,1080,23024,1361,20934,1146,42978,1603,54268,1675,69370,2115,52486,1627,32848,1437,42029,1484,58367,1333,229298,2193,18783,864,18977,879,17666,878,16828,842,14479,785,12709,728,11643,765,10525,633,8922,595,16114,865,18605,1018,21588,900,13666,777,7785,573,8665,601,12343,728
0500000US48291,48291,"Liberty County, Texas",25319,498,1414,286,143,124,137,100,100,95,249,181,38,36,164,116,67,97,56,54,123,110,74,72,180,125,16,25,64,79,3,5,0,30,0,30,7224,443,297,119,361,149,419,185,391,158,183,88,383,165,322,151,426,171,157,95,742,206,763,221,1303,299,575,155,326,122,353,141,223,119,10686,340,868,198,413,140,539,141,467,135,440,159,491,169,573,163,558,172,403,156,1097,239,1043,253,1270,235,1174,284,661,162,318,113,371,136,5995,228,566,164,593,144,846,205,429,119,386,120,411,127,284,99,300,128,383,152,330,152,530,197,416,125,91,63,130,96,194,137,106,66
0500000US48339,48339,"Montgomery County, Texas",173238,1343,5085,599,533,192,446,214,422,200,335,180,412,232,511,229,269,145,352,168,254,125,426,182,425,221,534,198,0,30,125,91,37,46,4,6,61781,1118,2172,459,1338,315,2254,434,2648,507,2714,517,2940,511,2692,504,2365,449,2131,389,4736,766,6225,682,8814,883,6680,708,4433,692,4407,687,5232,776,71387,1097,3220,493,1709,362,2062,382,2145,444,2254,420,2097,372,2130,352,2281,415,2038,491,4895,665,6839,735,9729,791,7699,656,5102,656,7370,667,9817,754,34985,819,1663,320,2660,373,2650,349,2429,353,2061,342,2480,391,1869,310,1802,396,1397,251,2670,498,3242,451,3469,451,2031,338,1365,277,1330,281,1867,321
0500000US48473,48473,"Waller County, Texas",13937,743,1207,501,224,180,148,136,162,160,109,95,16,21,45,63,168,154,152,144,95,85,38,47,0,27,50,62,0,27,0,27,0,27,0,27,4424,308,343,140,149,91,156,114,336,146,217,107,303,131,244,154,237,100,170,104,236,125,655,201,348,135,530,157,124,82,214,95,162,100,5693,318,359,170,139,93,284,129,186,108,261,134,332,135,264,117,208,103,210,102,395,128,672,175,887,208,346,121,497,155,404,128,249,92,2613,204,197,97,211,105,99,60,134,87,78,51,227,100,90,49,112,76,214,90,201,79,375,138,188,80,211,107,90,73,92,55,94,70
