,hh_inc,hh_size,hh_type,vehicle,workers,sample,total
0,"$100,000 to $149,999",1-person household,Family households,No vehicle available,No workers,0.0,0.0
1,"$100,000 to $149,999",1-person household,Family households,No vehicle available,1 worker,0.0,0.0
2,"$100,000 to $149,999",1-person household,Family households,No vehicle available,2 workers,0.0,0.0
3,"$100,000 to $149,999",1-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
4,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,No workers,0.0,0.0
5,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,1 worker,0.0,0.0
6,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,2 workers,0.0,0.0
7,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
8,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,No workers,0.0,0.0
9,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,1 worker,0.0,0.0
10,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,2 workers,0.0,0.0
11,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
12,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,No workers,0.0,0.0
13,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,1 worker,0.0,0.0
14,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,2 workers,0.0,0.0
15,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
16,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,No workers,0.0,0.0
17,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0
18,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0
19,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
20,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,No workers,0.0,14.1902224741
21,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.00234078259153
22,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.0
23,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
24,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,No workers,0.0,80.2687084451
25,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,1 worker,3.0,19.7788137364
26,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.0
27,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
28,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,No workers,0.0,38.6599404563
29,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,1 worker,5.0,33.9308614981
30,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.0
31,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
32,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,No workers,0.0,9.02811325388
33,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,1 worker,0.0,0.00682545066974
34,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.0
35,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
36,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,6.08020203164
37,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,0.0124854345993
38,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.0
39,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
40,"$100,000 to $149,999",2-person household,Family households,No vehicle available,No workers,0.0,0.00589068848992
41,"$100,000 to $149,999",2-person household,Family households,No vehicle available,1 worker,0.0,0.00375183188468
42,"$100,000 to $149,999",2-person household,Family households,No vehicle available,2 workers,1.0,0.266810029506
43,"$100,000 to $149,999",2-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
44,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,No workers,0.0,0.0333213913878
45,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,1 worker,2.0,21.1344656799
46,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,2 workers,1.0,19.4562373337
47,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
48,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,No workers,2.0,32.0972650969
49,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,1 worker,10.0,108.769510252
50,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,2 workers,11.0,152.470299013
51,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
52,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,No workers,1.0,3.74777794552
53,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,1 worker,6.0,65.6394409528
54,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,2 workers,4.0,53.7163316375
55,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
56,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,No workers,0.0,0.00252403203611
57,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,1 worker,2.0,40.0235816802
58,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,2 workers,1.0,22.9726762117
59,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
60,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,No workers,0.0,0.716044072962
61,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.456054837796
62,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.032432158068
63,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
64,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,No workers,0.0,4.0503898393
65,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,1 worker,0.0,1.28450255952
66,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,2 workers,0.0,2.36500766401
67,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
68,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,No workers,0.0,1.95079543505
69,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,1 worker,0.0,1.3221504289
70,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,2 workers,0.0,1.684869482
71,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
72,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,No workers,0.0,0.455562060234
73,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,1 worker,0.0,1.32980303653
74,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,2 workers,0.0,1.63237544118
75,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
76,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.306809328403
77,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,2.43253810568
78,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,2.79244924759
79,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
80,"$100,000 to $149,999",3-person household,Family households,No vehicle available,No workers,0.0,0.00206508146945
81,"$100,000 to $149,999",3-person household,Family households,No vehicle available,1 worker,0.0,0.00260623766839
82,"$100,000 to $149,999",3-person household,Family households,No vehicle available,2 workers,0.0,0.000282702941925
83,"$100,000 to $149,999",3-person household,Family households,No vehicle available,3 or more workers,0.0,0.0485485361572
84,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,No workers,0.0,0.0116813829163
85,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,1 worker,0.0,0.00734060616912
86,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,2 workers,0.0,0.0206151753111
87,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,3 or more workers,0.0,0.00931113027929
88,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,No workers,0.0,0.0056261222678
89,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,1 worker,1.0,7.55575418899
90,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,2 workers,6.0,88.1194939271
91,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0336941309196
92,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,No workers,0.0,0.00131384757489
93,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,1 worker,2.0,15.1989737993
94,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,2 workers,3.0,42.6870150219
95,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,3 or more workers,3.0,43.647222244
96,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,No workers,0.0,0.000884842543448
97,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,1 worker,0.0,0.013901337987
98,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,2 workers,2.0,48.682151574
99,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,3 or more workers,5.0,86.5175970118
100,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,No workers,0.0,0.0434291509974
101,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.0548097936619
102,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.00594530963251
103,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,1.02098718073
104,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,No workers,0.0,0.245662241434
105,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,1 worker,0.0,0.154374681312
106,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.433542005324
107,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.195815268713
108,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,No workers,0.0,0.118318679971
109,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,1 worker,0.0,0.15889929498
110,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.308862294634
111,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.708595530529
112,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,No workers,0.0,0.0276305247814
113,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,1 worker,0.0,0.159819004213
114,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.29923933566
115,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.305970463876
116,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.0186084476553
117,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,0.292348420842
118,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.511898572249
119,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.363897099474
120,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,No workers,0.0,0.0170514639671
121,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,1 worker,0.0,0.0045740187283
122,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,2 workers,0.0,0.000408721640068
123,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,3 or more workers,0.0,0.0358547902581
124,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,No workers,0.0,0.096453666758
125,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,1 worker,1.0,12.8829655491
126,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,2 workers,0.0,0.0298046713136
127,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,3 or more workers,1.0,6.87659504602
128,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,No workers,0.0,0.0464551266102
129,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,1 worker,2.0,26.5211124726
130,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,2 workers,3.0,63.6999810377
131,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,3 or more workers,3.0,74.6528789131
132,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,No workers,0.0,0.0108484943151
133,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,1 worker,1.0,13.3373083452
134,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,2 workers,9.0,185.146005244
135,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,3 or more workers,2.0,21.4899991195
136,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,No workers,0.0,0.00730618184771
137,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0243972301805
138,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,2 workers,2.0,70.3828856462
139,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,3 or more workers,3.0,38.3377610124
140,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,No workers,0.0,0.0
141,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.0
142,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.0
143,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
144,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,No workers,0.0,0.0
145,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,1 worker,0.0,0.0
146,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.0
147,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
148,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,No workers,0.0,0.0
149,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,1 worker,0.0,0.0
