,hh_inc,hh_size,hh_type,vehicle,workers,sample,total
0,"$100,000 to $149,999",1-person household,Family households,No vehicle available,No workers,0.0,0.0
1,"$100,000 to $149,999",1-person household,Family households,No vehicle available,1 worker,0.0,0.0
2,"$100,000 to $149,999",1-person household,Family households,No vehicle available,2 workers,0.0,0.0
3,"$100,000 to $149,999",1-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
4,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,No workers,0.0,0.0
5,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,1 worker,0.0,0.0
6,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,2 workers,0.0,0.0
7,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
8,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,No workers,0.0,0.0
9,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,1 worker,0.0,0.0
10,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,2 workers,0.0,0.0
11,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
12,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,No workers,0.0,0.0
13,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,1 worker,0.0,0.0
14,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,2 workers,0.0,0.0
15,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
16,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,No workers,0.0,0.0
17,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0
18,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0
19,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
20,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,No workers,0.0,22.600367614
21,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.0
22,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.0
23,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
24,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,No workers,0.0,82.800153782
25,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,1 worker,3.0,50.0139850283
26,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.0
27,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
28,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,No workers,0.0,53.722826237
29,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,1 worker,1.0,30.7514413619
30,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.0
31,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
32,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,No workers,0.0,19.6660153247
33,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,1 worker,0.0,0.0198923587518
34,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.0
35,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
36,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,15.2881761124
37,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,0.00839458002293
38,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.0
39,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
40,"$100,000 to $149,999",2-person household,Family households,No vehicle available,No workers,0.0,0.0114978993617
41,"$100,000 to $149,999",2-person household,Family households,No vehicle available,1 worker,0.0,0.0
42,"$100,000 to $149,999",2-person household,Family households,No vehicle available,2 workers,0.0,0.114488983157
43,"$100,000 to $149,999",2-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
44,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,No workers,2.0,84.2488805117
45,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,1 worker,2.0,61.6737361149
46,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,2 workers,0.0,0.0096390481348
47,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
48,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,No workers,0.0,0.0273313983227
49,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,1 worker,6.0,341.284672831
50,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,2 workers,7.0,153.487856154
51,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
52,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,No workers,0.0,0.0100050525244
53,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,1 worker,1.0,36.7947910069
54,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,2 workers,0.0,0.0237654920288
55,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
56,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,No workers,0.0,0.0077778341205
57,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,1 worker,1.0,15.5274103684
58,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,2 workers,2.0,20.8249907972
59,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
60,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,No workers,0.0,1.14479377214
61,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.0
62,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,2 workers,0.0,11.3991495989
63,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
64,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,No workers,0.0,4.19413975917
65,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,1 worker,0.0,3.07028731023
66,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.959716373136
67,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
68,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,No workers,0.0,2.72126356297
69,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,1 worker,0.0,5.66336156564
70,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,2 workers,0.0,2.18315582571
71,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
72,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,No workers,0.0,0.996157772787
73,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,1 worker,0.0,3.66349071834
74,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,2 workers,0.0,2.36622242121
75,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
76,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.774403722089
77,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,1.54599393577
78,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,1.0367250147
79,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
80,"$100,000 to $149,999",3-person household,Family households,No vehicle available,No workers,0.0,0.00901380213754
81,"$100,000 to $149,999",3-person household,Family households,No vehicle available,1 worker,0.0,0.0
82,"$100,000 to $149,999",3-person household,Family households,No vehicle available,2 workers,0.0,0.249884293588
83,"$100,000 to $149,999",3-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
84,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,No workers,0.0,0.0330235426209
85,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,1 worker,1.0,24.8850486428
86,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,2 workers,0.0,0.0210382402533
87,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,3 or more workers,0.0,0.148782658997
88,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,No workers,0.0,0.0214265066056
89,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,1 worker,4.0,183.608911874
90,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,2 workers,2.0,95.7152718393
91,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,3 or more workers,0.0,0.016522490141
92,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,No workers,0.0,0.00784348175209
93,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,1 worker,1.0,29.6930337511
94,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,2 workers,2.0,103.741391068
95,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,3 or more workers,4.0,68.5939619537
96,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,No workers,0.0,0.00609744924839
97,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0125304671536
98,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0227263705678
99,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,3 or more workers,2.0,20.4233599269
100,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,No workers,0.0,0.00580190416049
101,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.0
102,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.160842749873
103,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
104,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,No workers,0.0,0.02125622755
105,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,1 worker,0.0,0.0160177320349
106,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.0135416610874
107,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0957667713436
108,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,No workers,0.0,0.0137915760655
109,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,1 worker,0.0,0.029545836858
110,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.0308044721546
111,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0106350131529
112,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,No workers,0.0,0.00504860531836
113,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,1 worker,0.0,0.0191124825495
114,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.0333875538464
115,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0110379501117
116,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.00392473848691
117,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,0.00806547208406
118,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.01462825808
119,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.00657294087018
120,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,No workers,0.0,0.0166420025809
121,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,1 worker,0.0,0.0
122,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,2 workers,0.0,0.307567355719
123,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
124,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,No workers,0.0,0.0609707061618
125,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,1 worker,0.0,0.0590707618393
126,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,2 workers,0.0,0.0258946884208
127,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,3 or more workers,0.0,0.225433615075
128,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,No workers,0.0,0.0395593305455
129,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,1 worker,1.0,108.960187908
130,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,2 workers,3.0,176.715146672
131,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,3 or more workers,2.0,50.0693388281
132,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,No workers,0.0,0.0144812634635
133,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,1 worker,0.0,0.070483692846
134,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,2 workers,4.0,255.377918087
135,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,3 or more workers,2.0,51.9663545463
136,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,No workers,0.0,0.0112575985783
137,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,1 worker,1.0,29.7441347852
138,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,2 workers,4.0,111.890020782
139,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,3 or more workers,2.0,30.9452182892
140,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,No workers,0.0,0.108550266253
141,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.0
142,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,2 workers,0.0,2.00615990724
143,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
144,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,No workers,0.0,0.397691705389
145,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,1 worker,0.0,0.385298998377
146,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.168902468855
147,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,1.47042874316
148,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,No workers,0.0,0.258032399804
149,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,1 worker,0.0,0.710711187001
