,hh_inc,hh_size,hh_type,vehicle,workers,sample,total
0,"$100,000 to $149,999",1-person household,Family households,No vehicle available,No workers,0.0,0.0
1,"$100,000 to $149,999",1-person household,Family households,No vehicle available,1 worker,0.0,0.0
2,"$100,000 to $149,999",1-person household,Family households,No vehicle available,2 workers,0.0,0.0
3,"$100,000 to $149,999",1-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
4,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,No workers,0.0,0.0
5,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,1 worker,0.0,0.0
6,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,2 workers,0.0,0.0
7,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
8,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,No workers,0.0,0.0
9,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,1 worker,0.0,0.0
10,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,2 workers,0.0,0.0
11,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
12,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,No workers,0.0,0.0
13,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,1 worker,0.0,0.0
14,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,2 workers,0.0,0.0
15,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
16,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,No workers,0.0,0.0
17,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0
18,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0
19,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
20,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,No workers,0.0,251.471622778
21,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.0551699105993
22,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.0
23,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
24,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,No workers,0.0,616.025341391
25,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,1 worker,13.0,1032.15527199
26,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.0
27,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
28,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,No workers,0.0,299.998260093
29,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,1 worker,4.0,341.323151265
30,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.0
31,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
32,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,No workers,0.0,159.797546196
33,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,1 worker,0.0,0.0837302064787
34,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.0
35,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
36,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,50.0586945129
37,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,1 worker,1.0,69.5975668101
38,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.0
39,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
40,"$100,000 to $149,999",2-person household,Family households,No vehicle available,No workers,0.0,0.076841511208
41,"$100,000 to $149,999",2-person household,Family households,No vehicle available,1 worker,0.0,0.0796203495918
42,"$100,000 to $149,999",2-person household,Family households,No vehicle available,2 workers,1.0,73.5036664785
43,"$100,000 to $149,999",2-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
44,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,No workers,1.0,188.237216
45,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,1 worker,7.0,802.087083719
46,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,2 workers,2.0,193.853051568
47,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
48,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,No workers,6.0,550.017995923
49,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,1 worker,20.0,2462.96108987
50,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,2 workers,43.0,4959.79603537
51,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
52,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,No workers,2.0,97.6578176209
53,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,1 worker,0.0,0.120838120613
54,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,2 workers,10.0,998.974949564
55,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
56,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,No workers,0.0,0.0152963013996
57,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,1 worker,1.0,100.442116726
58,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,2 workers,2.0,200.153715514
59,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
60,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,No workers,0.0,28.028493632
61,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,1 worker,0.0,29.0420949097
62,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,2 workers,0.0,26.8109907709
63,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
64,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,No workers,0.0,68.6608777863
65,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,1 worker,0.0,41.7952900065
66,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,2 workers,0.0,35.3546470912
67,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
68,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,No workers,0.0,33.4371696883
69,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,1 worker,0.0,44.9191381962
70,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,2 workers,0.0,42.0725874468
71,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
72,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,No workers,0.0,17.810695523
73,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,1 worker,0.0,44.0765732072
74,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,2 workers,0.0,36.4383294552
75,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
76,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,5.57943590167
77,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,36.6369841609
78,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,36.5037533262
79,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
80,"$100,000 to $149,999",3-person household,Family households,No vehicle available,No workers,0.0,0.100195491153
81,"$100,000 to $149,999",3-person household,Family households,No vehicle available,1 worker,0.0,0.0908555221007
82,"$100,000 to $149,999",3-person household,Family households,No vehicle available,2 workers,1.0,95.3997122906
83,"$100,000 to $149,999",3-person household,Family households,No vehicle available,3 or more workers,0.0,0.118412605523
84,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,No workers,0.0,0.245447024843
85,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,1 worker,4.0,523.010878753
86,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,2 workers,1.0,125.800019457
87,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,3 or more workers,0.0,0.294526672089
88,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,No workers,0.0,0.119530278141
89,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,1 worker,22.0,3091.55860994
90,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,2 workers,22.0,3293.48814391
91,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,3 or more workers,2.0,182.948992093
92,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,No workers,0.0,0.0636691864049
93,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,1 worker,4.0,551.55801723
94,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,2 workers,10.0,1296.56012196
95,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,3 or more workers,7.0,738.694742917
96,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,No workers,0.0,0.0199452146043
97,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,1 worker,0.0,0.114615434406
98,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,2 workers,2.0,259.777610951
99,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,3 or more workers,2.0,177.69581889
100,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,No workers,0.0,3.62926199347
101,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,1 worker,0.0,3.2909514137
102,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,2 workers,0.0,3.4555502051
103,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,4.28911883985
104,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,No workers,0.0,8.89053537661
105,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,1 worker,0.0,4.73610010437
106,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,2 workers,0.0,4.55670434006
107,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,10.6682890095
108,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,No workers,0.0,4.32960296448
109,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,1 worker,0.0,5.09008395602
110,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,2 workers,0.0,5.42255000657
111,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,3.31337177005
112,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,No workers,0.0,2.30621314108
113,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,1 worker,0.0,4.9946073573
114,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,2 workers,0.0,4.69637537451
115,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,3.82240860826
116,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.722451763866
117,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,4.151578431
118,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,4.70480756833
119,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,3.21823205054
120,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,No workers,0.0,0.311534394015
121,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,1 worker,0.0,0.118125397607
122,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,2 workers,0.0,0.106841038411
123,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,3 or more workers,1.0,113.247502012
124,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,No workers,0.0,0.763159991206
125,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,1 worker,2.0,339.995118498
126,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,2 workers,1.0,140.887266724
127,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,3 or more workers,0.0,0.281679553816
128,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,No workers,0.0,0.371651382097
129,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,1 worker,21.0,3836.77253993
130,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,2 workers,40.0,6706.3227463
131,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,3 or more workers,4.0,349.937682033
132,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,No workers,0.0,0.19796441113
133,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,1 worker,6.0,1075.65850565
134,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,2 workers,14.0,2032.87994327
135,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,3 or more workers,13.0,1312.02168914
136,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,No workers,0.0,0.0620149696732
137,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,1 worker,1.0,149.016740514
138,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,2 workers,5.0,727.332112526
139,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,3 or more workers,17.0,1444.53087495
140,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,No workers,0.0,2.41089429981
141,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.914145767611
142,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.82681866092
143,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.876396835513
144,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,No workers,0.0,5.90592277446
145,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,1 worker,0.0,1.31557270866
146,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,2 workers,0.0,1.09029473081
147,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,2.1798544357
148,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,No workers,0.0,2.87612609018
149,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,1 worker,0.0,1.41390076007
