,hh_inc,hh_size,hh_type,vehicle,workers,sample,total
0,"$100,000 to $149,999",1-person household,Family households,No vehicle available,No workers,0.0,0.0
1,"$100,000 to $149,999",1-person household,Family households,No vehicle available,1 worker,0.0,0.0
2,"$100,000 to $149,999",1-person household,Family households,No vehicle available,2 workers,0.0,0.0
3,"$100,000 to $149,999",1-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
4,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,No workers,0.0,0.0
5,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,1 worker,0.0,0.0
6,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,2 workers,0.0,0.0
7,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
8,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,No workers,0.0,0.0
9,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,1 worker,0.0,0.0
10,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,2 workers,0.0,0.0
11,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
12,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,No workers,0.0,0.0
13,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,1 worker,0.0,0.0
14,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,2 workers,0.0,0.0
15,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
16,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,No workers,0.0,0.0
17,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0
18,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0
19,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
20,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,No workers,0.0,360.754958824
21,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.0331685622643
22,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.0
23,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
24,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,No workers,0.0,684.262734146
25,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,1 worker,15.0,876.407856184
26,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.0
27,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
28,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,No workers,0.0,366.504295715
29,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,1 worker,3.0,160.555162808
30,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.0
31,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
32,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,No workers,0.0,111.66659192
33,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,1 worker,3.0,226.130592378
34,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.0
35,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
36,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,33.637670889
37,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,0.0447305576786
38,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.0
39,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
40,"$100,000 to $149,999",2-person household,Family households,No vehicle available,No workers,0.0,0.0596178563031
41,"$100,000 to $149,999",2-person household,Family households,No vehicle available,1 worker,1.0,57.5612812516
42,"$100,000 to $149,999",2-person household,Family households,No vehicle available,2 workers,0.0,0.0298488640444
43,"$100,000 to $149,999",2-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
44,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,No workers,1.0,113.080295531
45,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,1 worker,0.0,0.101395529696
46,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,2 workers,1.0,71.6822873563
47,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
48,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,No workers,3.0,181.703950856
49,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,1 worker,20.0,1857.5342135
50,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,2 workers,24.0,2244.68450906
51,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
52,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,No workers,3.0,55.3615910309
53,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,1 worker,2.0,261.620557517
54,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,2 workers,7.0,495.866988971
55,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
56,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,No workers,0.0,0.00555891410605
57,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,1 worker,1.0,77.6261627068
58,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,2 workers,1.0,64.4066613966
59,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
60,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,No workers,0.0,38.7009693253
61,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,1 worker,0.0,37.365942323
62,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,2 workers,0.0,19.3764090729
63,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
64,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,No workers,0.0,73.4061457422
65,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,1 worker,0.0,65.8209725716
66,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,2 workers,0.0,46.5326024143
67,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
68,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,No workers,0.0,39.3177450764
69,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,1 worker,0.0,60.2909757874
70,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,2 workers,0.0,60.7140990111
71,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
72,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,No workers,0.0,11.9793373392
73,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,1 worker,0.0,84.9155756278
74,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,2 workers,0.0,45.9846244532
75,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
76,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,3.60857262641
77,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,50.3910728773
78,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,41.8096251965
79,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
80,"$100,000 to $149,999",3-person household,Family households,No vehicle available,No workers,0.0,0.119502509021
81,"$100,000 to $149,999",3-person household,Family households,No vehicle available,1 worker,0.0,0.0707532139572
82,"$100,000 to $149,999",3-person household,Family households,No vehicle available,2 workers,0.0,0.0538139191103
83,"$100,000 to $149,999",3-person household,Family households,No vehicle available,3 or more workers,0.0,0.267458477103
84,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,No workers,0.0,0.226666637726
85,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,1 worker,1.0,124.633424603
86,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,2 workers,1.0,129.234560072
87,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,3 or more workers,0.0,0.468570665312
88,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,No workers,1.0,121.407015575
89,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,1 worker,7.0,799.135798821
90,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,2 workers,6.0,1011.72418504
91,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,3 or more workers,1.0,118.337374735
92,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,No workers,0.0,0.0369903104081
93,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,1 worker,1.0,160.789465411
94,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,2 workers,5.0,638.563330111
95,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,3 or more workers,7.0,474.489364614
96,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,No workers,0.0,0.0111427049595
97,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0954165782839
98,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,2 workers,0.0,0.116117479761
99,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,3 or more workers,1.0,62.8611787444
100,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,No workers,0.0,4.17634579323
101,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,1 worker,0.0,2.47266680749
102,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,2 workers,0.0,1.88067628483
103,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,9.34707643266
104,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,No workers,0.0,7.92149275101
105,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,1 worker,0.0,4.35565983344
106,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,2 workers,0.0,4.5164592419
107,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,16.3754982464
108,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,No workers,0.0,4.24290404379
109,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,1 worker,0.0,3.98971591114
110,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,2 workers,0.0,5.89291678017
111,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,4.13562695216
112,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,No workers,0.0,1.29272873456
113,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,1 worker,0.0,5.61923270873
114,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,2 workers,0.0,4.46327244386
115,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,2.36890622402
116,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.389412652204
117,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,3.33459630753
118,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,4.05804658072
119,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,2.19685780289
120,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,No workers,0.0,0.144312542728
121,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,1 worker,0.0,0.0926213661871
122,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,2 workers,0.0,0.0409651943399
123,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,3 or more workers,0.0,0.362748472197
124,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,No workers,0.0,0.27372512184
125,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,1 worker,0.0,0.16315468109
126,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,2 workers,0.0,0.0983782440734
127,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,3 or more workers,0.0,0.63551282726
128,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,No workers,0.0,0.146612445766
129,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,1 worker,4.0,597.788488556
130,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,2 workers,19.0,2438.84882179
131,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,3 or more workers,0.0,0.160498565437
132,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,No workers,0.0,0.0446699052182
133,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,1 worker,2.0,420.97140531
134,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,2 workers,5.0,486.098603276
135,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,3 or more workers,2.0,183.868639512
136,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,No workers,0.0,0.013456052921
137,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,1 worker,2.0,249.815191234
138,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,2 workers,4.0,353.572102036
139,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,3 or more workers,7.0,596.801333723
140,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,No workers,0.0,2.21339401391
141,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,1 worker,0.0,1.42058045409
142,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.628303778846
143,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,5.56365567221
144,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,No workers,0.0,4.19825979563
145,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,1 worker,0.0,2.50238536195
146,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,2 workers,0.0,1.50887658422
147,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,9.7471797048
148,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,No workers,0.0,2.24866878297
149,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,1 worker,0.0,2.29214563951
