,hh_inc,hh_size,hh_type,vehicle,workers,sample,total
0,"$100,000 to $149,999",1-person household,Family households,No vehicle available,No workers,0.0,0.0
1,"$100,000 to $149,999",1-person household,Family households,No vehicle available,1 worker,0.0,0.0
2,"$100,000 to $149,999",1-person household,Family households,No vehicle available,2 workers,0.0,0.0
3,"$100,000 to $149,999",1-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
4,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,No workers,0.0,0.0
5,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,1 worker,0.0,0.0
6,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,2 workers,0.0,0.0
7,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
8,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,No workers,0.0,0.0
9,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,1 worker,0.0,0.0
10,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,2 workers,0.0,0.0
11,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
12,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,No workers,0.0,0.0
13,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,1 worker,0.0,0.0
14,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,2 workers,0.0,0.0
15,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
16,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,No workers,0.0,0.0
17,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0
18,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0
19,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
20,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,No workers,0.0,259.274643386
21,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,1 worker,1.0,25.7844031383
22,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.0
23,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
24,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,No workers,0.0,794.364122597
25,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,1 worker,21.0,1272.80199451
26,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.0
27,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
28,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,No workers,0.0,447.854374982
29,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,1 worker,5.0,322.545616295
30,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.0
31,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
32,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,No workers,0.0,139.142876149
33,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,1 worker,2.0,93.5893467297
34,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.0
35,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
36,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,55.6663073227
37,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,1 worker,1.0,38.3659142842
38,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.0
39,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
40,"$100,000 to $149,999",2-person household,Family households,No vehicle available,No workers,0.0,0.0496660945881
41,"$100,000 to $149,999",2-person household,Family households,No vehicle available,1 worker,0.0,0.0465443037542
42,"$100,000 to $149,999",2-person household,Family households,No vehicle available,2 workers,0.0,0.0583212330668
43,"$100,000 to $149,999",2-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
44,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,No workers,2.0,304.333375104
45,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,1 worker,1.0,109.4084859
46,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,2 workers,3.0,261.946134997
47,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
48,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,No workers,3.0,257.370070505
49,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,1 worker,21.0,2445.39989726
50,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,2 workers,32.0,3337.21662357
51,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
52,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,No workers,1.0,26.6539109179
53,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,1 worker,5.0,422.353288437
54,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,2 workers,13.0,1093.02726443
55,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
56,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,No workers,0.0,0.0106633184362
57,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,1 worker,2.0,138.511235546
58,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,2 workers,1.0,95.5687898765
59,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
60,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,No workers,0.0,27.7500530314
61,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,1 worker,0.0,26.0058075474
62,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,2 workers,0.0,32.585958769
63,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
64,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,No workers,0.0,85.0204487428
65,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,1 worker,0.0,61.1300588661
66,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,2 workers,0.0,48.785925273
67,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
68,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,No workers,0.0,47.933660206
69,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,1 worker,0.0,65.0630474369
70,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,2 workers,0.0,58.2690887072
71,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
72,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,No workers,0.0,14.8924019011
73,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,1 worker,0.0,47.1964878629
74,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,2 workers,0.0,46.9776674136
75,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
76,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,5.95794081555
77,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,38.6953530746
78,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,53.3973731822
79,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
80,"$100,000 to $149,999",3-person household,Family households,No vehicle available,No workers,0.0,0.0748060781887
81,"$100,000 to $149,999",3-person household,Family households,No vehicle available,1 worker,0.0,0.0627591942889
82,"$100,000 to $149,999",3-person household,Family households,No vehicle available,2 workers,0.0,0.0766249764941
83,"$100,000 to $149,999",3-person household,Family households,No vehicle available,3 or more workers,0.0,0.0170800674934
84,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,No workers,0.0,0.229190420973
85,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,1 worker,0.0,0.147523711166
86,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,2 workers,0.0,0.114718747538
87,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0350915304184
88,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,No workers,1.0,129.215217325
89,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,1 worker,5.0,785.075492787
90,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,2 workers,7.0,959.126999739
91,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,3 or more workers,1.0,62.4863039281
92,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,No workers,0.0,0.0401455874615
93,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,1 worker,3.0,341.694471068
94,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,2 workers,7.0,773.266756024
95,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,3 or more workers,7.0,552.314876031
96,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,No workers,0.0,0.0160608769283
97,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0933825714605
98,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,2 workers,2.0,251.124878292
99,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,3 or more workers,1.0,76.0193248306
100,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,No workers,0.0,3.06616534652
101,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,1 worker,0.0,2.57238544465
102,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,2 workers,0.0,3.14071868614
103,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.700080960432
104,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,No workers,0.0,9.39409929724
105,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,1 worker,0.0,6.04672911508
106,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,2 workers,0.0,4.70211320809
107,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,1.43833812881
108,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,No workers,0.0,5.29629718866
109,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,1 worker,0.0,6.43576385415
110,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,2 workers,0.0,5.61612493973
111,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,2.56120016415
112,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,No workers,0.0,1.64549475217
113,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,1 worker,0.0,4.66847869254
114,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,2 workers,0.0,4.52782865539
115,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,3.23405487564
116,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.658306189346
117,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,3.82758208309
118,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,5.14657644212
119,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,3.11589412392
120,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,No workers,0.0,0.19160301184
121,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,1 worker,0.0,0.0745898645649
122,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,2 workers,0.0,0.0839182391714
123,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,3 or more workers,0.0,0.0296674852126
124,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,No workers,0.0,0.587032177151
125,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,1 worker,2.0,350.666504269
126,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,2 workers,0.0,0.125637823772
127,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,3 or more workers,2.0,121.905544013
128,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,No workers,0.0,0.330962742795
129,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,1 worker,11.0,2052.75236173
130,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,2 workers,22.0,3301.31348463
131,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,3 or more workers,0.0,0.108536544044
132,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,No workers,0.0,0.102826075848
133,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,1 worker,6.0,812.213879046
134,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,2 workers,11.0,1330.7914226
135,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,3 or more workers,8.0,1096.40205202
136,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,No workers,1.0,41.1371972274
137,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,1 worker,2.0,221.972045272
138,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,2 workers,0.0,0.137513631733
139,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,3 or more workers,11.0,1452.47225503
140,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,No workers,0.0,2.83282189487
141,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,1 worker,0.0,1.10280000009
142,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,2 workers,0.0,1.24071862452
143,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.438629335045
144,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,No workers,0.0,8.67918300688
145,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,1 worker,0.0,2.59227592915
146,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,2 workers,0.0,1.85753644782
147,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.901177624685
148,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,No workers,0.0,4.89323468964
149,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,1 worker,0.0,2.75905789846
