,,"Waller County, Texas","Chambers County, Texas","Montgomery County, Texas","Liberty County, Texas","Fort Bend County, Texas","Galveston County, Texas","Harris County, Texas","Austin County, Texas","Brazoria County, Texas"
hh_type,Family households,10190,9875,128184,18487,170472,77609,1024967,7906,82536
hh_type,Nonfamily households,3747,3143,45054,6832,35716,36257,474561,3132,29974
workers,No workers,2815,3375,36370,7380,27019,26132,263321,3102,21462
workers,1 worker,5994,5614,76043,11174,84480,48081,695990,3896,46040
workers,2 workers,4416,3146,50413,5589,78236,32831,435120,3211,38059
workers,3 or more workers,712,883,10412,1176,16453,6822,105097,829,6949
hh_size,1-person household,2751,2743,37615,5747,30691,29435,391508,2851,25367
hh_size,2-person household,4882,4144,59886,8862,58678,37934,432873,4036,35268
hh_size,3-person household,2668,1981,27879,3744,43255,19568,248053,1321,20112
hh_size,4-or-more-person household,3636,4150,47858,6966,73564,26929,427094,2830,31763
hh_inc,"$100,000 to $149,999",1798,2382,27435,3024,42657,18089,194574,1596,19476
hh_inc,"$15,000 to $24,999",1466,787,14945,3440,10917,10666,160466,1413,8435
hh_inc,"$150,000 or more",1215,1863,30064,1565,48793,16251,186150,982,17006
hh_inc,"$25,000 to $34,999",1479,982,15469,2496,13030,9557,154954,1140,8710
hh_inc,"$35,000 to $44,999",1475,1152,13760,2586,12840,9411,139771,1063,8371
hh_inc,"$45,000 to $59,999",1559,1217,18547,3309,20716,12373,176978,1339,12904
hh_inc,"$60,000 to $99,999",3175,2987,39277,5521,46528,24618,312954,2356,27595
hh_inc,"Less than $15,000",1770,1648,13741,3378,10707,12901,173681,1149,10013
vehicle,No vehicle available,781,342,6090,1296,5277,7334,100420,304,3946
vehicle,1 vehicle available,3951,3752,51786,8383,45859,36439,553591,3647,32917
vehicle,2 vehicles available,5517,5741,75860,10224,101977,48034,581420,4336,50072
vehicle,3 vehicles available,2720,2256,28431,3522,39430,15999,193141,1777,18289
vehicle,4 or more vehicles available,968,927,11071,1894,13645,6060,70956,974,7286
