sla_address_id,resident_workers,residential_students,total_population
42520,63,76,99
41520,316,389,503
42916,69,81,107
38530,333,367,477
41124,78,91,117
40395,350,379,512
41045,64,70,89
45539,333,406,504
45397,11,13,14
42729,329,376,510
39555,64,81,100
49464,73,64,117
38876,70,97,106
40111,324,382,486
49290,81,91,107
39961,335,407,501
43251,353,392,521
42906,60,77,95
46176,14,13,17
40258,325,385,491
40746,57,73,99
39214,69,68,104
49053,14,12,20
46037,334,366,497
39950,356,395,510
41181,69,64,105
40567,370,392,522
39375,330,387,526
38896,317,375,484
49323,82,93,114
37973,72,77,104
43730,58,72,104
37670,78,87,111
43949,338,361,487
36162,311,368,484
44984,58,78,98
39234,74,88,104
43875,76,79,107
39700,66,72,102
43384,60,69,97
44358,64,66,90
39395,344,361,486
48041,66,85,99
47470,335,387,490
49198,11,13,19
42911,349,400,511
43121,76,75,101
45902,355,398,503
43390,58,75,97
46794,334,378,488
43755,74,80,101
49113,313,369,483
37975,66,77,106
44355,73,92,114
39804,324,375,521
42494,64,83,103
44101,62,72,105
40565,344,382,511
37079,69,86,105
40566,336,408,508
42606,312,369,480
41536,57,67,94
45413,338,376,504
40450,81,76,111
44946,68,79,97
45657,338,383,521
41312,64,85,105
49491,13,18,19
49515,10,14,17
43173,70,83,98
46566,327,391,491
38308,71,84,111
47892,65,71,99
41412,12,16,18
40168,68,78,103
37228,12,12,17
44941,65,72,99
39221,320,363,475
42903,83,85,119
44226,9,12,19
36490,7,11,15
42909,329,353,495
45779,355,392,516
43860,66,90,108
38889,13,13,20
45909,68,82,103
34359,359,399,517
41033,71,77,98
40393,316,377,505
40257,338,377,510
40622,69,65,97
42114,314,386,512
39196,57,70,98
34011,75,76,106
42497,63,85,105
44104,60,63,89
41023,72,74,110
41878,357,384,503
42753,72,84,107
34014,365,411,516
42109,313,374,486
42652,352,387,525
43153,73,78,101
48854,70,68,101
37236,62,70,91
39238,12,15,17
40305,76,80,113
46532,79,90,110
45899,350,370,518
43494,69,80,105
47254,75,86,115
39849,63,91,103
38287,62,77,100
33444,321,346,500
46312,323,371,481
47687,62,87,101
37220,327,355,507
39371,62,69,98
37499,67,75,107
40703,362,401,526
45781,74,71,105
39373,325,359,514
40853,304,389,494
41674,67,85,105
35627,340,388,509
49193,335,378,519
42345,312,384,487
39499,69,84,111
39713,67,79,99
41785,65,73,96
41183,71,90,105
45529,302,365,480
43502,61,76,93
45659,335,365,499
33814,311,379,491
37649,72,78,108
44844,74,82,112
41899,70,85,105
42382,66,83,102
41779,67,86,104
39071,336,359,501
45527,69,83,103
46304,347,390,505
39848,69,76,111
42014,60,71,93
36675,8,15,18
41049,63,73,97
38536,57,73,96
44853,70,82,100
33631,341,394,510
48240,79,83,106
44977,364,392,529
48397,71,77,100
37935,78,72,105
49761,81,84,113
48635,63,67,102
39815,324,387,489
43634,314,373,503
40164,70,82,104
48733,12,8,20
37379,70,67,107
43977,57,76,92
45660,325,394,489
43732,341,375,517
48830,9,13,15
39698,80,97,113
43614,67,66,100
47834,68,71,93
37504,71,77,104
44122,72,79,103
46278,74,86,101
40143,49,77,93
36338,66,80,106
44978,326,364,488
39810,361,397,525
42242,13,10,16
41193,62,63,97
41560,66,74,109
48886,66,70,92
44236,64,75,96
39223,356,383,522
39851,68,73,102
39981,347,401,511
39975,64,72,102
41880,75,85,104
44483,61,71,99
47899,12,13,18
48610,311,357,486
38882,62,77,103
35808,351,392,501
44492,60,73,103
36340,54,69,100
45434,68,70,104
39805,334,414,494
48968,77,80,104
46307,319,368,494
35071,55,69,93
43633,362,390,529
47788,62,75,90
35620,361,382,511
39237,66,74,100
48141,64,83,103
42867,81,76,113
43045,67,79,102
49675,67,72,90
41679,62,82,101
42758,71,90,108
49495,13,17,17
34016,341,393,509
49704,62,75,93
46267,77,82,105
48200,57,77,96
43404,58,73,91
34521,61,80,102
46785,72,79,98
35618,75,85,113
40114,62,79,98
41565,72,87,106
44457,328,387,508
35802,77,82,108
42112,341,391,499
46900,64,73,100
48235,13,13,18
42231,293,371,472
38696,66,71,98
46437,57,77,90
37531,82,87,105
37695,79,83,107
41180,69,81,103
34012,353,392,516
39363,69,90,102
41782,82,81,107
40854,336,379,509
45761,74,79,101
41877,332,374,497
39243,77,66,109
49487,67,84,113
37219,67,77,100
40992,307,378,492
44947,317,352,506
45632,62,75,95
37362,340,390,494
44480,346,391,513
36333,71,76,98
35434,361,420,545
40099,340,412,503
38305,55,72,90
39355,72,83,97
45533,71,81,100
40272,353,367,519
40291,60,74,102
48871,11,13,13
38860,57,79,91
39212,79,74,115
39075,80,90,106
34886,14,12,16
49151,71,72,106
44220,13,17,17
44336,331,372,495
43145,81,81,106
38495,68,90,103
47024,75,85,109
40998,62,75,110
40981,62,71,100
41887,11,14,16
43002,67,87,101
42764,75,83,110
44571,324,354,501
43608,322,381,477
39200,311,395,496
39821,326,397,503
37497,81,61,108
48611,308,389,507
39951,338,377,510
43523,336,381,525
42887,63,79,110
40325,12,15,19
34356,62,82,102
46026,323,379,494
39814,324,414,512
33817,337,374,507
42749,87,84,118
39954,337,387,502
40317,83,84,113
49685,77,83,106
47360,337,381,500
40980,76,82,108
46041,357,425,526
35626,348,399,502
39525,67,79,98
46897,77,75,110
48044,66,80,102
40277,73,78,105
44367,73,77,104
38164,77,83,109
40246,376,392,519
46678,73,72,108
49194,341,382,518
39398,65,83,103
45544,13,12,16
41784,71,79,104
45891,84,82,106
38289,59,85,111
41999,343,370,510
39722,64,80,99
49304,12,16,17
46549,70,78,98
39199,328,386,480
40128,80,68,107
47785,69,71,108
48778,73,70,101
49044,81,77,110
42139,73,73,101
39231,360,391,510
45890,356,405,542
46692,64,76,101
47022,78,81,101
45082,69,75,95
43520,323,385,494
49726,13,12,16
39256,67,77,98
45775,321,378,489
42921,76,79,108
39809,340,389,504
39802,349,372,514
37822,309,378,498
34704,70,78,107
44942,78,78,102
41993,325,386,473
38545,75,77,105
47719,79,80,112
41178,66,70,96
38540,66,79,98
41534,60,76,100
47461,69,80,106
43174,67,83,101
44077,327,382,488
47573,71,78,100
49310,79,87,115
49571,13,13,17
44852,63,79,100
37650,380,408,529
34185,63,85,104
48370,10,14,19
40708,340,377,505
41533,78,80,108
40394,328,357,489
40112,314,359,472
47850,69,82,106
45410,351,381,528
47693,60,80,95
39982,331,402,492
35968,68,75,97
42752,65,73,103
43266,70,75,110
48142,70,75,104
37974,73,80,103
38169,70,86,110
43041,79,76,105
38721,73,80,104
38161,340,395,507
35420,68,71,98
43291,62,78,103
47708,71,76,105
44833,64,73,98
48144,13,18,25
48851,67,74,93
41402,351,380,497
44243,71,85,102
44362,72,90,114
44488,80,86,116
43644,69,76,112
41276,84,89,114
37076,364,383,500
37080,313,400,489
42111,337,398,500
46687,68,78,102
43488,323,383,516
47472,352,382,508
43287,11,12,20
38524,65,77,96
42266,69,83,117
38131,15,16,19
42144,60,78,97
38147,80,87,110
40451,51,81,90
34343,61,81,103
49684,81,90,109
48140,49,72,96
38129,363,407,522
44730,70,81,102
40891,74,74,100
39991,73,83,102
40768,71,71,107
49158,345,367,489
38113,82,73,107
39953,376,414,546
37396,82,89,118
43274,70,65,103
41556,71,78,96
38349,64,66,95
45081,70,74,101
45662,69,83,101
44345,73,65,110
44724,73,76,109
38714,80,83,109
39230,315,364,493
49547,14,12,16
37505,336,380,482
