GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US24001,24001,"Allegany County, Maryland",73549,*****
0500000US24003,24003,"Anne Arundel County, Maryland",555280,*****
0500000US24005,24005,"Baltimore County, Maryland",822959,*****
0500000US24009,24009,"Calvert County, Maryland",90114,*****
0500000US24011,24011,"Caroline County, Maryland",32661,*****
0500000US24013,24013,"Carroll County, Maryland",167444,*****
0500000US24015,24015,"Cecil County, Maryland",101960,*****
0500000US24017,24017,"Charles County, Maryland",152754,*****
0500000US24019,24019,"Dorchester County, Maryland",32534,*****
0500000US24021,24021,"Frederick County, Maryland",241373,*****
0500000US24023,24023,"Garrett County, Maryland",29813,*****
0500000US24025,24025,"Harford County, Maryland",248966,*****
0500000US24027,24027,"Howard County, Maryland",304115,*****
0500000US24029,24029,"Kent County, Maryland",19923,*****
0500000US24031,24031,"Montgomery County, Maryland",1017859,*****
0500000US24033,24033,"Prince George's County, Maryland",892816,*****
0500000US24035,24035,"Queen Anne's County, Maryland",48600,*****
0500000US24037,24037,"St. Mary's County, Maryland",109614,*****
0500000US24039,24039,"Somerset County, Maryland",25980,*****
0500000US24041,24041,"Talbot County, Maryland",37799,*****
0500000US24043,24043,"Washington County, Maryland",149270,*****
0500000US24045,24045,"Wicomico County, Maryland",101182,*****
0500000US24047,24047,"Worcester County, Maryland",51519,*****
0500000US24510,24510,"Baltimore city, Maryland",622454,*****
