"","weights"
"1",1.77979311133041
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",1.36489491517857
"9",0.0842966871042794
"10",0
"11",0
"12",0
"13",0
"14",0
"15",3.13114728467625
"16",0.752026073534058
"17",3.45872433748055
"18",3.45872433748055
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0.237161092254743
"32",9.25483767789823e-320
"33",0
"34",0
"35",0
"36",0
"37",15.7275658133447
"38",15.7275658133447
"39",9.25483767789823e-320
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",9.25483767789823e-320
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",1.08948066227637
"73",9.25483767789823e-320
"74",2.79101881153505
"75",2.79101881153505
"76",0
"77",0
"78",0.0842966871042794
"79",0
"80",0
"81",0
"82",0
"83",16.6008847921505
"84",16.6008847921505
"85",10.1556750555705
"86",10.1556750555705
"87",0
"88",0.327651806283047
"89",0
"90",0
"91",0
"92",0.158418689560712
"93",0
"94",0
"95",0
"96",0
"97",0
"98",9.25483767789823e-320
"99",9.25483767789823e-320
"100",9.25483767789823e-320
"101",0
"102",0
"103",1.03034119521043
"104",0.346035296374795
"105",9.25483767789823e-320
"106",0.576437796570429
"107",0.576437796570429
"108",0
"109",5.17789185076289
"110",5.17789185076289
"111",0
"112",0
"113",0
"114",1.06295370794433
"115",1.06295370794433
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",1.64186232965849
"123",44.0207741258869
"124",3.54994191728658
"125",2.21960910839122
"126",2.21960910839122
"127",186.12108147546
"128",186.12108147546
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0.475895906518453
"142",0
"143",0
"144",0
"145",9.25483767789823e-320
"146",24.6615201023359
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",16.6008847921505
"158",16.6008847921505
"159",0
"160",0
"161",0
"162",0
"163",9.25483767789823e-320
"164",0
"165",0
"166",0
"167",0
"168",0.0347535040437895
"169",19.2168783346296
"170",19.2168783346296
"171",0
"172",0
"173",0
"174",6.50168419876395
"175",9.25483767789823e-320
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",29.8918696106221
"200",0.395955144731821
"201",0.728953140332874
"202",9.25483767789823e-320
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",5.34178325363282
"223",5.34178325363282
"224",1.88194957812121
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",9.25483767789823e-320
"239",9.25483767789823e-320
"240",0
"241",0
"242",9.25483767789823e-320
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",1.77979311133041
"268",0.815162224085089
"269",9.25483767789823e-320
"270",0
"271",1.77979311133041
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0.752026073534058
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",5.34178325363282
"294",5.34178325363282
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0.475895906518453
"302",1.19077023700673
"303",1.19077023700673
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0.364956971024452
"310",0.75166227673455
"311",0.75166227673455
"312",9.25483767789823e-320
"313",1.82108007133154
"314",1.82108007133154
"315",9.25483767789823e-320
"316",0.250964118266005
"317",0
"318",0
"319",0
"320",0
"321",0.98452429682615
"322",0
"323",0
"324",0
"325",9.25483767789823e-320
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",1.86652674273986
"351",1.86652674273986
"352",0
"353",0
"354",9.25483767789823e-320
"355",9.25483767789823e-320
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0.0822442097666051
"364",0
"365",0
"366",0
"367",0
"368",0
"369",1.36489491517857
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",10.7488232914118
"386",10.7488232914118
"387",10.7488232914118
"388",10.7488232914118
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",11.5742807596815
"400",11.5742807596815
"401",0
"402",0
"403",68.580413105429
"404",68.580413105429
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0.763265572701501
"411",2.79101881153505
"412",2.79101881153505
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",9.25483767789823e-320
"423",0.237161092254743
"424",0
"425",0.251270937895984
"426",6.92992570140757
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",9.25483767789823e-320
"443",9.25483767789823e-320
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",9.25483767789823e-320
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",1.878721168564
"466",1.878721168564
"467",0
"468",0
"469",0.369036670927805
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0
"489",9.25483767789823e-320
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0
"499",0
"500",9.25483767789823e-320
"501",0
"502",0
"503",0
"504",0
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",1.19222602951617
"531",1.19222602951617
"532",2.32193340434054
"533",0
"534",0
"535",7.74083153539315
"536",0
"537",0
"538",0
"539",0
"540",5.04348449284873
"541",5.04348449284873
"542",1.19077023700673
"543",0
"544",0.0809583608535086
"545",1.82108007133154
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",9.25483767789823e-320
"562",0.158418689560712
"563",0
"564",0
"565",0.337609940311084
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",1.06295370794433
"573",0
"574",0
"575",0
"576",0
"577",0
"578",4.87998620191117
"579",4.87998620191117
"580",9.25483767789823e-320
"581",9.25483767789823e-320
"582",2.14038775618382
"583",3.54994191728658
"584",0
"585",0
"586",2.27500142605588
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0.75166227673455
"599",9.25483767789823e-320
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",2.66254019471932
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",9.25483767789823e-320
"628",0.327651806283047
"629",0
"630",0
"631",0.0809583608535086
"632",9.25483767789823e-320
"633",9.25483767789823e-320
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0
"641",9.25483767789823e-320
"642",0
"643",0
"644",1.36489491517857
"645",1.36489491517857
"646",9.25483767789823e-320
"647",0
"648",0
"649",0.505419798776646
"650",0
"651",0
"652",0
"653",0
"654",9.25483767789823e-320
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",0.475895906518453
"667",0
"668",0
"669",0
"670",0
"671",0
"672",0
"673",0
"674",0
"675",0
"676",0
"677",0
"678",0
"679",0
"680",0
"681",0
"682",9.25483767789823e-320
"683",9.25483767789823e-320
"684",0.395955144731821
"685",0
"686",0
"687",0
"688",6.92992570140757
"689",0
"690",0
"691",0
"692",0
"693",0
"694",0
"695",0
"696",0
"697",0
"698",0
"699",0
"700",0
"701",0.335418577673827
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",9.25483767789823e-320
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",9.25483767789823e-320
"725",0
"726",0
"727",7.08145227079391
"728",7.08145227079391
"729",0
"730",0
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",0
"739",0
"740",18.6674848691802
"741",18.6674848691802
"742",0
"743",0
"744",0
"745",0
"746",4.14603180071061
"747",9.25483767789823e-320
"748",9.25483767789823e-320
"749",9.25483767789823e-320
"750",0
"751",0
"752",0
"753",0
"754",0
"755",0
"756",0
"757",0
"758",0
"759",0.383806833753546
"760",0.0809583608535086
"761",0
"762",0
"763",0
"764",0
"765",9.25483767789823e-320
"766",9.25483767789823e-320
"767",1.59129748574075
"768",4.74456857397786
"769",1.06295370794433
"770",1.06295370794433
"771",1.06295370794433
"772",0.728600505193249
"773",1.40809677200872
"774",0
"775",0
"776",0
"777",0
"778",0
"779",0
"780",0
"781",0
"782",0
"783",0
"784",0
"785",0
"786",0
"787",0
"788",0
"789",0
"790",9.25483767789823e-320
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",1.60188584494756
"799",1.60188584494756
"800",0
"801",0
"802",0
"803",0
"804",0
"805",9.25483767789823e-320
"806",0.0797208728439747
"807",0.0797208728439747
"808",0
"809",0
"810",0
"811",158.435951349883
"812",158.435951349883
"813",9.25483767789823e-320
"814",15.7275658133447
"815",15.7275658133447
"816",2.14038775618382
"817",0
"818",0
"819",0
"820",0
"821",0
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
"830",0
"831",0.327651806283047
"832",0.327651806283047
"833",0
"834",0
"835",0
"836",0
"837",1.40809677200872
"838",9.25483767789823e-320
"839",0
"840",0
"841",1.60188584494756
"842",1.60188584494756
"843",0
"844",0
"845",1.12582249921359
"846",0
"847",0
"848",0
"849",0
"850",0
"851",0
"852",0
"853",0
"854",0
"855",0
"856",0
"857",0
"858",0
"859",0
"860",0
"861",9.25483767789823e-320
"862",0
"863",0
"864",0
"865",0.954318079069809
"866",0
"867",0
"868",0
"869",0
"870",0
"871",0
"872",0
"873",0
"874",0
"875",0
"876",0
"877",0
"878",0
"879",0
"880",0
"881",0
"882",0
"883",0
"884",0
"885",0
"886",0
