hhid,indid,APER,gender,age,educ,vehicles,school,employment,income_earn
20150000565447,2015000056544701,1,0,8,6,1,1,1,50000
20150000565451,2015000056545101,6,0,8,10,1,2,3,0
20150000565451,2015000056545102,6,1,1,1,1,2,0,0
20150000565451,2015000056545103,6,1,0,0,1,2,0,0
20150000565451,2015000056545104,6,0,0,0,1,0,0,0
20150000565451,2015000056545105,6,0,9,2,1,1,1,8100
20150000565451,2015000056545106,6,0,10,6,1,1,1,20000
20150000565458,2015000056545801,1,0,8,10,1,1,1,65000
20150000565461,2015000056546101,1,1,21,7,1,1,3,0
20150000565462,2015000056546205,5,0,1,1,3,2,0,0
20150000565462,2015000056546203,5,1,4,7,3,2,1,4500
20150000565462,2015000056546204,5,1,2,2,3,2,0,0
20150000565462,2015000056546201,5,1,11,8,3,2,1,62000
20150000565462,2015000056546202,5,0,12,6,3,1,1,86000
20150000565466,2015000056546601,1,1,21,2,1,1,3,0
20150000565471,2015000056547101,1,1,18,6,1,1,3,0
20150000565473,2015000056547301,2,0,18,6,2,1,1,62000
20150000565473,2015000056547302,2,1,18,6,2,1,3,0
20150000565474,2015000056547401,5,0,11,10,4,2,1,81000
20150000565474,2015000056547402,5,1,11,10,4,2,1,52000
20150000565474,2015000056547403,5,1,1,1,4,2,0,0
20150000565474,2015000056547404,5,1,1,1,4,1,0,0
20150000565474,2015000056547405,5,1,2,2,4,2,0,0
20150000565477,2015000056547704,4,1,3,6,2,1,3,0
20150000565477,2015000056547703,4,0,7,11,2,2,3,0
20150000565477,2015000056547701,4,0,14,11,2,1,1,125000
20150000565477,2015000056547702,4,1,12,10,2,1,1,10500
20150000565478,2015000056547801,3,0,9,10,0,1,1,70000
20150000565478,2015000056547802,3,1,8,11,0,1,1,45000
20150000565478,2015000056547803,3,0,0,0,0,0,0,0
20150000565481,2015000056548101,1,1,19,11,1,1,3,0
20150000565484,2015000056548401,1,1,18,4,0,1,3,0
20150000565486,2015000056548604,4,1,7,6,2,1,1,4000
20150000565486,2015000056548601,4,0,16,11,2,1,1,25000
20150000565486,2015000056548602,4,1,14,11,2,1,1,8600
20150000565486,2015000056548603,4,0,3,5,2,2,1,1700
20150000565492,2015000056549202,2,0,7,10,2,2,3,0
20150000565492,2015000056549201,2,0,7,10,2,2,3,0
20150000565495,2015000056549501,1,0,7,6,0,2,3,0
20150000565499,2015000056549901,2,1,22,2,1,1,3,0
20150000565499,2015000056549902,2,0,8,6,1,1,1,28000
20150000565500,2015000056550001,4,1,12,6,2,1,3,0
20150000565500,2015000056550002,4,0,11,10,2,1,1,125000
20150000565500,2015000056550003,4,0,2,1,2,2,0,0
20150000565500,2015000056550004,4,0,1,1,2,2,0,0
20150000565502,2015000056550201,1,1,5,7,0,2,3,0
20150000565503,2015000056550306,6,0,0,0,2,0,0,0
20150000565503,2015000056550305,6,1,1,1,2,2,0,0
20150000565503,2015000056550304,6,1,2,1,2,2,0,0
20150000565503,2015000056550303,6,1,2,2,2,2,0,0
20150000565503,2015000056550302,6,0,11,10,2,1,1,65000
20150000565503,2015000056550301,6,1,10,10,2,1,3,0
20150000565504,2015000056550401,2,0,9,11,2,1,1,49000
