GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No workers,Margin of Error; Total: - No workers,Estimate; Total: - 1 worker,Margin of Error; Total: - 1 worker,Estimate; Total: - 2 workers,Margin of Error; Total: - 2 workers,Estimate; Total: - 3 or more workers,Margin of Error; Total: - 3 or more workers,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No workers,Margin of Error; Total: - 1-person household: - No workers,Estimate; Total: - 1-person household: - 1 worker,Margin of Error; Total: - 1-person household: - 1 worker,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No workers,Margin of Error; Total: - 2-person household: - No workers,Estimate; Total: - 2-person household: - 1 worker,Margin of Error; Total: - 2-person household: - 1 worker,Estimate; Total: - 2-person household: - 2 workers,Margin of Error; Total: - 2-person household: - 2 workers,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No workers,Margin of Error; Total: - 3-person household: - No workers,Estimate; Total: - 3-person household: - 1 worker,Margin of Error; Total: - 3-person household: - 1 worker,Estimate; Total: - 3-person household: - 2 workers,Margin of Error; Total: - 3-person household: - 2 workers,Estimate; Total: - 3-person household: - 3 workers,Margin of Error; Total: - 3-person household: - 3 workers,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No workers,Margin of Error; Total: - 4-or-more-person household: - No workers,Estimate; Total: - 4-or-more-person household: - 1 worker,Margin of Error; Total: - 4-or-more-person household: - 1 worker,Estimate; Total: - 4-or-more-person household: - 2 workers,Margin of Error; Total: - 4-or-more-person household: - 2 workers,Estimate; Total: - 4-or-more-person household: - 3 or more workers,Margin of Error; Total: - 4-or-more-person household: - 3 or more workers
0500000US48015,48015,"Austin County, Texas",11038,360,3102,321,3896,398,3211,357,829,169,2851,341,1475,243,1376,316,4036,322,1369,216,1470,233,1197,231,1321,259,88,63,310,131,658,173,265,138,2830,323,170,101,740,244,1356,265,564,136
0500000US48039,48039,"Brazoria County, Texas",112510,884,21462,885,46040,1475,38059,1181,6949,656,25367,1118,10493,765,14874,1015,35268,1038,8561,505,13665,872,13042,837,20112,1115,1103,250,7009,636,9994,895,2006,389,31763,1078,1305,301,10492,813,15023,1065,4943,577
0500000US48071,48071,"Chambers County, Texas",13018,228,3375,357,5614,541,3146,420,883,233,2743,382,1554,275,1189,331,4144,376,1276,216,1995,386,873,250,1981,326,288,119,811,250,746,194,136,63,4150,488,257,114,1619,317,1527,305,747,228
0500000US48157,48157,"Fort Bend County, Texas",206188,1155,27019,1164,84480,2093,78236,2145,16453,1015,30691,1403,10688,796,20003,1269,58678,1857,11843,778,22399,1173,24436,1339,43255,1612,2171,371,16207,1127,20312,1330,4565,520,73564,1710,2317,515,25871,1238,33488,1594,11888,844
0500000US48167,48167,"Galveston County, Texas",113866,959,26132,1022,48081,1445,32831,1222,6822,640,29435,1245,12923,758,16512,1044,37934,1131,9926,699,14651,825,13357,866,19568,992,1962,357,7716,647,7634,694,2256,418,26929,921,1321,299,9202,733,11840,836,4566,500
0500000US48201,48201,"Harris County, Texas",1499528,3851,263321,3032,695990,5839,435120,4871,105097,2585,391508,3745,131748,2386,259760,3638,432873,4272,87019,1959,173671,2813,172183,3170,248053,3406,20446,1080,101241,2634,98648,2660,27718,1357,427094,3726,24108,1280,161318,3014,164289,3029,77379,2198
0500000US48291,48291,"Liberty County, Texas",25319,498,7380,467,11174,701,5589,484,1176,215,5747,497,3383,338,2364,347,8862,602,2713,317,3894,458,2255,392,3744,476,587,199,1738,329,1119,244,300,130,6966,602,697,254,3178,440,2215,297,876,190
0500000US48339,48339,"Montgomery County, Texas",173238,1343,36370,1418,76043,1814,50413,1647,10412,907,37615,1694,16132,1070,21483,1463,59886,1822,15607,1034,23827,1102,20452,1191,27879,1308,2595,492,11322,1011,10797,869,3165,555,47858,1487,2036,496,19411,1328,19164,1134,7247,764
0500000US48473,48473,"Waller County, Texas",13937,743,2815,349,5994,553,4416,559,712,202,2751,359,1279,264,1472,258,4882,548,1182,254,1993,358,1707,373,2668,401,150,83,1236,274,1108,314,174,85,3636,365,204,105,1293,226,1601,272,538,183
