GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - 2-person household,Margin of Error; Family households: - 2-person household,Estimate; Family households: - 3-person household,Margin of Error; Family households: - 3-person household,Estimate; Family households: - 4-person household,Margin of Error; Family households: - 4-person household,Estimate; Family households: - 5-person household,Margin of Error; Family households: - 5-person household,Estimate; Family households: - 6-person household,Margin of Error; Family households: - 6-person household,Estimate; Family households: - 7-or-more person household,Margin of Error; Family households: - 7-or-more person household,Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - 1-person household,Margin of Error; Nonfamily households: - 1-person household,Estimate; Nonfamily households: - 2-person household,Margin of Error; Nonfamily households: - 2-person household,Estimate; Nonfamily households: - 3-person household,Margin of Error; Nonfamily households: - 3-person household,Estimate; Nonfamily households: - 4-person household,Margin of Error; Nonfamily households: - 4-person household,Estimate; Nonfamily households: - 5-person household,Margin of Error; Nonfamily households: - 5-person household,Estimate; Nonfamily households: - 6-person household,Margin of Error; Nonfamily households: - 6-person household,Estimate; Nonfamily households: - 7-or-more person household,Margin of Error; Nonfamily households: - 7-or-more person household
0500000US48015,48015,"Austin County, Texas",11038,360,7906,447,3809,322,1267,249,1424,303,862,205,392,141,152,76,3132,364,2851,341,227,102,54,80,0,24,0,24,0,24,0,24
0500000US48039,48039,"Brazoria County, Texas",112510,884,82536,1184,31297,1106,19824,1117,17917,973,8477,797,3180,419,1841,386,29974,1154,25367,1118,3971,517,288,116,204,135,128,103,16,11,0,30
0500000US48071,48071,"Chambers County, Texas",13018,228,9875,395,3810,392,1977,328,2846,491,813,249,304,154,125,63,3143,388,2743,382,334,154,4,8,0,27,62,89,0,27,0,27
0500000US48157,48157,"Fort Bend County, Texas",206188,1155,170472,1562,54587,1707,42554,1607,42497,1604,19094,1157,7005,767,4735,573,35716,1450,30691,1403,4091,571,701,250,104,77,86,87,32,37,11,20
0500000US48167,48167,"Galveston County, Texas",113866,959,77609,1207,32287,1066,18795,961,14915,903,6991,608,2929,437,1692,303,36257,1288,29435,1245,5647,671,773,213,295,201,0,30,28,34,79,71
0500000US48201,48201,"Harris County, Texas",1499528,3851,1024967,4989,362344,4161,239363,3355,218867,3625,123981,2431,48001,1750,32411,1540,474561,3944,391508,3745,70529,2214,8690,763,2567,410,882,298,223,101,162,104
0500000US48291,48291,"Liberty County, Texas",25319,498,18487,673,7957,586,3647,470,3482,468,1984,328,821,203,596,179,6832,541,5747,497,905,236,97,71,11,17,72,66,0,30,0,30
0500000US48339,48339,"Montgomery County, Texas",173238,1343,128184,2092,53612,1650,27139,1321,27802,1483,12418,1007,4885,701,2328,462,45054,1752,37615,1694,6274,706,740,296,226,130,100,94,99,91,0,30
0500000US48473,48473,"Waller County, Texas",13937,743,10190,555,4144,393,2490,369,1813,292,981,198,363,137,399,152,3747,446,2751,359,738,284,178,129,80,101,0,27,0,27,0,27
