city	pcode	code_p	ex2002	a1	a2	a6	a7	a15	a151	a1511	a1512	a152	a153	a1531	a1532	a1533	a1534	a1535	a1536	a1537	a154	a1541	a1542	a1543	a1544	a1545	a15450	a1546	a1547	a1548	a1549	a15410	a15411	a18	a181	a182	a183	a184	a185	a19	pop2003	pop2002	errtype1
110101	1101010021	110101002101	1	1	1	1	50	8946	8646	8646	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	2	2	0
110101	1101010021	110101002102	1	2	2	2	51	14603	6200	6200	0	0	0	0	0	0	0	0	0	0	8403	8403	0	0	0	0	0	0	0	0	0	0	0	143	0	0	143	0	0	0	2	2	0
110101	1101010021	110101002199	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
110101	1101010022	110101002201	1	1	1	2	55	17613.41	7400	7400	0	0	0	0	0	0	0	0	0	0	10213.41	9913.41015625	0	0	0	0	0	0	0	0	0	300	0	36	0	0	36	0	0	0	3	3	0
110101	1101010022	110101002202	1	2	2	1	61	14075.58	0	0	0	0	0	0	0	0	0	0	0	0	14075.58	14075.580078125	0	0	0	0	0	0	0	0	0	0	0	36	0	0	36	0	0	0	3	3	0
110101	1101010022	110101002203	1	3	3	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
110101	1101010022	110101002299	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
110101	1101010023	110101002301	1	1	1	2	60	16082.5	6200	6200	0	0	0	0	0	0	0	0	0	0	9882.5	9582.5	0	0	0	0	0	0	0	0	0	300	0	156	0	0	156	0	0	0	2	2	0
110101	1101010023	110101002302	1	2	2	1	60	9260	0	0	0	0	0	0	0	0	0	0	0	0	9260	9260	0	0	0	0	0	0	0	0	0	0	0	156	0	0	156	0	0	0	2	2	0
110101	1101010023	110101002399	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
110101	1101010025	110101002501	1	1	1	2	62	16820	6505	6505	0	0	0	0	0	0	0	0	0	0	10315	10015	0	0	0	0	0	0	0	0	0	300	0	143	0	0	143	0	0	0	4	4	0
110101	1101010025	110101002502	1	2	2	1	64	9960	0	0	0	0	0	0	0	0	0	0	0	0	9960	9960	0	0	0	0	0	0	0	0	0	0	0	167.169998168945	0	0	143	24.1700000762939	0	0	4	4	0
110101	1101010025	110101002503	1	3	3	2	36	10800	10800	10800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2871.1201171875	1646.76000976563	0	953	271.359985351563	0	0	4	4	0
110101	1101010025	110101002504	1	4	4	1	11	4100	0	0	0	0	0	0	0	0	0	0	0	0	4100	0	0	0	0	0	0	4100	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0
110101	1101010025	110101002599	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0
110101	1101010026	110101002601	1	1	1	2	29	18205	17905	17905	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	300	0	1569	0	1515	0	54	0	0	3	3	0
110101	1101010026	110101002602	1	2	5	2	56	15538.08	6000	6000	0	0	0	0	0	0	0	0	0	0	9538.08	9538.080078125	0	0	0	0	0	0	0	0	0	0	0	146	0	0	146	0	0	0	3	3	0
110101	1101010026	110101002603	1	3	5	1	57	5947.76	0	0	0	0	0	0	0	0	0	0	0	0	5947.76	5947.759765625	0	0	0	0	0	0	0	0	0	0	0	16	0	0	16	0	0	0	3	3	0
110101	1101010026	110101002699	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
110101	1101010029	110101002901	1	1	1	1	46	23850	22050	22050	0	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	0	0	1500	0	300	0	1919.83996582031	315	1455	106	43.8400001525879	0	0	3	3	0
110101	1101010029	110101002902	1	2	2	2	44	7220	6720	6720	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	500	0	0	0	2122.4599609375	945	0	974.5	202.960006713867	0	0	3	3	0
110101	1101010029	110101002903	1	3	3	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
110101	1101010029	110101002999	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
110101	1101010030	110101003001	1	1	1	1	40	26368.66	26068.66	26068.66	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	300	0	5965.240234375	2044.01000976563	3045	735.460021972656	140.770004272461	0	0	3	3	0
110101	1101010030	110101003002	1	2	2	2	39	9587	9587	6587	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1355	436	643	276	0	0	0	3	3	0
110101	1101010030	110101003003	1	3	3	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
110101	1101010030	110101003099	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
110101	1101010031	110101003101	1	1	1	2	49	13814.8	9614.8	9614.8	0	0	0	0	0	0	0	0	0	0	4200	0	0	0	0	0	0	0	0	3900	0	300	0	666.960021972656	493.920013427734	0	137.759994506836	35.2799987792969	0	0	3	3	0
110101	1101010031	110101003102	1	2	2	1	50	15969	15969	15969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2499.36010742188	1169.28002929688	960	370.079986572266	0	0	0	3	3	0
110101	1101010031	110101003103	1	3	3	1	23	300	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	3	3	0
110101	1101010031	110101003199	1	99	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	3	3	0
110101	1101010032	110101003201	1	1	1	2	47	12819	5750	5750	0	0	0	0	0	0	0	0	0	0	7069	6769	0	0	0	0	0	0	0	0	0	300	0	485.799987792969	254.919998168945	0	196.740005493164	34.1399993896484	0	0	3	4	1
110101	1101010032	110101003202	1	2	2	1	46	13374.6	13374.6	12374.6	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1184.68005371094	370.720001220703	550	233.360000610352	30.6000003814697	0	0	3	4	1
110101	1101010032	110101003203	1	3	3	2	21	1240	0	0	0	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	3	4	1
110101	1101010032	110101003204	1	4	6	2	88	300	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1
110101	1101010032	110101003299	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1
110101	1101010033	110101003301	1	1	1	1	50	8700	8400	8400	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	3	3	0
110101	1101010033	110101003302	1	2	2	2	51	15580	5950	5950	0	0	0	0	0	0	0	0	0	0	9630	9630	0	0	0	0	0	0	0	0	0	0	0	143	0	0	143	0	0	0	3	3	0
110101	1101010033	110101003303	1	3	3	1	22	7800	7600	7600	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	3	3	0
