GEO.id,GEO.id2,GEO.display-label,hucen42010,hubase42010,huest72010,huest72011,huest72012,huest72013,huest72014,huest72015,huest72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Housing Unit Estimate (as of July 1) - 2010,Housing Unit Estimate (as of July 1) - 2011,Housing Unit Estimate (as of July 1) - 2012,Housing Unit Estimate (as of July 1) - 2013,Housing Unit Estimate (as of July 1) - 2014,Housing Unit Estimate (as of July 1) - 2015,Housing Unit Estimate (as of July 1) - 2016
0500000US48015,48015,"Austin County, Texas",12926,12925,12932,12941,12952,12969,13002,13036,13061
0500000US48039,48039,"Brazoria County, Texas",118336,118324,118816,120495,122189,124308,126234,129493,132653
0500000US48071,48071,"Chambers County, Texas",13291,13293,13388,13588,13785,14094,14407,14789,15106
0500000US48157,48157,"Fort Bend County, Texas",197030,196748,198024,202708,208142,214780,223829,233131,242441
0500000US48167,48167,"Galveston County, Texas",132492,132489,132782,134427,135995,137675,139584,142314,144508
0500000US48201,48201,"Harris County, Texas",1598698,1599012,1601924,1614410,1629359,1653973,1682522,1720137,1751802
0500000US48291,48291,"Liberty County, Texas",28759,28757,28800,28991,29202,29335,29503,29806,30110
0500000US48339,48339,"Montgomery County, Texas",177647,177652,178397,180982,184748,189094,195332,202446,209415
0500000US48473,48473,"Waller County, Texas",15839,15840,15849,15897,15937,16016,16116,16233,16434
