SERIALNO,PUMA,NP,VEH,HHT,HINCP,HUPAC,WIF
64,4627,4,2.0,3.0,44000.0,2.0,1.0
99,4622,6,3.0,3.0,90000.0,3.0,3.0
154,4634,2,2.0,3.0,114000.0,4.0,1.0
256,4802,1,,,,,
284,4701,2,2.0,5.0,72000.0,4.0,
285,4803,1,3.0,4.0,65000.0,4.0,
318,4502,1,2.0,4.0,77000.0,4.0,
361,4606,1,1.0,6.0,26600.0,4.0,
372,4802,4,2.0,1.0,240000.0,2.0,2.0
388,4612,4,5.0,1.0,77000.0,2.0,3.0
438,4612,2,2.0,1.0,127000.0,4.0,2.0
459,5000,2,1.0,1.0,52500.0,4.0,1.0
538,4601,1,1.0,6.0,4500.0,4.0,
637,4624,2,2.0,1.0,80000.0,4.0,1.0
804,4616,3,3.0,1.0,128780.0,4.0,2.0
1090,4616,2,1.0,7.0,35000.0,4.0,
1106,4803,1,,,,,
1127,4631,1,1.0,6.0,12000.0,4.0,
1237,4905,3,2.0,1.0,70000.0,1.0,1.0
1353,4601,2,2.0,1.0,180000.0,4.0,2.0
1381,4604,3,3.0,1.0,300000.0,2.0,2.0
1596,4621,4,4.0,1.0,221500.0,4.0,3.0
1730,4604,3,2.0,3.0,80000.0,2.0,1.0
1751,4634,1,1.0,4.0,58000.0,4.0,
1997,4626,5,3.0,3.0,40000.0,2.0,0.0
2042,4603,1,1.0,6.0,15400.0,4.0,
2051,4617,2,3.0,1.0,60000.0,4.0,2.0
2079,4613,5,1.0,3.0,35900.0,2.0,1.0
2102,4605,1,1.0,6.0,3900.0,4.0,
2204,4606,3,1.0,3.0,23800.0,2.0,1.0
2210,4618,3,1.0,3.0,172000.0,4.0,2.0
2234,4901,6,4.0,1.0,81000.0,3.0,3.0
2257,4605,2,1.0,1.0,22400.0,4.0,0.0
2371,4618,5,4.0,1.0,60500.0,2.0,3.0
2413,4616,4,2.0,1.0,40000.0,2.0,1.0
2490,4604,2,2.0,7.0,136000.0,4.0,
2501,4624,2,2.0,5.0,220000.0,4.0,
2505,4624,4,2.0,1.0,31950.0,2.0,2.0
2598,4905,7,2.0,1.0,87000.0,2.0,2.0
2603,4614,0,,,,,
2678,4801,5,5.0,1.0,83400.0,2.0,3.0
2686,4613,2,2.0,5.0,269500.0,4.0,
2715,4604,1,,,,,
2745,4614,1,1.0,4.0,58000.0,4.0,
2817,4701,5,1.0,1.0,39600.0,2.0,1.0
2924,4635,1,1.0,6.0,2200.0,4.0,
2934,4701,1,,,,,
2966,4400,2,1.0,1.0,45500.0,4.0,2.0
3017,4627,4,2.0,1.0,86500.0,1.0,2.0
3025,4902,2,3.0,1.0,52300.0,4.0,0.0
3232,5000,3,0.0,1.0,8400.0,2.0,2.0
3283,4503,1,1.0,6.0,35000.0,4.0,
3456,4616,2,0.0,1.0,13500.0,4.0,0.0
3503,4620,2,2.0,1.0,70000.0,4.0,2.0
3540,4617,1,0.0,6.0,13400.0,4.0,
3686,4905,1,1.0,6.0,58000.0,4.0,
3705,4606,2,2.0,1.0,40400.0,4.0,0.0
3786,4803,1,1.0,4.0,36000.0,4.0,
3829,4601,0,,,,,
3855,4612,2,1.0,1.0,25000.0,4.0,0.0
3999,4607,2,2.0,1.0,78700.0,4.0,0.0
4097,4603,2,2.0,1.0,196700.0,4.0,0.0
4108,4632,6,3.0,1.0,200001.0,3.0,1.0
4189,4609,4,3.0,1.0,270000.0,1.0,2.0
4237,4606,3,1.0,1.0,64300.0,1.0,2.0
4361,4613,4,1.0,1.0,60000.0,1.0,1.0
4364,4612,1,1.0,6.0,55000.0,4.0,
4512,4622,2,2.0,1.0,172000.0,4.0,1.0
4604,4606,5,2.0,1.0,63000.0,2.0,2.0
4834,4627,1,2.0,4.0,41800.0,4.0,
5045,4629,2,2.0,1.0,94000.0,4.0,2.0
5182,4400,2,2.0,1.0,46400.0,4.0,1.0
5215,4624,4,2.0,1.0,132000.0,2.0,2.0
5242,4602,4,2.0,1.0,96000.0,4.0,3.0
5362,4803,1,1.0,4.0,9901.0,4.0,
5366,4615,1,1.0,4.0,320.0,4.0,
5367,4626,3,1.0,1.0,14000.0,1.0,1.0
5421,4610,1,2.0,6.0,7930.0,4.0,
5460,4903,1,1.0,4.0,13000.0,4.0,
5486,4627,3,2.0,1.0,73000.0,2.0,2.0
5757,4603,1,,,,,
5849,4400,3,4.0,1.0,144000.0,4.0,3.0
5862,4637,1,1.0,4.0,85000.0,4.0,
5921,4702,1,,,,,
6010,4604,0,,,,,
6046,4607,2,2.0,1.0,30000.0,4.0,1.0
6083,4615,9,0.0,1.0,24000.0,3.0,2.0
6296,5000,2,1.0,7.0,26500.0,4.0,
6418,4617,2,2.0,7.0,36600.0,4.0,
6519,4636,3,2.0,1.0,260600.0,4.0,1.0
6600,4629,2,3.0,1.0,0.0,4.0,0.0
6733,5000,1,0.0,6.0,10200.0,4.0,
6759,4633,1,1.0,6.0,13500.0,4.0,
6897,4503,1,1.0,4.0,34200.0,4.0,
7005,4607,3,2.0,1.0,44200.0,1.0,2.0
7034,4630,0,,,,,
7035,4631,4,2.0,1.0,120000.0,2.0,1.0
7046,4620,3,3.0,5.0,64000.0,4.0,
7128,5000,1,,,,,
7270,4617,1,2.0,4.0,93000.0,4.0,
7271,4630,0,,,,,
7384,4905,4,4.0,1.0,96000.0,2.0,3.0
7412,4627,5,4.0,1.0,82300.0,2.0,3.0
7422,4606,3,1.0,3.0,25360.0,2.0,1.0
7434,4629,2,2.0,1.0,66000.0,4.0,2.0
7458,4905,4,3.0,1.0,210000.0,1.0,3.0
7473,4614,2,1.0,3.0,82000.0,4.0,1.0
7576,4632,2,2.0,1.0,266900.0,4.0,2.0
7887,4630,1,1.0,4.0,34000.0,4.0,
8023,4501,2,3.0,1.0,53000.0,4.0,2.0
8037,4604,2,2.0,7.0,235600.0,4.0,
8133,4624,3,1.0,2.0,83000.0,4.0,1.0
8178,4613,1,1.0,4.0,80000.0,4.0,
8242,5000,5,1.0,3.0,20000.0,3.0,0.0
8330,4605,3,2.0,1.0,114000.0,2.0,1.0
8336,4503,3,2.0,1.0,601000.0,2.0,2.0
8359,5000,1,,,,,
8484,4601,6,5.0,1.0,133000.0,1.0,3.0
8688,4903,4,1.0,1.0,19000.0,1.0,1.0
8752,4613,3,1.0,1.0,80000.0,1.0,1.0
8766,4502,1,1.0,6.0,21000.0,4.0,
8925,5000,2,2.0,7.0,40000.0,4.0,
8926,4802,3,3.0,1.0,130000.0,4.0,3.0
8948,4803,2,2.0,3.0,77100.0,4.0,2.0
8968,4613,1,1.0,4.0,10400.0,4.0,
9050,4617,3,2.0,2.0,271950.0,4.0,2.0
9064,4502,5,4.0,1.0,153050.0,2.0,3.0
9180,4502,1,2.0,6.0,3400.0,4.0,
9186,4636,2,2.0,1.0,543400.0,4.0,2.0
9232,4623,3,1.0,1.0,36200.0,1.0,2.0
9380,4638,3,1.0,1.0,34000.0,4.0,1.0
9401,4631,2,4.0,5.0,87000.0,4.0,
9481,4504,3,3.0,1.0,248200.0,4.0,3.0
9528,5000,3,3.0,2.0,168600.0,2.0,1.0
9678,4400,0,,,,,
9730,4618,3,2.0,3.0,49000.0,1.0,2.0
9822,4901,1,1.0,6.0,56800.0,4.0,
9835,4631,2,3.0,1.0,197610.0,4.0,2.0
9865,4601,3,2.0,1.0,95800.0,4.0,1.0
9921,4604,2,2.0,1.0,239100.0,4.0,2.0
10028,4629,2,1.0,3.0,20300.0,4.0,1.0
10133,4621,2,1.0,3.0,23000.0,2.0,1.0
10158,5000,3,3.0,1.0,151900.0,2.0,2.0
10159,4638,3,1.0,3.0,38200.0,2.0,1.0
10173,4702,5,2.0,1.0,100100.0,2.0,1.0
10195,4628,1,1.0,6.0,24500.0,4.0,
10216,4629,2,2.0,1.0,75500.0,4.0,1.0
10412,4612,1,1.0,4.0,56000.0,4.0,
10436,4636,3,2.0,1.0,150000.0,1.0,2.0
10453,4626,3,1.0,2.0,47000.0,1.0,1.0
10579,4614,1,1.0,6.0,70000.0,4.0,
10601,4610,2,3.0,1.0,48900.0,4.0,1.0
10784,4631,1,1.0,6.0,18000.0,4.0,
10808,4504,1,1.0,4.0,220000.0,4.0,
10817,4637,3,1.0,1.0,11600.0,2.0,1.0
10873,4618,3,4.0,1.0,65000.0,4.0,1.0
11023,4626,6,2.0,1.0,83000.0,3.0,1.0
11029,4702,3,2.0,1.0,61400.0,4.0,1.0
11051,4614,2,2.0,1.0,26000.0,4.0,2.0
11177,4635,1,2.0,4.0,104000.0,4.0,
11199,4601,2,2.0,1.0,184000.0,4.0,2.0
11225,4624,2,2.0,1.0,200100.0,4.0,1.0
11393,4610,5,2.0,3.0,28400.0,2.0,2.0
11421,4630,2,1.0,1.0,36600.0,4.0,1.0
11436,4701,2,2.0,2.0,9810.0,4.0,0.0
11442,4617,0,,,,,
11495,4617,3,1.0,3.0,52000.0,2.0,1.0
11514,4613,5,2.0,3.0,41000.0,2.0,2.0
11523,4617,1,,,,,
11690,4629,2,2.0,1.0,369900.0,4.0,0.0
11744,4616,4,1.0,3.0,35000.0,1.0,0.0
11751,4400,1,1.0,4.0,76900.0,4.0,
11766,4400,4,3.0,2.0,20000.0,3.0,0.0
11846,4623,2,2.0,1.0,44000.0,4.0,1.0
11868,4803,1,1.0,6.0,15000.0,4.0,
11945,4605,1,,,,,
11994,4605,1,0.0,4.0,4900.0,4.0,
12099,4636,3,1.0,3.0,39400.0,1.0,1.0
12145,4603,1,,,,,
12184,4617,7,1.0,1.0,17000.0,3.0,1.0
12393,4605,5,3.0,1.0,28400.0,2.0,2.0
12597,4607,4,1.0,3.0,8000.0,3.0,1.0
12738,4702,1,1.0,6.0,30000.0,4.0,
12852,4611,2,1.0,2.0,29600.0,4.0,1.0
13063,4616,5,3.0,1.0,252600.0,2.0,3.0
13101,4636,2,1.0,1.0,25700.0,4.0,0.0
13142,4614,2,2.0,2.0,29000.0,4.0,1.0
13346,4611,4,1.0,3.0,14400.0,3.0,1.0
13368,4607,5,2.0,1.0,38200.0,3.0,2.0
13467,4701,2,2.0,1.0,10900.0,4.0,0.0
13473,4632,4,3.0,1.0,77000.0,3.0,2.0
13555,4803,1,,,,,
13574,4503,2,2.0,1.0,240600.0,4.0,1.0
13620,5000,0,,,,,
13741,4638,2,2.0,7.0,10000.0,4.0,
13779,4611,4,3.0,2.0,56000.0,1.0,1.0
13802,4611,2,2.0,1.0,152000.0,4.0,1.0
13881,4702,3,2.0,1.0,75000.0,2.0,1.0
13906,4618,2,1.0,3.0,32500.0,4.0,1.0
13956,4502,0,,,,,
13970,4901,3,2.0,1.0,39600.0,4.0,2.0
13985,4613,1,1.0,6.0,52000.0,4.0,
13989,4623,3,1.0,3.0,35800.0,2.0,1.0
14008,4603,4,4.0,1.0,53300.0,2.0,1.0
14017,4400,5,3.0,1.0,102000.0,2.0,3.0
14028,4602,1,1.0,4.0,25000.0,4.0,
14042,4504,4,4.0,1.0,250200.0,2.0,1.0
14178,4615,1,,,,,
14181,4621,4,1.0,1.0,39700.0,1.0,1.0
14218,4632,7,3.0,1.0,46800.0,2.0,3.0
14245,4608,3,3.0,1.0,33400.0,4.0,3.0
14431,4633,5,2.0,1.0,110500.0,3.0,2.0
14467,4622,2,3.0,1.0,130900.0,4.0,2.0
14493,4905,1,0.0,4.0,10000.0,4.0,
14534,4701,2,2.0,7.0,30000.0,4.0,
14544,4905,1,1.0,6.0,0.0,4.0,
14608,4631,1,1.0,4.0,17100.0,4.0,
14631,4603,1,1.0,6.0,56000.0,4.0,
14778,4614,1,1.0,4.0,0.0,4.0,
14785,4400,0,,,,,
14851,4802,2,1.0,3.0,59200.0,4.0,1.0
14869,4635,2,2.0,1.0,13500.0,4.0,0.0
14874,4628,7,2.0,1.0,123000.0,3.0,2.0
14888,4501,2,1.0,3.0,48800.0,2.0,1.0
14892,4502,1,1.0,4.0,0.0,4.0,
14935,4621,1,1.0,6.0,65001.0,4.0,
14982,4622,2,4.0,1.0,62001.0,4.0,1.0
15208,4629,2,1.0,7.0,28500.0,4.0,
15214,4623,1,,,,,
15219,4608,1,1.0,6.0,73000.0,4.0,
15231,4615,1,1.0,4.0,64030.0,4.0,
15430,4617,2,1.0,1.0,72500.0,4.0,2.0
15454,4618,1,,,,,
15466,4904,4,3.0,1.0,174000.0,2.0,2.0
15567,4803,1,1.0,6.0,86000.0,4.0,
15624,4629,2,2.0,5.0,38900.0,4.0,
15673,4902,1,,,,,
