SERIALNO,SPORDER,PUMA,AGEP,COW,JWMNP,JWTR,MAR,RELP,SEX,SCHL,ESR,PINCP,ADJINC
64,1,4627,32,1.0,15.0,1.0,5,0,2,19.0,1.0,19000.0,1001264
64,2,4627,12,,,,5,2,1,9.0,,,1001264
64,3,4627,8,,,,5,2,2,5.0,,,1001264
64,4,4627,34,2.0,15.0,1.0,5,15,1,19.0,1.0,25000.0,1001264
99,1,4622,41,3.0,10.0,1.0,4,0,2,19.0,1.0,17000.0,1001264
99,2,4622,21,1.0,15.0,1.0,1,2,1,14.0,1.0,70000.0,1001264
99,3,4622,19,1.0,,,5,2,2,18.0,3.0,3000.0,1001264
99,4,4622,16,,,,5,2,1,13.0,6.0,0.0,1001264
99,5,4622,22,1.0,,,1,9,2,14.0,6.0,0.0,1001264
99,6,4622,5,,,,5,15,1,1.0,,,1001264
154,1,4634,81,2.0,,,2,0,2,21.0,6.0,24000.0,1001264
154,2,4634,57,1.0,90.0,1.0,2,2,2,21.0,1.0,90000.0,1001264
256,1,4802,63,,,,3,16,1,17.0,6.0,0.0,1001264
284,1,4701,53,3.0,10.0,1.0,5,0,1,24.0,1.0,72000.0,1001264
284,2,4701,40,2.0,,,5,13,1,20.0,6.0,0.0,1001264
285,1,4803,77,7.0,15.0,1.0,1,0,1,19.0,1.0,65000.0,1001264
318,1,4502,70,,,,3,0,1,22.0,6.0,77000.0,1001264
361,1,4606,83,,,,2,0,2,16.0,6.0,26600.0,1001264
372,1,4802,41,1.0,60.0,1.0,1,0,1,21.0,1.0,120000.0,1001264
372,2,4802,51,1.0,40.0,1.0,1,1,2,21.0,1.0,120000.0,1001264
372,3,4802,14,,,,5,2,2,13.0,,,1001264
372,4,4802,10,,,,5,2,2,9.0,,,1001264
388,1,4612,56,1.0,10.0,1.0,1,0,2,20.0,1.0,17000.0,1001264
388,2,4612,64,1.0,10.0,1.0,1,1,1,1.0,1.0,45000.0,1001264
388,3,4612,18,1.0,10.0,1.0,5,2,1,16.0,1.0,15000.0,1001264
388,4,4612,16,,,,5,2,2,14.0,6.0,0.0,1001264
438,1,4612,28,1.0,15.0,1.0,1,0,2,22.0,1.0,77000.0,1001264
438,2,4612,33,1.0,10.0,1.0,1,1,1,21.0,1.0,50000.0,1001264
459,1,5000,74,6.0,10.0,1.0,1,0,1,23.0,1.0,27600.0,1001264
459,2,5000,72,,,,1,1,2,22.0,6.0,24900.0,1001264
538,1,4601,59,1.0,,11.0,5,0,2,22.0,1.0,4500.0,1001264
637,1,4624,75,1.0,,11.0,1,0,1,21.0,1.0,70000.0,1001264
637,2,4624,74,,,,1,1,2,16.0,6.0,10000.0,1001264
804,1,4616,60,4.0,,,1,0,2,19.0,6.0,37080.0,1001264
804,2,4616,73,1.0,30.0,2.0,1,1,1,21.0,1.0,41700.0,1001264
804,3,4616,26,3.0,25.0,1.0,5,2,1,21.0,1.0,50000.0,1001264
1090,1,4616,27,,,,5,0,2,19.0,6.0,0.0,1001264
1090,2,4616,26,1.0,45.0,1.0,5,12,2,19.0,1.0,35000.0,1001264
1106,1,4803,34,,,,5,16,1,20.0,6.0,0.0,1001264
