,hh_type,workers,hh_size,hh_inc,vehicle,sample,total
0,Family households,No workers,1-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0
1,Family households,No workers,1-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0
2,Family households,No workers,1-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0
3,Family households,No workers,1-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0
4,Family households,No workers,1-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0
5,Family households,No workers,1-person household,"$15,000 to $24,999",No vehicle available,0.0,0.0
6,Family households,No workers,1-person household,"$15,000 to $24,999",1 vehicle available,0.0,0.0
7,Family households,No workers,1-person household,"$15,000 to $24,999",2 vehicles available,0.0,0.0
8,Family households,No workers,1-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.0
9,Family households,No workers,1-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0
10,Family households,No workers,1-person household,"$150,000 or more",No vehicle available,0.0,0.0
11,Family households,No workers,1-person household,"$150,000 or more",1 vehicle available,0.0,0.0
12,Family households,No workers,1-person household,"$150,000 or more",2 vehicles available,0.0,0.0
13,Family households,No workers,1-person household,"$150,000 or more",3 vehicles available,0.0,0.0
14,Family households,No workers,1-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0
15,Family households,No workers,1-person household,"$25,000 to $34,999",No vehicle available,0.0,0.0
16,Family households,No workers,1-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.0
17,Family households,No workers,1-person household,"$25,000 to $34,999",2 vehicles available,0.0,0.0
18,Family households,No workers,1-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0
19,Family households,No workers,1-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0
20,Family households,No workers,1-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0
21,Family households,No workers,1-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.0
22,Family households,No workers,1-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.0
23,Family households,No workers,1-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.0
24,Family households,No workers,1-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0
25,Family households,No workers,1-person household,"$45,000 to $59,999",No vehicle available,0.0,0.0
26,Family households,No workers,1-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.0
27,Family households,No workers,1-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.0
28,Family households,No workers,1-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.0
29,Family households,No workers,1-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0
30,Family households,No workers,1-person household,"$60,000 to $99,999",No vehicle available,0.0,0.0
31,Family households,No workers,1-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.0
32,Family households,No workers,1-person household,"$60,000 to $99,999",2 vehicles available,0.0,0.0
33,Family households,No workers,1-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.0
34,Family households,No workers,1-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.0
35,Family households,No workers,1-person household,"Less than $15,000",No vehicle available,0.0,0.0
36,Family households,No workers,1-person household,"Less than $15,000",1 vehicle available,0.0,0.0
37,Family households,No workers,1-person household,"Less than $15,000",2 vehicles available,0.0,0.0
38,Family households,No workers,1-person household,"Less than $15,000",3 vehicles available,0.0,0.0
39,Family households,No workers,1-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0
40,Family households,No workers,2-person household,"$100,000 to $149,999",No vehicle available,0.0,0.00589068848992
41,Family households,No workers,2-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0333213913878
42,Family households,No workers,2-person household,"$100,000 to $149,999",2 vehicles available,2.0,32.0972650969
43,Family households,No workers,2-person household,"$100,000 to $149,999",3 vehicles available,1.0,3.74777794552
44,Family households,No workers,2-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.00252403203611
45,Family households,No workers,2-person household,"$15,000 to $24,999",No vehicle available,0.0,0.00871620412326
46,Family households,No workers,2-person household,"$15,000 to $24,999",1 vehicle available,2.0,98.6085241152
47,Family households,No workers,2-person household,"$15,000 to $24,999",2 vehicles available,7.0,166.225408458
48,Family households,No workers,2-person household,"$15,000 to $24,999",3 vehicles available,1.0,5.54542947529
49,Family households,No workers,2-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0037347040975
50,Family households,No workers,2-person household,"$150,000 or more",No vehicle available,0.0,0.00592277978097
51,Family households,No workers,2-person household,"$150,000 or more",1 vehicle available,1.0,33.5029196542
52,Family households,No workers,2-person household,"$150,000 or more",2 vehicles available,2.0,32.2721245684
53,Family households,No workers,2-person household,"$150,000 or more",3 vehicles available,0.0,0.00376819508913
54,Family households,No workers,2-person household,"$150,000 or more",4 or more vehicles available,0.0,0.00253778245711
55,Family households,No workers,2-person household,"$25,000 to $34,999",No vehicle available,1.0,7.52399407616
56,Family households,No workers,2-person household,"$25,000 to $34,999",1 vehicle available,1.0,42.5603818365
57,Family households,No workers,2-person household,"$25,000 to $34,999",2 vehicles available,7.0,143.488951252
58,Family households,No workers,2-person household,"$25,000 to $34,999",3 vehicles available,3.0,14.3607622992
59,Family households,No workers,2-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.00322386799442
60,Family households,No workers,2-person household,"$35,000 to $44,999",No vehicle available,0.0,0.00689966508887
61,Family households,No workers,2-person household,"$35,000 to $44,999",1 vehicle available,1.0,39.028789464
62,Family households,No workers,2-person household,"$35,000 to $44,999",2 vehicles available,6.0,112.784972325
63,Family households,No workers,2-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.00438970974204
64,Family households,No workers,2-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.00295635658762
65,Family households,No workers,2-person household,"$45,000 to $59,999",No vehicle available,0.0,0.00772233824928
66,Family households,No workers,2-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.0436823396235
67,Family households,No workers,2-person household,"$45,000 to $59,999",2 vehicles available,6.0,126.232751084
68,Family households,No workers,2-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.00491311143476
69,Family households,No workers,2-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.00330885416335
70,Family households,No workers,2-person household,"$60,000 to $99,999",No vehicle available,0.0,0.00705641313613
71,Family households,No workers,2-person household,"$60,000 to $99,999",1 vehicle available,2.0,79.8309074755
72,Family households,No workers,2-person household,"$60,000 to $99,999",2 vehicles available,7.0,134.571785977
73,Family households,No workers,2-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.00448943609415
74,Family households,No workers,2-person household,"$60,000 to $99,999",4 or more vehicles available,1.0,3.02351972034
75,Family households,No workers,2-person household,"Less than $15,000",No vehicle available,2.0,17.7750775643
76,Family households,No workers,2-person household,"Less than $15,000",1 vehicle available,4.0,201.093749052
77,Family households,No workers,2-person household,"Less than $15,000",2 vehicles available,0.0,0.0242132722548
78,Family households,No workers,2-person household,"Less than $15,000",3 vehicles available,0.0,0.00565443613164
79,Family households,No workers,2-person household,"Less than $15,000",4 or more vehicles available,0.0,0.00380811727639
80,Family households,No workers,3-person household,"$100,000 to $149,999",No vehicle available,0.0,0.00206508146945
81,Family households,No workers,3-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0116813829163
82,Family households,No workers,3-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0056261222678
83,Family households,No workers,3-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.00131384757489
84,Family households,No workers,3-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.000884842543448
85,Family households,No workers,3-person household,"$15,000 to $24,999",No vehicle available,0.0,0.00305561423757
86,Family households,No workers,3-person household,"$15,000 to $24,999",1 vehicle available,1.0,17.2844512342
87,Family households,No workers,3-person household,"$15,000 to $24,999",2 vehicles available,0.0,0.00832473660632
88,Family households,No workers,3-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.00194404502448
89,Family households,No workers,3-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.00130926431415
90,Family households,No workers,3-person household,"$150,000 or more",No vehicle available,0.0,0.00207633161968
91,Family households,No workers,3-person household,"$150,000 or more",1 vehicle available,0.0,0.0117450207508
92,Family households,No workers,3-person household,"$150,000 or more",2 vehicles available,0.0,0.00565677225506
93,Family households,No workers,3-person household,"$150,000 or more",3 vehicles available,0.0,0.00132100515333
94,Family households,No workers,3-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0008896629884
95,Family households,No workers,3-person household,"$25,000 to $34,999",No vehicle available,0.0,0.00263766464133
96,Family households,No workers,3-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.01492026883
97,Family households,No workers,3-person household,"$25,000 to $34,999",2 vehicles available,0.0,0.00718607182964
98,Family households,No workers,3-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.00167813684043
99,Family households,No workers,3-person household,"$25,000 to $34,999",4 or more vehicles available,1.0,1.13018199258
100,Family households,No workers,3-person household,"$35,000 to $44,999",No vehicle available,0.0,0.00241879545062
101,Family households,No workers,3-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.0136822088004
102,Family households,No workers,3-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.00658978308958
103,Family households,No workers,3-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.00153888773105
104,Family households,No workers,3-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.00103640129955
105,Family households,No workers,3-person household,"$45,000 to $59,999",No vehicle available,0.0,0.00270719757915
106,Family households,No workers,3-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.0153135902965
107,Family households,No workers,3-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.00737550784735
108,Family households,No workers,3-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.0017223751347
109,Family households,No workers,3-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.00115997534576
110,Family households,No workers,3-person household,"$60,000 to $99,999",No vehicle available,0.0,0.00247374615601
111,Family households,No workers,3-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.0139930441067
112,Family households,No workers,3-person household,"$60,000 to $99,999",2 vehicles available,0.0,0.00673949117219
113,Family households,No workers,3-person household,"$60,000 to $99,999",3 vehicles available,1.0,1.57384850721
114,Family households,No workers,3-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.00105994648294
115,Family households,No workers,3-person household,"Less than $15,000",No vehicle available,0.0,0.00311567852882
116,Family households,No workers,3-person household,"Less than $15,000",1 vehicle available,3.0,52.8726364711
117,Family households,No workers,3-person household,"Less than $15,000",2 vehicles available,1.0,8.4883761777
118,Family households,No workers,3-person household,"Less than $15,000",3 vehicles available,1.0,1.98225916981
119,Family households,No workers,3-person household,"Less than $15,000",4 or more vehicles available,0.0,0.00133500055799
120,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0170514639671
121,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.096453666758
122,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0464551266102
123,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0108484943151
124,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.00730618184771
125,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",No vehicle available,0.0,0.0252303344154
126,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",1 vehicle available,1.0,142.718435941
127,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",2 vehicles available,0.0,0.0687376979446
128,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.0160520609843
129,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0108106501397
130,Family households,No workers,4-or-more-person household,"$150,000 or more",No vehicle available,0.0,0.0171443569276
131,Family households,No workers,4-or-more-person household,"$150,000 or more",1 vehicle available,0.0,0.0969791270159
132,Family households,No workers,4-or-more-person household,"$150,000 or more",2 vehicles available,0.0,0.0467082048355
133,Family households,No workers,4-or-more-person household,"$150,000 or more",3 vehicles available,0.0,0.0109075947392
134,Family households,No workers,4-or-more-person household,"$150,000 or more",4 or more vehicles available,0.0,0.00734598446306
135,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",No vehicle available,0.0,0.0217793071383
136,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.12319728306
137,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",2 vehicles available,0.0,0.0593356953131
138,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0138564459997
139,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.00933195992888
140,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0199720950869
141,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.112974569673
142,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.0544121142749
143,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.012706660286
144,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.00855760882855
145,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",No vehicle available,0.0,0.0223534435108
146,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.126444954841
147,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.0608998764254
148,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.0142217234436
149,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.00957796489074
150,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",No vehicle available,0.0,0.020425825357
151,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.115541149783
152,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",2 vehicles available,0.0,0.0556482601675
153,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.0129953328754
154,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.00875202239149
155,Family households,No workers,4-or-more-person household,"Less than $15,000",No vehicle available,1.0,25.7262877776
156,Family households,No workers,4-or-more-person household,"Less than $15,000",1 vehicle available,0.0,0.145523856075
157,Family households,No workers,4-or-more-person household,"Less than $15,000",2 vehicles available,0.0,0.0700888767219
158,Family households,No workers,4-or-more-person household,"Less than $15,000",3 vehicles available,0.0,0.0163675967788
159,Family households,No workers,4-or-more-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0110231553802
160,Family households,1 worker,1-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0
161,Family households,1 worker,1-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0
162,Family households,1 worker,1-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0
163,Family households,1 worker,1-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0
