,hh_inc,hh_size,hh_type,vehicle,workers,sample,total
0,"$100,000 to $149,999",1-person household,Family households,No vehicle available,No workers,0.0,0.0
1,"$100,000 to $149,999",1-person household,Family households,No vehicle available,1 worker,0.0,0.0
2,"$100,000 to $149,999",1-person household,Family households,No vehicle available,2 workers,0.0,0.0
3,"$100,000 to $149,999",1-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
4,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,No workers,0.0,0.0
5,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,1 worker,0.0,0.0
6,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,2 workers,0.0,0.0
7,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
8,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,No workers,0.0,0.0
9,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,1 worker,0.0,0.0
10,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,2 workers,0.0,0.0
11,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
12,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,No workers,0.0,0.0
13,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,1 worker,0.0,0.0
14,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,2 workers,0.0,0.0
15,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
16,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,No workers,0.0,0.0
17,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0
18,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0
19,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
20,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,No workers,0.0,229.030507803
21,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.0243829025816
22,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.0
23,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
24,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,No workers,0.0,560.466460535
25,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,1 worker,7.0,455.665240525
26,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.0
27,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
28,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,No workers,0.0,282.135784052
29,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,1 worker,3.0,171.245356474
30,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.0
31,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
32,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,No workers,0.0,123.979890338
33,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,1 worker,0.0,0.0441464976102
34,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.0
35,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
36,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,50.7197048479
37,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,0.0369937430455
38,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.0
39,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
40,"$100,000 to $149,999",2-person household,Family households,No vehicle available,No workers,0.0,0.0626096977758
41,"$100,000 to $149,999",2-person household,Family households,No vehicle available,1 worker,1.0,41.2049562499
42,"$100,000 to $149,999",2-person household,Family households,No vehicle available,2 workers,0.0,0.0241100264401
43,"$100,000 to $149,999",2-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
44,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,No workers,0.0,0.153213805638
45,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,1 worker,1.0,110.004870582
46,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,2 workers,3.0,265.579091296
47,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
48,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,No workers,4.0,308.508003422
49,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,1 worker,11.0,1061.09504911
50,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,2 workers,16.0,1803.33282168
51,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
52,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,No workers,0.0,0.033892181172
53,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,1 worker,9.0,671.433208934
54,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,2 workers,6.0,607.543812788
55,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
56,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,No workers,0.0,0.0138651633019
57,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0625161651123
58,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0792479657067
59,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
60,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,No workers,0.0,26.0977537106
61,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,1 worker,0.0,17.1755628611
62,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,2 workers,0.0,10.0498413878
63,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
64,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,No workers,0.0,63.8644859605
65,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,1 worker,0.0,45.8535997044
66,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,2 workers,0.0,36.9006610879
67,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
68,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,No workers,0.0,32.1490367191
69,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,1 worker,0.0,40.208986262
70,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,2 workers,0.0,46.9804773763
71,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
72,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,No workers,0.0,14.12736091
73,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,1 worker,0.0,31.0972388239
74,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,2 workers,0.0,42.2073293163
75,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
76,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,5.77944998723
77,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,26.0587662613
78,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,33.0331236941
79,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
80,"$100,000 to $149,999",3-person household,Family households,No vehicle available,No workers,0.0,0.0522988694968
81,"$100,000 to $149,999",3-person household,Family households,No vehicle available,1 worker,0.0,0.057052557425
82,"$100,000 to $149,999",3-person household,Family households,No vehicle available,2 workers,0.0,0.0257415264078
83,"$100,000 to $149,999",3-person household,Family households,No vehicle available,3 or more workers,0.0,0.236831737039
84,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,No workers,0.0,0.127981911921
85,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,1 worker,1.0,152.31321101
86,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,2 workers,1.0,94.5168490923
87,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,3 or more workers,0.0,0.520312149554
88,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,No workers,0.0,0.0644254020658
89,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,1 worker,4.0,534.253349661
90,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,2 workers,17.0,2045.69759762
91,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,3 or more workers,1.0,84.4078684176
92,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,No workers,1.0,28.3106742733
93,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,1 worker,4.0,413.186343436
94,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,2 workers,10.0,1081.09276581
95,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,3 or more workers,7.0,601.486727336
96,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,No workers,0.0,0.0115817899118
97,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,1 worker,2.0,173.120295453
98,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,2 workers,2.0,169.221183318
99,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,3 or more workers,1.0,115.272397493
100,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,No workers,0.0,0.779140027942
101,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.84995969538
102,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.383493062041
103,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,3.5282805917
104,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,No workers,0.0,1.90665365026
105,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,1 worker,0.0,2.2691373757
106,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,2 workers,0.0,1.4080966023
107,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,7.75152554238
108,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,No workers,0.0,0.959799132346
109,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,1 worker,0.0,1.98980481695
110,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,2 workers,0.0,1.79273348005
111,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,1.25749465696
112,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,No workers,0.0,0.421767807919
113,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,1 worker,0.0,1.5388956887
114,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,2 workers,0.0,1.61059437014
115,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,1.28012159468
116,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.172543617143
117,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,1.28955896308
118,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,1.26051479474
119,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,1.7173093772
120,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,No workers,0.0,0.0535588460001
121,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,1 worker,1.0,67.8530165003
122,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,2 workers,1.0,36.1563413691
123,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,3 or more workers,0.0,0.240971600819
124,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,No workers,0.0,0.131065232907
125,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,1 worker,0.0,0.18114719631
126,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,2 workers,0.0,0.132757607563
127,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,3 or more workers,0.0,0.52940730483
128,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,No workers,1.0,65.9775291691
129,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,1 worker,6.0,953.087021493
130,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,2 workers,15.0,2535.32684569
131,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0858833340019
132,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,No workers,0.0,0.0289927307827
133,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,1 worker,2.0,245.702743612
134,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,2 workers,7.0,1062.94595477
135,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,3 or more workers,8.0,699.429519612
136,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,No workers,0.0,0.0118608166536
137,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,1 worker,2.0,205.893211349
138,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,2 workers,2.0,237.686715775
139,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,3 or more workers,5.0,586.436904561
140,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,No workers,0.0,0.852082330485
141,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,1 worker,0.0,1.07949219873
142,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.57522112436
143,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,3.83368310823
144,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,No workers,0.0,2.08515263942
145,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,1 worker,0.0,2.88192029366
146,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,2 workers,0.0,2.11207709071
147,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,8.42248561656
148,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,No workers,0.0,1.04965455779
149,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,1 worker,0.0,2.52715368571
