,hh_type,workers,hh_size,hh_inc,vehicle,sample,total
0,Family households,No workers,1-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0
1,Family households,No workers,1-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0
2,Family households,No workers,1-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0
3,Family households,No workers,1-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0
4,Family households,No workers,1-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0
5,Family households,No workers,1-person household,"$15,000 to $24,999",No vehicle available,0.0,0.0
6,Family households,No workers,1-person household,"$15,000 to $24,999",1 vehicle available,0.0,0.0
7,Family households,No workers,1-person household,"$15,000 to $24,999",2 vehicles available,0.0,0.0
8,Family households,No workers,1-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.0
9,Family households,No workers,1-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0
10,Family households,No workers,1-person household,"$150,000 or more",No vehicle available,0.0,0.0
11,Family households,No workers,1-person household,"$150,000 or more",1 vehicle available,0.0,0.0
12,Family households,No workers,1-person household,"$150,000 or more",2 vehicles available,0.0,0.0
13,Family households,No workers,1-person household,"$150,000 or more",3 vehicles available,0.0,0.0
14,Family households,No workers,1-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0
15,Family households,No workers,1-person household,"$25,000 to $34,999",No vehicle available,0.0,0.0
16,Family households,No workers,1-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.0
17,Family households,No workers,1-person household,"$25,000 to $34,999",2 vehicles available,0.0,0.0
18,Family households,No workers,1-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0
19,Family households,No workers,1-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0
20,Family households,No workers,1-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0
21,Family households,No workers,1-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.0
22,Family households,No workers,1-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.0
23,Family households,No workers,1-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.0
24,Family households,No workers,1-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0
25,Family households,No workers,1-person household,"$45,000 to $59,999",No vehicle available,0.0,0.0
26,Family households,No workers,1-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.0
27,Family households,No workers,1-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.0
28,Family households,No workers,1-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.0
29,Family households,No workers,1-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0
30,Family households,No workers,1-person household,"$60,000 to $99,999",No vehicle available,0.0,0.0
31,Family households,No workers,1-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.0
32,Family households,No workers,1-person household,"$60,000 to $99,999",2 vehicles available,0.0,0.0
33,Family households,No workers,1-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.0
34,Family households,No workers,1-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.0
35,Family households,No workers,1-person household,"Less than $15,000",No vehicle available,0.0,0.0
36,Family households,No workers,1-person household,"Less than $15,000",1 vehicle available,0.0,0.0
37,Family households,No workers,1-person household,"Less than $15,000",2 vehicles available,0.0,0.0
38,Family households,No workers,1-person household,"Less than $15,000",3 vehicles available,0.0,0.0
39,Family households,No workers,1-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0
40,Family households,No workers,2-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0114978993617
41,Family households,No workers,2-person household,"$100,000 to $149,999",1 vehicle available,2.0,84.2488805117
42,Family households,No workers,2-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0273313983227
43,Family households,No workers,2-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0100050525244
44,Family households,No workers,2-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0077778341205
45,Family households,No workers,2-person household,"$15,000 to $24,999",No vehicle available,0.0,0.00699296736049
46,Family households,No workers,2-person household,"$15,000 to $24,999",1 vehicle available,4.0,102.47953179
47,Family households,No workers,2-person household,"$15,000 to $24,999",2 vehicles available,1.0,16.6228256463
48,Family households,No workers,2-person household,"$15,000 to $24,999",3 vehicles available,1.0,6.08502505913
49,Family households,No workers,2-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0047304414858
50,Family households,No workers,2-person household,"$150,000 or more",No vehicle available,0.0,0.0200870757208
51,Family households,No workers,2-person household,"$150,000 or more",1 vehicle available,0.0,0.0735922966882
52,Family households,No workers,2-person household,"$150,000 or more",2 vehicles available,0.0,0.0477485365278
53,Family households,No workers,2-person household,"$150,000 or more",3 vehicles available,0.0,0.0174790404166
54,Family households,No workers,2-person household,"$150,000 or more",4 or more vehicles available,0.0,0.013588042303
55,Family households,No workers,2-person household,"$25,000 to $34,999",No vehicle available,1.0,10.911223682
56,Family households,No workers,2-person household,"$25,000 to $34,999",1 vehicle available,4.0,159.900230695
57,Family households,No workers,2-person household,"$25,000 to $34,999",2 vehicles available,3.0,77.8104742249
58,Family households,No workers,2-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.00949454875277
59,Family households,No workers,2-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.00738097327005
60,Family households,No workers,2-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0109875805758
61,Family households,No workers,2-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.0402548036786
62,Family households,No workers,2-person household,"$35,000 to $44,999",2 vehicles available,4.0,104.473323995
63,Family households,No workers,2-person household,"$35,000 to $44,999",3 vehicles available,1.0,9.56099173585
64,Family households,No workers,2-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.00743262542277
65,Family households,No workers,2-person household,"$45,000 to $59,999",No vehicle available,0.0,0.00740139856529
66,Family households,No workers,2-person household,"$45,000 to $59,999",1 vehicle available,3.0,81.3487129778
67,Family households,No workers,2-person household,"$45,000 to $59,999",2 vehicles available,5.0,87.9684914478
68,Family households,No workers,2-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.00644042699196
69,Family households,No workers,2-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.00500672761952
70,Family households,No workers,2-person household,"$60,000 to $99,999",No vehicle available,0.0,0.00972403717275
71,Family households,No workers,2-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.0356256051688
72,Family households,No workers,2-person household,"$60,000 to $99,999",2 vehicles available,4.0,92.4591614218
73,Family households,No workers,2-person household,"$60,000 to $99,999",3 vehicles available,1.0,8.46150236685
74,Family households,No workers,2-person household,"$60,000 to $99,999",4 or more vehicles available,1.0,6.57789268563
75,Family households,No workers,2-person household,"Less than $15,000",No vehicle available,1.0,14.4579366723
76,Family households,No workers,2-person household,"Less than $15,000",1 vehicle available,5.0,264.845112319
77,Family households,No workers,2-person household,"Less than $15,000",2 vehicles available,2.0,68.735273059
78,Family households,No workers,2-person household,"Less than $15,000",3 vehicles available,0.0,0.0125807689953
79,Family households,No workers,2-person household,"Less than $15,000",4 or more vehicles available,0.0,0.00978017197965
80,Family households,No workers,3-person household,"$100,000 to $149,999",No vehicle available,0.0,0.00901380213754
81,Family households,No workers,3-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0330235426209
82,Family households,No workers,3-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0214265066056
83,Family households,No workers,3-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.00784348175209
84,Family households,No workers,3-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.00609744924839
85,Family households,No workers,3-person household,"$15,000 to $24,999",No vehicle available,0.0,0.00548215131817
86,Family households,No workers,3-person household,"$15,000 to $24,999",1 vehicle available,1.0,20.0847605647
87,Family households,No workers,3-person household,"$15,000 to $24,999",2 vehicles available,3.0,39.0944962977
88,Family households,No workers,3-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.00477036806113
89,Family households,No workers,3-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.00370843944924
90,Family households,No workers,3-person household,"$150,000 or more",No vehicle available,0.0,0.0157473048227
91,Family households,No workers,3-person household,"$150,000 or more",1 vehicle available,0.0,0.0576928341716
92,Family households,No workers,3-person household,"$150,000 or more",2 vehicles available,0.0,0.0374325645999
93,Family households,No workers,3-person household,"$150,000 or more",3 vehicles available,0.0,0.0137027301173
94,Family households,No workers,3-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0106523740471
95,Family households,No workers,3-person household,"$25,000 to $34,999",No vehicle available,0.0,0.00855387651729
96,Family households,No workers,3-person household,"$25,000 to $34,999",1 vehicle available,1.0,31.3385296718
97,Family households,No workers,3-person household,"$25,000 to $34,999",2 vehicles available,1.0,20.3332277439
98,Family households,No workers,3-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.00744327125771
99,Family households,No workers,3-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.00578632935861
100,Family households,No workers,3-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0086137366631
101,Family households,No workers,3-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.0315578371345
102,Family households,No workers,3-person household,"$35,000 to $44,999",2 vehicles available,1.0,20.475519952
103,Family households,No workers,3-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.00749535937259
104,Family households,No workers,3-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.00582682217124
105,Family households,No workers,3-person household,"$45,000 to $59,999",No vehicle available,0.0,0.00580234181132
106,Family households,No workers,3-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.0212578309556
107,Family households,No workers,3-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.0137926163955
108,Family households,No workers,3-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.00504898614614
109,Family households,No workers,3-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.00392503453886
110,Family households,No workers,3-person household,"$60,000 to $99,999",No vehicle available,0.0,0.00762317918223
111,Family households,No workers,3-person household,"$60,000 to $99,999",1 vehicle available,1.0,27.928767327
112,Family households,No workers,3-person household,"$60,000 to $99,999",2 vehicles available,0.0,0.0181208880128
113,Family households,No workers,3-person household,"$60,000 to $99,999",3 vehicles available,1.0,6.63341239317
114,Family households,No workers,3-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.00515675266283
115,Family households,No workers,3-person household,"Less than $15,000",No vehicle available,1.0,11.3343295485
116,Family households,No workers,3-person household,"Less than $15,000",1 vehicle available,2.0,83.0503508318
117,Family households,No workers,3-person household,"Less than $15,000",2 vehicles available,1.0,26.9425801938
118,Family households,No workers,3-person household,"Less than $15,000",3 vehicles available,0.0,0.00986272004085
119,Family households,No workers,3-person household,"Less than $15,000",4 or more vehicles available,0.0,0.00766718618094
120,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0166420025809
121,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0609707061618
122,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0395593305455
123,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0144812634635
124,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0112575985783
125,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",No vehicle available,0.0,0.0101215863177
126,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",1 vehicle available,0.0,0.0370820916695
127,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",2 vehicles available,1.0,24.0597954988
128,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",3 vehicles available,1.0,8.80743512826
129,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.00684681757418
130,Family households,No workers,4-or-more-person household,"$150,000 or more",No vehicle available,0.0,0.0290739338964
131,Family households,No workers,4-or-more-person household,"$150,000 or more",1 vehicle available,0.0,0.106517125685
132,Family households,No workers,4-or-more-person household,"$150,000 or more",2 vehicles available,0.0,0.0691109952467
133,Family households,No workers,4-or-more-person household,"$150,000 or more",3 vehicles available,0.0,0.025299076516
134,Family households,No workers,4-or-more-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0196672651207
135,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",No vehicle available,0.0,0.0157928511083
136,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.0578597004596
137,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",2 vehicles available,0.0,0.0375408316523
138,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0137423628333
139,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0106831841492
140,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0159033696981
141,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.0582646034412
142,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",2 vehicles available,1.0,37.8035429098
143,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.0138385320779
144,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0107579452192
145,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",No vehicle available,0.0,0.0107127476204
146,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.039247908067
147,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.0254650317535
148,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.00932184212534
149,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.00724671275554
150,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",No vehicle available,0.0,0.0140745232356
151,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",1 vehicle available,1.0,51.564324449
152,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",2 vehicles available,0.0,0.0334562330608
153,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.0122471366115
154,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.00952080928943
155,Family households,No workers,4-or-more-person household,"Less than $15,000",No vehicle available,0.0,0.0209263459217
156,Family households,No workers,4-or-more-person household,"Less than $15,000",1 vehicle available,1.0,76.6671007307
157,Family households,No workers,4-or-more-person household,"Less than $15,000",2 vehicles available,1.0,49.7435468718
158,Family households,No workers,4-or-more-person household,"Less than $15,000",3 vehicles available,0.0,0.0182093427247
159,Family households,No workers,4-or-more-person household,"Less than $15,000",4 or more vehicles available,0.0,0.014155772477
160,Family households,1 worker,1-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0
161,Family households,1 worker,1-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0
162,Family households,1 worker,1-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0
163,Family households,1 worker,1-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0
