,hh_type,workers,hh_size,hh_inc,vehicle,sample,total
0,Family households,No workers,1-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0
1,Family households,No workers,1-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0
2,Family households,No workers,1-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0
3,Family households,No workers,1-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0
4,Family households,No workers,1-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0
5,Family households,No workers,1-person household,"$15,000 to $24,999",No vehicle available,0.0,0.0
6,Family households,No workers,1-person household,"$15,000 to $24,999",1 vehicle available,0.0,0.0
7,Family households,No workers,1-person household,"$15,000 to $24,999",2 vehicles available,0.0,0.0
8,Family households,No workers,1-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.0
9,Family households,No workers,1-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0
10,Family households,No workers,1-person household,"$150,000 or more",No vehicle available,0.0,0.0
11,Family households,No workers,1-person household,"$150,000 or more",1 vehicle available,0.0,0.0
12,Family households,No workers,1-person household,"$150,000 or more",2 vehicles available,0.0,0.0
13,Family households,No workers,1-person household,"$150,000 or more",3 vehicles available,0.0,0.0
14,Family households,No workers,1-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0
15,Family households,No workers,1-person household,"$25,000 to $34,999",No vehicle available,0.0,0.0
16,Family households,No workers,1-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.0
17,Family households,No workers,1-person household,"$25,000 to $34,999",2 vehicles available,0.0,0.0
18,Family households,No workers,1-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0
19,Family households,No workers,1-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0
20,Family households,No workers,1-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0
21,Family households,No workers,1-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.0
22,Family households,No workers,1-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.0
23,Family households,No workers,1-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.0
24,Family households,No workers,1-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0
25,Family households,No workers,1-person household,"$45,000 to $59,999",No vehicle available,0.0,0.0
26,Family households,No workers,1-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.0
27,Family households,No workers,1-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.0
28,Family households,No workers,1-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.0
29,Family households,No workers,1-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0
30,Family households,No workers,1-person household,"$60,000 to $99,999",No vehicle available,0.0,0.0
31,Family households,No workers,1-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.0
32,Family households,No workers,1-person household,"$60,000 to $99,999",2 vehicles available,0.0,0.0
33,Family households,No workers,1-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.0
34,Family households,No workers,1-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.0
35,Family households,No workers,1-person household,"Less than $15,000",No vehicle available,0.0,0.0
36,Family households,No workers,1-person household,"Less than $15,000",1 vehicle available,0.0,0.0
37,Family households,No workers,1-person household,"Less than $15,000",2 vehicles available,0.0,0.0
38,Family households,No workers,1-person household,"Less than $15,000",3 vehicles available,0.0,0.0
39,Family households,No workers,1-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0
40,Family households,No workers,2-person household,"$100,000 to $149,999",No vehicle available,0.0,0.076841511208
41,Family households,No workers,2-person household,"$100,000 to $149,999",1 vehicle available,1.0,188.237216
42,Family households,No workers,2-person household,"$100,000 to $149,999",2 vehicles available,6.0,550.017995923
43,Family households,No workers,2-person household,"$100,000 to $149,999",3 vehicles available,2.0,97.6578176209
44,Family households,No workers,2-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0152963013996
45,Family households,No workers,2-person household,"$15,000 to $24,999",No vehicle available,0.0,0.0783664364823
46,Family households,No workers,2-person household,"$15,000 to $24,999",1 vehicle available,3.0,575.918390961
47,Family households,No workers,2-person household,"$15,000 to $24,999",2 vehicles available,3.0,280.466571155
48,Family households,No workers,2-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.0497979219909
49,Family households,No workers,2-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0155998575927
50,Family households,No workers,2-person household,"$150,000 or more",No vehicle available,0.0,0.0627164495914
51,Family households,No workers,2-person household,"$150,000 or more",1 vehicle available,1.0,153.635316158
52,Family households,No workers,2-person household,"$150,000 or more",2 vehicles available,10.0,748.188823407
53,Family households,No workers,2-person household,"$150,000 or more",3 vehicles available,0.0,0.0398531438265
54,Family households,No workers,2-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0124845243227
55,Family households,No workers,2-person household,"$25,000 to $34,999",No vehicle available,0.0,0.0701946665165
56,Family households,No workers,2-person household,"$25,000 to $34,999",1 vehicle available,4.0,687.81825841
57,Family households,No workers,2-person household,"$25,000 to $34,999",2 vehicles available,6.0,502.441052954
58,Family households,No workers,2-person household,"$25,000 to $34,999",3 vehicles available,1.0,44.6051739019
59,Family households,No workers,2-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0139731605848
60,Family households,No workers,2-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0745069179155
61,Family households,No workers,2-person household,"$35,000 to $44,999",1 vehicle available,3.0,547.55461914
62,Family households,No workers,2-person household,"$35,000 to $44,999",2 vehicles available,5.0,444.422823789
63,Family households,No workers,2-person household,"$35,000 to $44,999",3 vehicles available,1.0,47.3453923986
64,Family households,No workers,2-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0148315702656
65,Family households,No workers,2-person household,"$45,000 to $59,999",No vehicle available,0.0,0.0742390959695
66,Family households,No workers,2-person household,"$45,000 to $59,999",1 vehicle available,5.0,909.310639783
67,Family households,No workers,2-person household,"$45,000 to $59,999",2 vehicles available,9.0,797.085549381
68,Family households,No workers,2-person household,"$45,000 to $59,999",3 vehicles available,1.0,47.1752050458
69,Family households,No workers,2-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0147782568267
70,Family households,No workers,2-person household,"$60,000 to $99,999",No vehicle available,0.0,0.0897190182523
71,Family households,No workers,2-person household,"$60,000 to $99,999",1 vehicle available,6.0,1318.69802813
72,Family households,No workers,2-person household,"$60,000 to $99,999",2 vehicles available,13.0,1391.41799772
73,Family households,No workers,2-person household,"$60,000 to $99,999",3 vehicles available,2.0,114.02383144
74,Family households,No workers,2-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.0178597365264
75,Family households,No workers,2-person household,"Less than $15,000",No vehicle available,1.0,69.4734127899
76,Family households,No workers,2-person household,"Less than $15,000",1 vehicle available,4.0,680.750891233
77,Family households,No workers,2-person household,"Less than $15,000",2 vehicles available,5.0,414.398704901
78,Family households,No workers,2-person household,"Less than $15,000",3 vehicles available,1.0,44.1468534981
79,Family households,No workers,2-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0138295856574
80,Family households,No workers,3-person household,"$100,000 to $149,999",No vehicle available,0.0,0.100195491153
81,Family households,No workers,3-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.245447024843
82,Family households,No workers,3-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.119530278141
83,Family households,No workers,3-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0636691864049
84,Family households,No workers,3-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0199452146043
85,Family households,No workers,3-person household,"$15,000 to $24,999",No vehicle available,0.0,0.102183877826
86,Family households,No workers,3-person household,"$15,000 to $24,999",1 vehicle available,0.0,0.25031793857
87,Family households,No workers,3-person household,"$15,000 to $24,999",2 vehicles available,1.0,121.902365042
88,Family households,No workers,3-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.0649327059534
89,Family households,No workers,3-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0203410288117
90,Family households,No workers,3-person household,"$150,000 or more",No vehicle available,0.0,0.0817774842192
91,Family households,No workers,3-person household,"$150,000 or more",1 vehicle available,1.0,200.328776972
92,Family households,No workers,3-person household,"$150,000 or more",2 vehicles available,0.0,0.097558136817
93,Family households,No workers,3-person household,"$150,000 or more",3 vehicles available,0.0,0.0519654709664
94,Family households,No workers,3-person household,"$150,000 or more",4 or more vehicles available,0.0,0.016278870973
95,Family households,No workers,3-person household,"$25,000 to $34,999",No vehicle available,0.0,0.091528510793
96,Family households,No workers,3-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.224215684797
97,Family households,No workers,3-person household,"$25,000 to $34,999",2 vehicles available,1.0,109.190825126
98,Family households,No workers,3-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0581617570609
99,Family households,No workers,3-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0182199395319
100,Family households,No workers,3-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0971513589139
101,Family households,No workers,3-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.237989870906
102,Family households,No workers,3-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.115898717787
103,Family households,No workers,3-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.0617347937416
104,Family households,No workers,3-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0193392405221
105,Family households,No workers,3-person household,"$45,000 to $59,999",No vehicle available,0.0,0.096802139449
106,Family households,No workers,3-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.2371343945
107,Family households,No workers,3-person household,"$45,000 to $59,999",2 vehicles available,2.0,230.964218445
108,Family households,No workers,3-person household,"$45,000 to $59,999",3 vehicles available,1.0,61.5128823666
109,Family households,No workers,3-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0192697238493
110,Family households,No workers,3-person household,"$60,000 to $99,999",No vehicle available,0.0,0.116986781731
111,Family households,No workers,3-person household,"$60,000 to $99,999",1 vehicle available,1.0,286.580336015
112,Family households,No workers,3-person household,"$60,000 to $99,999",2 vehicles available,1.0,139.561794629
113,Family households,No workers,3-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.0743392055592
114,Family households,No workers,3-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.023287739205
115,Family households,No workers,3-person household,"Less than $15,000",No vehicle available,1.0,90.5880507442
116,Family households,No workers,3-person household,"Less than $15,000",1 vehicle available,3.0,665.735572099
117,Family households,No workers,3-person household,"Less than $15,000",2 vehicles available,1.0,108.068883909
118,Family households,No workers,3-person household,"Less than $15,000",3 vehicles available,0.0,0.0575641420837
119,Family households,No workers,3-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0180327287375
120,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",No vehicle available,0.0,0.311534394015
121,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.763159991206
122,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.371651382097
123,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.19796441113
124,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0620149696732
125,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",No vehicle available,0.0,0.317716816299
126,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",1 vehicle available,0.0,0.778304955701
127,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",2 vehicles available,1.0,379.026830301
128,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.201893028999
129,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0632456611725
130,Family households,No workers,4-or-more-person household,"$150,000 or more",No vehicle available,0.0,0.254267918617
131,Family households,No workers,4-or-more-person household,"$150,000 or more",1 vehicle available,0.0,0.622875375123
132,Family households,No workers,4-or-more-person household,"$150,000 or more",2 vehicles available,0.0,0.3033341589
133,Family households,No workers,4-or-more-person household,"$150,000 or more",3 vehicles available,0.0,0.161574451314
134,Family households,No workers,4-or-more-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0506153335389
135,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",No vehicle available,0.0,0.284586450117
136,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",1 vehicle available,1.0,697.146115938
137,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",2 vehicles available,1.0,339.503276505
138,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.180840350521
139,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0566506312384
140,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",No vehicle available,0.0,0.302069378359
141,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.739973718988
142,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.360359896413
143,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.191949870564
144,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0601308353042
145,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",No vehicle available,0.0,0.300983562289
146,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.737313815626
147,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.359064549733
148,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.191259889159
149,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0599146895049
150,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",No vehicle available,0.0,0.363742976204
151,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.891054380686
152,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",2 vehicles available,1.0,433.93468725
153,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.231140334649
154,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",4 or more vehicles available,1.0,72.4077664345
155,Family households,No workers,4-or-more-person household,"Less than $15,000",No vehicle available,1.0,281.662310038
156,Family households,No workers,4-or-more-person household,"Less than $15,000",1 vehicle available,0.0,0.689982904557
157,Family households,No workers,4-or-more-person household,"Less than $15,000",2 vehicles available,0.0,0.336014863275
158,Family households,No workers,4-or-more-person household,"Less than $15,000",3 vehicles available,0.0,0.17898220683
159,Family households,No workers,4-or-more-person household,"Less than $15,000",4 or more vehicles available,0.0,0.056068543155
160,Family households,1 worker,1-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0
161,Family households,1 worker,1-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0
162,Family households,1 worker,1-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0
163,Family households,1 worker,1-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0
164,Family households,1 worker,1-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0
165,Family households,1 worker,1-person household,"$15,000 to $24,999",No vehicle available,0.0,0.0
