,hh_type,workers,hh_size,hh_inc,vehicle,sample,total
0,Family households,No workers,1-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0
1,Family households,No workers,1-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0
2,Family households,No workers,1-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0
3,Family households,No workers,1-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0
4,Family households,No workers,1-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0
5,Family households,No workers,1-person household,"$15,000 to $24,999",No vehicle available,0.0,0.0
6,Family households,No workers,1-person household,"$15,000 to $24,999",1 vehicle available,0.0,0.0
7,Family households,No workers,1-person household,"$15,000 to $24,999",2 vehicles available,0.0,0.0
8,Family households,No workers,1-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.0
9,Family households,No workers,1-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0
10,Family households,No workers,1-person household,"$150,000 or more",No vehicle available,0.0,0.0
11,Family households,No workers,1-person household,"$150,000 or more",1 vehicle available,0.0,0.0
12,Family households,No workers,1-person household,"$150,000 or more",2 vehicles available,0.0,0.0
13,Family households,No workers,1-person household,"$150,000 or more",3 vehicles available,0.0,0.0
14,Family households,No workers,1-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0
15,Family households,No workers,1-person household,"$25,000 to $34,999",No vehicle available,0.0,0.0
16,Family households,No workers,1-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.0
17,Family households,No workers,1-person household,"$25,000 to $34,999",2 vehicles available,0.0,0.0
18,Family households,No workers,1-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0
19,Family households,No workers,1-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0
20,Family households,No workers,1-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0
21,Family households,No workers,1-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.0
22,Family households,No workers,1-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.0
23,Family households,No workers,1-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.0
24,Family households,No workers,1-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0
25,Family households,No workers,1-person household,"$45,000 to $59,999",No vehicle available,0.0,0.0
26,Family households,No workers,1-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.0
27,Family households,No workers,1-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.0
28,Family households,No workers,1-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.0
29,Family households,No workers,1-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0
30,Family households,No workers,1-person household,"$60,000 to $99,999",No vehicle available,0.0,0.0
31,Family households,No workers,1-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.0
32,Family households,No workers,1-person household,"$60,000 to $99,999",2 vehicles available,0.0,0.0
33,Family households,No workers,1-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.0
34,Family households,No workers,1-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.0
35,Family households,No workers,1-person household,"Less than $15,000",No vehicle available,0.0,0.0
36,Family households,No workers,1-person household,"Less than $15,000",1 vehicle available,0.0,0.0
37,Family households,No workers,1-person household,"Less than $15,000",2 vehicles available,0.0,0.0
38,Family households,No workers,1-person household,"Less than $15,000",3 vehicles available,0.0,0.0
39,Family households,No workers,1-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0
40,Family households,No workers,2-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0596178563031
41,Family households,No workers,2-person household,"$100,000 to $149,999",1 vehicle available,1.0,113.080295531
42,Family households,No workers,2-person household,"$100,000 to $149,999",2 vehicles available,3.0,181.703950856
43,Family households,No workers,2-person household,"$100,000 to $149,999",3 vehicles available,3.0,55.3615910309
44,Family households,No workers,2-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.00555891410605
45,Family households,No workers,2-person household,"$15,000 to $24,999",No vehicle available,4.0,230.44775328
46,Family households,No workers,2-person household,"$15,000 to $24,999",1 vehicle available,9.0,983.480097031
47,Family households,No workers,2-person household,"$15,000 to $24,999",2 vehicles available,5.0,292.650487017
48,Family households,No workers,2-person household,"$15,000 to $24,999",3 vehicles available,1.0,17.832960154
49,Family households,No workers,2-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.00537187742839
50,Family households,No workers,2-person household,"$150,000 or more",No vehicle available,0.0,0.053067780469
51,Family households,No workers,2-person household,"$150,000 or more",1 vehicle available,1.0,100.656425284
52,Family households,No workers,2-person household,"$150,000 or more",2 vehicles available,4.0,215.654077986
53,Family households,No workers,2-person household,"$150,000 or more",3 vehicles available,1.0,16.4263804025
54,Family households,No workers,2-person household,"$150,000 or more",4 or more vehicles available,1.0,4.94816908421
55,Family households,No workers,2-person household,"$25,000 to $34,999",No vehicle available,1.0,67.9831078603
56,Family households,No workers,2-person household,"$25,000 to $34,999",1 vehicle available,8.0,1031.57683347
57,Family households,No workers,2-person household,"$25,000 to $34,999",2 vehicles available,2.0,138.13310369
58,Family households,No workers,2-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0210432089073
59,Family households,No workers,2-person household,"$25,000 to $34,999",4 or more vehicles available,2.0,12.6778210654
60,Family households,No workers,2-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0534652163558
61,Family households,No workers,2-person household,"$35,000 to $44,999",1 vehicle available,4.0,405.641050586
62,Family households,No workers,2-person household,"$35,000 to $44,999",2 vehicles available,8.0,434.53831442
63,Family households,No workers,2-person household,"$35,000 to $44,999",3 vehicles available,1.0,16.5494010565
64,Family households,No workers,2-person household,"$35,000 to $44,999",4 or more vehicles available,1.0,4.98522697415
65,Family households,No workers,2-person household,"$45,000 to $59,999",No vehicle available,1.0,64.8524857769
66,Family households,No workers,2-person household,"$45,000 to $59,999",1 vehicle available,8.0,984.072720797
67,Family households,No workers,2-person household,"$45,000 to $59,999",2 vehicles available,8.0,527.088297331
68,Family households,No workers,2-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.0200741691475
69,Family households,No workers,2-person household,"$45,000 to $59,999",4 or more vehicles available,1.0,6.04700370581
70,Family households,No workers,2-person household,"$60,000 to $99,999",No vehicle available,0.0,0.0652219160525
71,Family households,No workers,2-person household,"$60,000 to $99,999",1 vehicle available,1.0,123.709807759
72,Family households,No workers,2-person household,"$60,000 to $99,999",2 vehicles available,16.0,1060.18168059
73,Family households,No workers,2-person household,"$60,000 to $99,999",3 vehicles available,1.0,20.1885210609
74,Family households,No workers,2-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.00608145028436
75,Family households,No workers,2-person household,"Less than $15,000",No vehicle available,5.0,365.235288342
76,Family households,No workers,2-person household,"Less than $15,000",1 vehicle available,5.0,692.760808673
77,Family households,No workers,2-person household,"Less than $15,000",2 vehicles available,5.0,371.05602806
78,Family households,No workers,2-person household,"Less than $15,000",3 vehicles available,0.0,0.0226106829028
79,Family households,No workers,2-person household,"Less than $15,000",4 or more vehicles available,0.0,0.00681108554481
80,Family households,No workers,3-person household,"$100,000 to $149,999",No vehicle available,0.0,0.119502509021
81,Family households,No workers,3-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.226666637726
82,Family households,No workers,3-person household,"$100,000 to $149,999",2 vehicles available,1.0,121.407015575
83,Family households,No workers,3-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0369903104081
84,Family households,No workers,3-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0111427049595
85,Family households,No workers,3-person household,"$15,000 to $24,999",No vehicle available,0.0,0.115481696352
86,Family households,No workers,3-person household,"$15,000 to $24,999",1 vehicle available,0.0,0.219040152761
87,Family households,No workers,3-person household,"$15,000 to $24,999",2 vehicles available,1.0,117.322123381
88,Family households,No workers,3-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.0357457247512
89,Family households,No workers,3-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0107677945946
90,Family households,No workers,3-person household,"$150,000 or more",No vehicle available,0.0,0.106373045048
91,Family households,No workers,3-person household,"$150,000 or more",1 vehicle available,0.0,0.201763299059
92,Family households,No workers,3-person household,"$150,000 or more",2 vehicles available,0.0,0.108068307877
93,Family households,No workers,3-person household,"$150,000 or more",3 vehicles available,0.0,0.0329262706502
94,Family households,No workers,3-person household,"$150,000 or more",4 or more vehicles available,0.0,0.00991848176518
95,Family households,No workers,3-person household,"$25,000 to $34,999",No vehicle available,0.0,0.136270447549
96,Family households,No workers,3-person household,"$25,000 to $34,999",1 vehicle available,1.0,258.471260733
97,Family households,No workers,3-person household,"$25,000 to $34,999",2 vehicles available,1.0,138.442184048
98,Family households,No workers,3-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0421805884713
99,Family households,No workers,3-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.012706188382
100,Family households,No workers,3-person household,"$35,000 to $44,999",No vehicle available,0.0,0.107169695391
101,Family households,No workers,3-person household,"$35,000 to $44,999",1 vehicle available,1.0,203.274347287
102,Family households,No workers,3-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.108877654403
103,Family households,No workers,3-person household,"$35,000 to $44,999",3 vehicles available,1.0,33.1728624891
104,Family households,No workers,3-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.00999276338316
105,Family households,No workers,3-person household,"$45,000 to $59,999",No vehicle available,0.0,0.129995193506
106,Family households,No workers,3-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.246568659304
107,Family households,No workers,3-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.132066921541
108,Family households,No workers,3-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.040238172393
109,Family households,No workers,3-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0121210684133
110,Family households,No workers,3-person household,"$60,000 to $99,999",No vehicle available,0.0,0.130735707298
111,Family households,No workers,3-person household,"$60,000 to $99,999",1 vehicle available,1.0,247.973230411
112,Family households,No workers,3-person household,"$60,000 to $99,999",2 vehicles available,2.0,265.638473741
113,Family households,No workers,3-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.0404673879572
114,Family households,No workers,3-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.0121901157226
115,Family households,No workers,3-person household,"Less than $15,000",No vehicle available,1.0,146.421008893
116,Family households,No workers,3-person household,"Less than $15,000",1 vehicle available,1.0,277.724359516
117,Family households,No workers,3-person household,"Less than $15,000",2 vehicles available,0.0,0.14875451447
118,Family households,No workers,3-person household,"Less than $15,000",3 vehicles available,0.0,0.0453225510796
119,Family households,No workers,3-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0136526514409
120,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",No vehicle available,0.0,0.144312542728
121,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.27372512184
122,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.146612445766
123,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0446699052182
124,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.013456052921
125,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",No vehicle available,0.0,0.139456965178
126,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",1 vehicle available,0.0,0.264515294812
127,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",2 vehicles available,1.0,141.679485077
128,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.0431669299061
129,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0130033070457
130,Family households,No workers,4-or-more-person household,"$150,000 or more",No vehicle available,0.0,0.128457257796
131,Family households,No workers,4-or-more-person household,"$150,000 or more",1 vehicle available,0.0,0.243651576481
132,Family households,No workers,4-or-more-person household,"$150,000 or more",2 vehicles available,0.0,0.130504475813
133,Family households,No workers,4-or-more-person household,"$150,000 or more",3 vehicles available,0.0,0.0397621261596
134,Family households,No workers,4-or-more-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0119776675424
135,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",No vehicle available,0.0,0.164561689504
136,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.312132733983
137,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",2 vehicles available,0.0,0.167184302359
138,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0509377420268
139,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0153441326781
140,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",No vehicle available,0.0,0.129419301502
141,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",1 vehicle available,1.0,245.476334922
142,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.131481851569
143,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.0400599131733
144,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0120673708403
145,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",No vehicle available,0.0,0.156983623784
146,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.297759021737
147,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.159485465317
148,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.0485920590315
149,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0146375353759
150,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",No vehicle available,0.0,0.157877876374
151,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.299455197237
152,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",2 vehicles available,0.0,0.160393969574
153,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.048868862265
154,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.0147209176651
155,Family households,No workers,4-or-more-person household,"Less than $15,000",No vehicle available,0.0,0.176819618896
156,Family households,No workers,4-or-more-person household,"Less than $15,000",1 vehicle available,2.0,670.76597517
157,Family households,No workers,4-or-more-person household,"Less than $15,000",2 vehicles available,1.0,179.637585865
158,Family households,No workers,4-or-more-person household,"Less than $15,000",3 vehicles available,0.0,0.0547320105897
159,Family households,No workers,4-or-more-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0164870918657
160,Family households,1 worker,1-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0
161,Family households,1 worker,1-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0
162,Family households,1 worker,1-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0
163,Family households,1 worker,1-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0
164,Family households,1 worker,1-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0
165,Family households,1 worker,1-person household,"$15,000 to $24,999",No vehicle available,0.0,0.0
