,hh_inc,hh_size,hh_type,vehicle,workers,sample,total
0,"$100,000 to $149,999",1-person household,Family households,No vehicle available,No workers,0.0,0.0
1,"$100,000 to $149,999",1-person household,Family households,No vehicle available,1 worker,0.0,0.0
2,"$100,000 to $149,999",1-person household,Family households,No vehicle available,2 workers,0.0,0.0
3,"$100,000 to $149,999",1-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
4,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,No workers,0.0,0.0
5,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,1 worker,0.0,0.0
6,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,2 workers,0.0,0.0
7,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
8,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,No workers,0.0,0.0
9,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,1 worker,0.0,0.0
10,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,2 workers,0.0,0.0
11,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
12,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,No workers,0.0,0.0
13,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,1 worker,0.0,0.0
14,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,2 workers,0.0,0.0
15,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
16,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,No workers,0.0,0.0
17,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0
18,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0
19,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
20,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,No workers,0.0,4074.10548413
21,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,1 worker,4.0,174.801982769
22,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.0
23,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
24,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,No workers,0.0,6820.59017634
25,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,1 worker,185.0,12949.9503784
26,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.0
27,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
28,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,No workers,0.0,3025.88056613
29,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,1 worker,38.0,2581.87925313
30,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.0
31,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
32,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,No workers,0.0,850.373596192
33,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,1 worker,5.0,304.334058246
34,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.0
35,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
36,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,242.180181665
37,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,1 worker,1.0,39.0737523025
38,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.0
39,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
40,"$100,000 to $149,999",2-person household,Family households,No vehicle available,No workers,1.0,80.5806112355
41,"$100,000 to $149,999",2-person household,Family households,No vehicle available,1 worker,3.0,197.859680907
42,"$100,000 to $149,999",2-person household,Family households,No vehicle available,2 workers,1.0,53.3751158454
43,"$100,000 to $149,999",2-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
44,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,No workers,7.0,944.318033188
45,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,1 worker,28.0,2958.04034905
46,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,2 workers,23.0,2311.11814937
47,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
48,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,No workers,24.0,1436.35341693
49,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,1 worker,118.0,12099.9625143
50,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,2 workers,255.0,27125.26728
51,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
52,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,No workers,1.0,16.8193053485
53,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,1 worker,21.0,1929.07687154
54,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,2 workers,54.0,4881.24949499
55,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
56,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,No workers,0.0,0.00479001516865
57,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,1 worker,4.0,235.881997521
58,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,2 workers,13.0,1029.20917952
59,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
60,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,No workers,0.0,562.264219126
61,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,1 worker,0.0,460.199284816
62,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,2 workers,0.0,372.433484574
63,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
64,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,No workers,0.0,941.304496021
65,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,1 worker,0.0,737.150139601
66,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,2 workers,0.0,701.139124316
67,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
68,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,No workers,0.0,417.599490321
69,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,1 worker,0.0,715.5037386
70,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,2 workers,0.0,742.238941044
71,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
72,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,No workers,0.0,117.359417396
73,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,1 worker,0.0,640.973580418
74,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,2 workers,0.0,630.735298061
75,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
76,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,33.4231038597
77,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,411.47617618
78,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,552.421011196
79,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
80,"$100,000 to $149,999",3-person household,Family households,No vehicle available,No workers,0.0,0.102329337513
81,"$100,000 to $149,999",3-person household,Family households,No vehicle available,1 worker,1.0,76.7301019792
82,"$100,000 to $149,999",3-person household,Family households,No vehicle available,2 workers,4.0,224.593301389
83,"$100,000 to $149,999",3-person household,Family households,No vehicle available,3 or more workers,0.0,0.0806514577086
84,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,No workers,2.0,342.625627594
85,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,1 worker,11.0,1351.9744158
86,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,2 workers,9.0,951.337899699
87,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,3 or more workers,1.0,78.7953360888
88,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,No workers,0.0,0.0760010645115
89,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,1 worker,43.0,5129.79723253
90,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,2 workers,112.0,12532.8501078
91,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,3 or more workers,10.0,888.853066438
92,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,No workers,2.0,42.7176797831
93,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,1 worker,15.0,1603.06533976
94,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,2 workers,53.0,5039.77436533
95,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,3 or more workers,44.0,4021.33520175
96,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,No workers,0.0,0.00608284141023
97,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,1 worker,4.0,274.425536954
98,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,2 workers,15.0,1249.25050848
99,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,3 or more workers,11.0,995.811298171
100,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,No workers,0.0,57.7661639248
101,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,1 worker,0.0,43.3150820344
102,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,2 workers,0.0,31.6964171268
103,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,45.5287353559
104,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,No workers,0.0,96.7081809063
105,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,1 worker,0.0,69.3823737281
106,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,2 workers,0.0,59.6713213733
107,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,44.4809319756
108,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,No workers,0.0,42.9035314577
109,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,1 worker,0.0,67.3449615329
110,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,2 workers,0.0,63.1691726375
111,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,50.1768438933
112,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,No workers,0.0,12.0573266319
113,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,1 worker,0.0,60.3300007926
114,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,2 workers,0.0,53.6795157578
115,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,51.5930217674
116,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,3.4338384531
117,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,38.7291439047
118,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,47.0144805064
119,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,51.1043336655
120,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,No workers,0.0,0.117104255304
121,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,1 worker,0.0,0.0825254757181
122,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,2 workers,1.0,64.8691196013
123,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,3 or more workers,2.0,158.80692172
124,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,No workers,0.0,0.196047975794
125,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,1 worker,9.0,1189.70848409
126,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,2 workers,13.0,1587.584454
127,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,3 or more workers,14.0,1086.0648509
128,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,No workers,2.0,173.949099608
129,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,1 worker,85.0,10906.1867546
130,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,2 workers,128.0,16547.9038408
131,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,3 or more workers,26.0,2275.25738974
132,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,No workers,1.0,24.4427561093
133,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,1 worker,20.0,2298.85840296
134,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,2 workers,63.0,6921.12940008
135,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,3 or more workers,90.0,8098.1780128
136,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,No workers,0.0,0.00696111819728
137,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,1 worker,4.0,295.152715846
138,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,2 workers,33.0,3175.2170046
139,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,3 or more workers,103.0,9180.12932721
140,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,No workers,0.0,26.7910342771
141,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,1 worker,0.0,18.8801238944
142,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,2 workers,0.0,14.8407143895
143,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,18.1658713946
144,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,No workers,0.0,44.8517265731
145,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,1 worker,0.0,30.2423024625
146,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,2 workers,0.0,27.9389633915
147,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,17.7478000095
148,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,No workers,0.0,19.8979801287
149,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,1 worker,0.0,29.3542377778
