,hh_inc,hh_size,hh_type,vehicle,workers,sample,total
0,"$100,000 to $149,999",1-person household,Family households,No vehicle available,No workers,0.0,0.0
1,"$100,000 to $149,999",1-person household,Family households,No vehicle available,1 worker,0.0,0.0
2,"$100,000 to $149,999",1-person household,Family households,No vehicle available,2 workers,0.0,0.0
3,"$100,000 to $149,999",1-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
4,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,No workers,0.0,0.0
5,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,1 worker,0.0,0.0
6,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,2 workers,0.0,0.0
7,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
8,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,No workers,0.0,0.0
9,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,1 worker,0.0,0.0
10,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,2 workers,0.0,0.0
11,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
12,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,No workers,0.0,0.0
13,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,1 worker,0.0,0.0
14,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,2 workers,0.0,0.0
15,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
16,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,No workers,0.0,0.0
17,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0
18,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0
19,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
20,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,No workers,0.0,59.9285205396
21,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.00600993837661
22,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.0
23,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
24,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,No workers,0.0,95.9195251766
25,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,1 worker,3.0,49.5810867971
26,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.0
27,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
28,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,No workers,0.0,58.9224607793
29,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,1 worker,1.0,24.2106079651
30,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.0
31,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
32,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,No workers,0.0,34.8077171025
33,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,1 worker,0.0,0.0160230852192
34,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.0
35,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
36,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,8.75606374874
37,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,0.0125456783954
38,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.0
39,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
40,"$100,000 to $149,999",2-person household,Family households,No vehicle available,No workers,0.0,0.0264849902261
41,"$100,000 to $149,999",2-person household,Family households,No vehicle available,1 worker,0.0,0.0151106306997
42,"$100,000 to $149,999",2-person household,Family households,No vehicle available,2 workers,0.0,0.0223386822614
43,"$100,000 to $149,999",2-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
44,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,No workers,2.0,84.7819256649
45,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,1 worker,2.0,83.1069522219
46,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,2 workers,0.0,0.0559993819069
47,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
48,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,No workers,0.0,0.0260403691562
49,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,1 worker,6.0,365.232586145
50,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,2 workers,7.0,323.157533326
51,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
52,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,No workers,0.0,0.015383026962
53,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,1 worker,1.0,40.2864236278
54,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,2 workers,0.0,0.0486879340628
55,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
56,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,No workers,0.0,0.00386968109202
57,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,1 worker,1.0,31.5432707011
58,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,2 workers,2.0,70.2118823183
59,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
60,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,No workers,0.0,3.57646819618
61,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,1 worker,0.0,2.04050255108
62,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,2 workers,0.0,3.0165609264
63,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
64,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,No workers,0.0,5.72437176986
65,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,1 worker,0.0,5.6112796147
66,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,2 workers,0.0,7.56201934324
67,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
68,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,No workers,0.0,3.51642765615
69,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,1 worker,0.0,8.22001894534
70,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,2 workers,0.0,6.23405737378
71,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
72,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,No workers,0.0,2.07728627501
73,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,1 worker,0.0,5.44017995145
74,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,2 workers,0.0,6.57469933824
75,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
76,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.522552254571
77,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,4.25952599954
78,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,4.74062029023
79,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
80,"$100,000 to $149,999",3-person household,Family households,No vehicle available,No workers,0.0,0.0184078626894
81,"$100,000 to $149,999",3-person household,Family households,No vehicle available,1 worker,0.0,0.0150911723748
82,"$100,000 to $149,999",3-person household,Family households,No vehicle available,2 workers,0.0,0.0228822061846
83,"$100,000 to $149,999",3-person household,Family households,No vehicle available,3 or more workers,0.0,0.051330157132
84,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,No workers,0.0,0.0294629907894
85,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,1 worker,1.0,41.4999666939
86,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,2 workers,0.0,0.0573619064908
87,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0356487955587
88,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,No workers,0.0,0.0180988377083
89,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,1 worker,4.0,243.174844869
90,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,2 workers,2.0,94.5772286216
91,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0156468441153
92,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,No workers,0.0,0.0106916651902
93,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,1 worker,1.0,40.2345458249
94,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,2 workers,2.0,99.7451266724
95,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,3 or more workers,4.0,127.601524529
96,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,No workers,0.0,0.00268954443953
97,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0315026516678
98,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0359601060846
99,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,3 or more workers,2.0,70.3183052113
100,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,No workers,0.0,0.20931189789
101,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.171598516593
102,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.260188707686
103,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.583664317232
104,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,No workers,0.0,0.335017412054
105,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,1 worker,0.0,0.471887309116
106,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.6522500584
107,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.405354884583
108,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,No workers,0.0,0.205798040449
109,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,1 worker,0.0,0.691272381229
110,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.537708791998
111,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.177916941962
112,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,No workers,0.0,0.121572654595
113,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,1 worker,0.0,0.457498477115
114,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.567090327687
115,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.362732460083
116,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.0305822387203
117,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,0.358209962798
118,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.408894730469
119,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.399787258536
120,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,No workers,0.0,0.0518075264098
121,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,1 worker,0.0,0.026302892966
122,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,2 workers,0.0,0.0256738090106
123,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,3 or more workers,0.0,0.0584150402869
124,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,No workers,0.0,0.0829213417762
125,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,1 worker,0.0,0.0723316356696
126,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,2 workers,0.0,0.0643599930815
127,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0405692471072
128,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,No workers,0.0,0.0509377991559
129,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,1 worker,1.0,105.959327707
130,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,2 workers,3.0,159.173312538
131,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,3 or more workers,2.0,35.6130228475
132,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,No workers,0.0,0.0300908767114
133,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,1 worker,0.0,0.0701260926642
134,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,2 workers,4.0,223.827834717
135,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,3 or more workers,2.0,72.6069099773
136,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,No workers,0.0,0.00756951781596
137,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,1 worker,1.0,54.9069916097
138,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,2 workers,4.0,161.388790603
139,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,3 or more workers,2.0,80.024041642
140,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,No workers,0.0,0.333196704091
141,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.169165328894
142,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.165119416745
143,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.375692495699
144,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,No workers,0.0,0.533303164486
145,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,1 worker,0.0,0.46519616505
146,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.413927069214
147,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.260918448733
148,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,No workers,0.0,0.327603110369
