,hh_type,workers,hh_size,hh_inc,vehicle,sample,total
0,Family households,No workers,1-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0
1,Family households,No workers,1-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0
2,Family households,No workers,1-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0
3,Family households,No workers,1-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0
4,Family households,No workers,1-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0
5,Family households,No workers,1-person household,"$15,000 to $24,999",No vehicle available,0.0,0.0
6,Family households,No workers,1-person household,"$15,000 to $24,999",1 vehicle available,0.0,0.0
7,Family households,No workers,1-person household,"$15,000 to $24,999",2 vehicles available,0.0,0.0
8,Family households,No workers,1-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.0
9,Family households,No workers,1-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0
10,Family households,No workers,1-person household,"$150,000 or more",No vehicle available,0.0,0.0
11,Family households,No workers,1-person household,"$150,000 or more",1 vehicle available,0.0,0.0
12,Family households,No workers,1-person household,"$150,000 or more",2 vehicles available,0.0,0.0
13,Family households,No workers,1-person household,"$150,000 or more",3 vehicles available,0.0,0.0
14,Family households,No workers,1-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0
15,Family households,No workers,1-person household,"$25,000 to $34,999",No vehicle available,0.0,0.0
16,Family households,No workers,1-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.0
17,Family households,No workers,1-person household,"$25,000 to $34,999",2 vehicles available,0.0,0.0
18,Family households,No workers,1-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0
19,Family households,No workers,1-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0
20,Family households,No workers,1-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0
21,Family households,No workers,1-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.0
22,Family households,No workers,1-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.0
23,Family households,No workers,1-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.0
24,Family households,No workers,1-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0
25,Family households,No workers,1-person household,"$45,000 to $59,999",No vehicle available,0.0,0.0
26,Family households,No workers,1-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.0
27,Family households,No workers,1-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.0
28,Family households,No workers,1-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.0
29,Family households,No workers,1-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0
30,Family households,No workers,1-person household,"$60,000 to $99,999",No vehicle available,0.0,0.0
31,Family households,No workers,1-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.0
32,Family households,No workers,1-person household,"$60,000 to $99,999",2 vehicles available,0.0,0.0
33,Family households,No workers,1-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.0
34,Family households,No workers,1-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.0
35,Family households,No workers,1-person household,"Less than $15,000",No vehicle available,0.0,0.0
36,Family households,No workers,1-person household,"Less than $15,000",1 vehicle available,0.0,0.0
37,Family households,No workers,1-person household,"Less than $15,000",2 vehicles available,0.0,0.0
38,Family households,No workers,1-person household,"Less than $15,000",3 vehicles available,0.0,0.0
39,Family households,No workers,1-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0
40,Family households,No workers,2-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0496660945881
41,Family households,No workers,2-person household,"$100,000 to $149,999",1 vehicle available,2.0,304.333375104
42,Family households,No workers,2-person household,"$100,000 to $149,999",2 vehicles available,3.0,257.370070505
43,Family households,No workers,2-person household,"$100,000 to $149,999",3 vehicles available,1.0,26.6539109179
44,Family households,No workers,2-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0106633184362
45,Family households,No workers,2-person household,"$15,000 to $24,999",No vehicle available,1.0,62.5540767781
46,Family households,No workers,2-person household,"$15,000 to $24,999",1 vehicle available,8.0,1533.22249074
47,Family households,No workers,2-person household,"$15,000 to $24,999",2 vehicles available,3.0,324.155689798
48,Family households,No workers,2-person household,"$15,000 to $24,999",3 vehicles available,1.0,33.5704025819
49,Family households,No workers,2-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0134303702697
50,Family households,No workers,2-person household,"$150,000 or more",No vehicle available,0.0,0.0457761198996
51,Family households,No workers,2-person household,"$150,000 or more",1 vehicle available,1.0,140.248606053
52,Family households,No workers,2-person household,"$150,000 or more",2 vehicles available,6.0,474.424385639
53,Family households,No workers,2-person household,"$150,000 or more",3 vehicles available,1.0,24.5663089093
54,Family households,No workers,2-person household,"$150,000 or more",4 or more vehicles available,0.0,0.00982814024962
55,Family households,No workers,2-person household,"$25,000 to $34,999",No vehicle available,0.0,0.0624327105769
56,Family households,No workers,2-person household,"$25,000 to $34,999",1 vehicle available,9.0,1721.52873262
57,Family households,No workers,2-person household,"$25,000 to $34,999",2 vehicles available,11.0,1186.26482056
58,Family households,No workers,2-person household,"$25,000 to $34,999",3 vehicles available,1.0,33.5052699408
59,Family households,No workers,2-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0134043129269
60,Family households,No workers,2-person household,"$35,000 to $44,999",No vehicle available,1.0,60.7326100811
61,Family households,No workers,2-person household,"$35,000 to $44,999",1 vehicle available,8.0,1488.57769938
62,Family households,No workers,2-person household,"$35,000 to $44,999",2 vehicles available,7.0,734.339283686
63,Family households,No workers,2-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.0325928904283
64,Family households,No workers,2-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0130393010791
65,Family households,No workers,2-person household,"$45,000 to $59,999",No vehicle available,0.0,0.0560978446562
66,Family households,No workers,2-person household,"$45,000 to $59,999",1 vehicle available,4.0,687.488981845
67,Family households,No workers,2-person household,"$45,000 to $59,999",2 vehicles available,8.0,775.198525493
68,Family households,No workers,2-person household,"$45,000 to $59,999",3 vehicles available,1.0,30.1055874546
69,Family households,No workers,2-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0120442162025
70,Family households,No workers,2-person household,"$60,000 to $99,999",No vehicle available,0.0,0.0633340006285
71,Family households,No workers,2-person household,"$60,000 to $99,999",1 vehicle available,3.0,582.1270123
72,Family households,No workers,2-person household,"$60,000 to $99,999",2 vehicles available,12.0,1312.7890439
73,Family households,No workers,2-person household,"$60,000 to $99,999",3 vehicles available,2.0,67.9779163159
74,Family households,No workers,2-person household,"$60,000 to $99,999",4 or more vehicles available,2.0,27.1956400897
75,Family households,No workers,2-person household,"Less than $15,000",No vehicle available,1.0,71.7195790443
76,Family households,No workers,2-person household,"Less than $15,000",1 vehicle available,8.0,1757.87218485
77,Family households,No workers,2-person household,"Less than $15,000",2 vehicles available,1.0,123.883796839
78,Family households,No workers,2-person household,"Less than $15,000",3 vehicles available,1.0,38.4891803305
79,Family households,No workers,2-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0153982050693
80,Family households,No workers,3-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0748060781887
81,Family households,No workers,3-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.229190420973
82,Family households,No workers,3-person household,"$100,000 to $149,999",2 vehicles available,1.0,129.215217325
83,Family households,No workers,3-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0401455874615
84,Family households,No workers,3-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0160608769283
85,Family households,No workers,3-person household,"$15,000 to $24,999",No vehicle available,1.0,94.2176991627
86,Family households,No workers,3-person household,"$15,000 to $24,999",1 vehicle available,1.0,288.663630778
87,Family households,No workers,3-person household,"$15,000 to $24,999",2 vehicles available,2.0,325.491210553
88,Family households,No workers,3-person household,"$15,000 to $24,999",3 vehicles available,0.0,0.050563068854
89,Family households,No workers,3-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0202285550501
90,Family households,No workers,3-person household,"$150,000 or more",No vehicle available,0.0,0.0689470761247
91,Family households,No workers,3-person household,"$150,000 or more",1 vehicle available,0.0,0.21123964502
92,Family households,No workers,3-person household,"$150,000 or more",2 vehicles available,1.0,119.094753276
93,Family households,No workers,3-person household,"$150,000 or more",3 vehicles available,0.0,0.0370012830749
94,Family households,No workers,3-person household,"$150,000 or more",4 or more vehicles available,0.0,0.0148029482499
95,Family households,No workers,3-person household,"$25,000 to $34,999",No vehicle available,0.0,0.0940348998182
96,Family households,No workers,3-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.288103571225
97,Family households,No workers,3-person household,"$25,000 to $34,999",2 vehicles available,0.0,0.162429849424
98,Family households,No workers,3-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.0504649673728
99,Family households,No workers,3-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0201893080016
100,Family households,No workers,3-person household,"$35,000 to $44,999",No vehicle available,0.0,0.0914742424587
101,Family households,No workers,3-person household,"$35,000 to $44,999",1 vehicle available,2.0,560.516488631
102,Family households,No workers,3-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.158006734281
103,Family households,No workers,3-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.0490907596016
104,Family households,No workers,3-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0196395344578
105,Family households,No workers,3-person household,"$45,000 to $59,999",No vehicle available,0.0,0.0844934514859
106,Family households,No workers,3-person household,"$45,000 to $59,999",1 vehicle available,1.0,258.870538122
107,Family households,No workers,3-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.145948564083
108,Family households,No workers,3-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.0453444336167
109,Family households,No workers,3-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0181407575216
110,Family households,No workers,3-person household,"$60,000 to $99,999",No vehicle available,0.0,0.0953924048652
111,Family households,No workers,3-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.292262687178
112,Family households,No workers,3-person household,"$60,000 to $99,999",2 vehicles available,1.0,164.774716497
113,Family households,No workers,3-person household,"$60,000 to $99,999",3 vehicles available,0.0,0.0511934888903
114,Family households,No workers,3-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.0204807645519
115,Family households,No workers,3-person household,"Less than $15,000",No vehicle available,2.0,216.045190674
116,Family households,No workers,3-person household,"Less than $15,000",1 vehicle available,0.0,0.330958990223
117,Family households,No workers,3-person household,"Less than $15,000",2 vehicles available,1.0,186.591296729
118,Family households,No workers,3-person household,"Less than $15,000",3 vehicles available,1.0,57.9716335078
119,Family households,No workers,3-person household,"Less than $15,000",4 or more vehicles available,0.0,0.0231924684623
120,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",No vehicle available,0.0,0.19160301184
121,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.587032177151
122,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.330962742795
123,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.102826075848
124,Family households,No workers,4-or-more-person household,"$100,000 to $149,999",4 or more vehicles available,1.0,41.1371972274
125,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",No vehicle available,1.0,241.322568504
126,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",1 vehicle available,0.0,0.739362661496
127,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",2 vehicles available,0.0,0.416845113254
128,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",3 vehicles available,2.0,259.017355672
129,Family households,No workers,4-or-more-person household,"$15,000 to $24,999",4 or more vehicles available,0.0,0.0518119939798
130,Family households,No workers,4-or-more-person household,"$150,000 or more",No vehicle available,0.0,0.176596177248
131,Family households,No workers,4-or-more-person household,"$150,000 or more",1 vehicle available,0.0,0.541054325875
132,Family households,No workers,4-or-more-person household,"$150,000 or more",2 vehicles available,0.0,0.305040900077
133,Family households,No workers,4-or-more-person household,"$150,000 or more",3 vehicles available,0.0,0.0947724763916
134,Family households,No workers,4-or-more-person household,"$150,000 or more",4 or more vehicles available,0.0,0.037915227445
135,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",No vehicle available,0.0,0.240854359158
136,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",1 vehicle available,0.0,0.737928164464
137,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",2 vehicles available,0.0,0.416036358486
138,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",3 vehicles available,0.0,0.129257407622
139,Family households,No workers,4-or-more-person household,"$25,000 to $34,999",4 or more vehicles available,0.0,0.0517114693584
140,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",No vehicle available,0.0,0.234295672026
141,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",1 vehicle available,0.0,0.717833697529
142,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",2 vehicles available,0.0,0.404707303367
143,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",3 vehicles available,0.0,0.125737608774
144,Family households,No workers,4-or-more-person household,"$35,000 to $44,999",4 or more vehicles available,0.0,0.0503033181844
145,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",No vehicle available,0.0,0.216415566455
146,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",1 vehicle available,0.0,0.663052735577
147,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",2 vehicles available,0.0,0.373822356807
148,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",3 vehicles available,0.0,0.116142033662
149,Family households,No workers,4-or-more-person household,"$45,000 to $59,999",4 or more vehicles available,0.0,0.0464644566639
150,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",No vehicle available,0.0,0.244331376826
151,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",1 vehicle available,0.0,0.748581030682
152,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",2 vehicles available,1.0,422.042335602
153,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",3 vehicles available,1.0,131.123391247
154,Family households,No workers,4-or-more-person household,"$60,000 to $99,999",4 or more vehicles available,0.0,0.0524579856069
155,Family households,No workers,4-or-more-person household,"Less than $15,000",No vehicle available,1.0,276.681455765
156,Family households,No workers,4-or-more-person household,"Less than $15,000",1 vehicle available,0.0,0.847695011657
157,Family households,No workers,4-or-more-person household,"Less than $15,000",2 vehicles available,1.0,477.921785263
158,Family households,No workers,4-or-more-person household,"Less than $15,000",3 vehicles available,0.0,0.148484452739
159,Family households,No workers,4-or-more-person household,"Less than $15,000",4 or more vehicles available,0.0,0.059403552719
160,Family households,1 worker,1-person household,"$100,000 to $149,999",No vehicle available,0.0,0.0
161,Family households,1 worker,1-person household,"$100,000 to $149,999",1 vehicle available,0.0,0.0
162,Family households,1 worker,1-person household,"$100,000 to $149,999",2 vehicles available,0.0,0.0
163,Family households,1 worker,1-person household,"$100,000 to $149,999",3 vehicles available,0.0,0.0
164,Family households,1 worker,1-person household,"$100,000 to $149,999",4 or more vehicles available,0.0,0.0
165,Family households,1 worker,1-person household,"$15,000 to $24,999",No vehicle available,0.0,0.0
