,hh_inc,hh_size,hh_type,vehicle,workers,sample,total
0,"$100,000 to $149,999",1-person household,Family households,No vehicle available,No workers,0.0,0.0
1,"$100,000 to $149,999",1-person household,Family households,No vehicle available,1 worker,0.0,0.0
2,"$100,000 to $149,999",1-person household,Family households,No vehicle available,2 workers,0.0,0.0
3,"$100,000 to $149,999",1-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
4,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,No workers,0.0,0.0
5,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,1 worker,0.0,0.0
6,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,2 workers,0.0,0.0
7,"$100,000 to $149,999",1-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
8,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,No workers,0.0,0.0
9,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,1 worker,0.0,0.0
10,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,2 workers,0.0,0.0
11,"$100,000 to $149,999",1-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
12,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,No workers,0.0,0.0
13,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,1 worker,0.0,0.0
14,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,2 workers,0.0,0.0
15,"$100,000 to $149,999",1-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
16,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,No workers,0.0,0.0
17,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0
18,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,2 workers,0.0,0.0
19,"$100,000 to $149,999",1-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
20,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,No workers,0.0,30.2860924274
21,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.00272532883943
22,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.0
23,"$100,000 to $149,999",1-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
24,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,No workers,0.0,44.2729486819
25,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,1 worker,3.0,20.1011331432
26,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.0
27,"$100,000 to $149,999",1-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
28,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,No workers,0.0,24.5185655706
29,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,1 worker,5.0,27.3778784204
30,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,2 workers,0.0,0.0
31,"$100,000 to $149,999",1-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
32,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,No workers,0.0,13.2151421259
33,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,1 worker,0.0,0.00450287245496
34,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,2 workers,0.0,0.0
35,"$100,000 to $149,999",1-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
36,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,3.33135892072
37,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,0.00803530306519
38,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,0.0
39,"$100,000 to $149,999",1-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
40,"$100,000 to $149,999",2-person household,Family households,No vehicle available,No workers,0.0,0.0131026073814
41,"$100,000 to $149,999",2-person household,Family households,No vehicle available,1 worker,0.0,0.00602190141821
42,"$100,000 to $149,999",2-person household,Family households,No vehicle available,2 workers,1.0,4.4431825824
43,"$100,000 to $149,999",2-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
44,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,No workers,0.0,0.0191537110833
45,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,1 worker,2.0,29.6103820407
46,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,2 workers,1.0,8.56608762266
47,"$100,000 to $149,999",2-person household,Family households,1 vehicle available,3 or more workers,0.0,0.0
48,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,No workers,2.0,21.2148291495
49,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,1 worker,10.0,120.988617962
50,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,2 workers,11.0,196.976463684
51,"$100,000 to $149,999",2-person household,Family households,2 vehicles available,3 or more workers,0.0,0.0
52,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,No workers,1.0,5.7172386692
53,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,1 worker,6.0,59.6974287217
54,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,2 workers,4.0,70.540374204
55,"$100,000 to $149,999",2-person household,Family households,3 vehicles available,3 or more workers,0.0,0.0
56,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,No workers,0.0,0.00144123868371
57,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,1 worker,2.0,35.5096986638
58,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,2 workers,1.0,19.9860385792
59,"$100,000 to $149,999",2-person household,Family households,4 or more vehicles available,3 or more workers,0.0,0.0
60,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,No workers,0.0,4.87822011229
61,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,1 worker,0.0,2.24200876646
62,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,2 workers,0.0,1.65423735942
63,"$100,000 to $149,999",2-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
64,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,No workers,0.0,7.13110115504
65,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,1 worker,0.0,5.51210751413
66,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,2 workers,0.0,3.18923247169
67,"$100,000 to $149,999",2-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0
68,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,No workers,0.0,3.94923709547
69,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,1 worker,0.0,4.50451648531
70,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,2 workers,0.0,6.66692110704
71,"$100,000 to $149,999",2-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.0
72,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,No workers,0.0,2.12858004907
73,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,1 worker,0.0,3.70431610755
74,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,2 workers,0.0,6.56570601091
75,"$100,000 to $149,999",2-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.0
76,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.536586293769
77,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,6.6102921793
78,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,7.44098426552
79,"$100,000 to $149,999",2-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.0
80,"$100,000 to $149,999",3-person household,Family households,No vehicle available,No workers,0.0,0.00967899435606
81,"$100,000 to $149,999",3-person household,Family households,No vehicle available,1 worker,0.0,0.0127070713279
82,"$100,000 to $149,999",3-person household,Family households,No vehicle available,2 workers,0.0,0.00657729159168
83,"$100,000 to $149,999",3-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
84,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,No workers,0.0,0.0141489900503
85,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,1 worker,0.0,0.0312410657786
86,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,2 workers,0.0,0.0126804728478
87,"$100,000 to $149,999",3-person household,Family households,1 vehicle available,3 or more workers,0.0,0.00164510981782
88,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,No workers,0.0,0.0078357767132
89,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,1 worker,1.0,25.5303249179
90,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,2 workers,6.0,159.047130293
91,"$100,000 to $149,999",3-person household,Family households,2 vehicles available,3 or more workers,0.0,0.00766990836788
92,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,No workers,0.0,0.00422336709028
93,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,1 worker,2.0,41.9900311755
94,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,2 workers,3.0,78.3162634308
95,"$100,000 to $149,999",3-person household,Family households,3 vehicles available,3 or more workers,3.0,41.3684711123
96,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,No workers,0.0,0.00106465382647
97,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0374652657372
98,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,2 workers,2.0,59.1711013717
99,"$100,000 to $149,999",3-person household,Family households,4 or more vehicles available,3 or more workers,5.0,16.3432573115
100,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,No workers,0.0,0.532013042645
101,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.698453520228
102,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.361525669231
103,"$100,000 to $149,999",3-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
104,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,No workers,0.0,0.777709643184
105,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,1 worker,0.0,1.71718815498
106,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.696991515211
107,"$100,000 to $149,999",3-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0904246709386
108,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,No workers,0.0,0.430699229416
109,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,1 worker,0.0,1.40329308393
110,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,2 workers,0.0,1.45702374645
111,"$100,000 to $149,999",3-person household,Nonfamily households,2 vehicles available,3 or more workers,0.0,0.421582153837
112,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,No workers,0.0,0.232140477952
113,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,1 worker,0.0,1.15400647137
114,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,2 workers,0.0,1.4349036709
115,"$100,000 to $149,999",3-person household,Nonfamily households,3 vehicles available,3 or more workers,0.0,0.757949478923
116,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,No workers,0.0,0.058519480511
117,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,1 worker,0.0,2.05930588294
118,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,2 workers,0.0,1.62619155045
119,"$100,000 to $149,999",3-person household,Nonfamily households,4 or more vehicles available,3 or more workers,0.0,0.179663831368
120,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,No workers,0.0,0.0440952796903
121,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,1 worker,0.0,0.00966564641196
122,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,2 workers,0.0,0.00612493056695
123,"$100,000 to $149,999",4-or-more-person household,Family households,No vehicle available,3 or more workers,0.0,0.0
124,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,No workers,0.0,0.0644595554717
125,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,1 worker,1.0,23.763547678
126,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,2 workers,0.0,0.0118083582986
127,"$100,000 to $149,999",4-or-more-person household,Family households,1 vehicle available,3 or more workers,1.0,3.27351322599
128,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,No workers,0.0,0.0356980026073
129,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,1 worker,2.0,38.8393339537
130,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,2 workers,3.0,74.0542377008
131,"$100,000 to $149,999",4-or-more-person household,Family households,2 vehicles available,3 or more workers,3.0,45.7857819807
132,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,No workers,0.0,0.0192406923932
133,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,1 worker,1.0,15.9698794355
134,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,2 workers,9.0,218.789908775
135,"$100,000 to $149,999",4-or-more-person household,Family households,3 vehicles available,3 or more workers,2.0,54.8778915782
136,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,No workers,0.0,0.00485031879601
137,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,1 worker,0.0,0.0284979915515
138,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,2 workers,2.0,55.1015387443
139,"$100,000 to $149,999",4-or-more-person household,Family households,4 or more vehicles available,3 or more workers,3.0,19.5123274028
140,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,No workers,0.0,0.77246834999
141,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,1 worker,0.0,0.169324380929
142,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,2 workers,0.0,0.107297539376
143,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,No vehicle available,3 or more workers,0.0,0.0
144,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,No workers,0.0,1.12921307691
145,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,1 worker,0.0,0.416293730161
146,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,2 workers,0.0,0.206860759589
147,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,1 vehicle available,3 or more workers,0.0,0.0573459421985
148,"$100,000 to $149,999",4-or-more-person household,Nonfamily households,2 vehicles available,No workers,0.0,0.625363471231
