,,"Waller County, Texas","Chambers County, Texas","Montgomery County, Texas","Liberty County, Texas","Fort Bend County, Texas","Galveston County, Texas","Harris County, Texas","Austin County, Texas","Brazoria County, Texas"
Total population,Total population,45847.0,37251.0,502586.0,77486.0,658331.0,308163.0,4356362.0,28886.0,331741.0
AGE,Under 5 years,6.6,6.8,6.9,6.8,6.9,6.6,7.9,6.1,7.3
AGE,5 to 17 years,17.4,21.0,20.1,18.2,21.4,18.2,19.5,18.6,19.7
AGE,18 to 24 years,22.1,8.3,8.3,9.5,8.4,9.1,9.9,8.3,8.4
AGE,25 to 44 years,20.0,26.8,26.6,26.7,27.8,26.1,30.5,22.4,28.6
AGE,45 to 54 years,11.9,14.7,14.3,14.0,14.7,14.7,12.9,13.2,14.1
AGE,55 to 64 years,10.9,11.8,12.1,12.3,11.8,13.0,10.4,14.4,11.3
AGE,65 to 74 years,7.0,6.9,7.3,7.7,5.8,7.4,5.4,10.2,6.5
AGE,75 years and over,4.1,3.7,4.4,4.7,3.1,5.0,3.5,6.8,4.1
SEX,Male,50.3,50.2,49.5,49.3,49.1,49.5,49.7,49.8,50.7
SEX,Female,49.7,49.8,50.5,50.7,50.9,50.5,50.3,50.2,49.3
MARITAL STATUS,Population 15 years and over,36675.0,28723.0,390118.0,61421.0,504624.0,244843.0,3353415.0,23045.0,256456.0
MARITAL STATUS,Never married,40.2,22.8,25.6,27.9,27.8,29.0,35.5,23.4,27.3
MARITAL STATUS,"Now married, except separated",44.8,62.0,56.3,51.5,58.7,50.9,47.2,59.6,54.5
MARITAL STATUS,Divorced or separated,10.0,10.7,13.2,14.4,9.6,14.6,12.9,10.7,13.1
MARITAL STATUS,Widowed,5.1,4.6,5.0,6.2,3.9,5.6,4.4,6.3,5.0
EDUCATIONAL ATTAINMENT,Population 25 years and over,24740.0,23796.0,325211.0,50708.0,416757.0,203891.0,2734398.0,19347.0,213913.0
EDUCATIONAL ATTAINMENT,Less than high school graduate,21.9,16.9,13.7,23.8,11.1,12.5,20.4,15.6,14.0
EDUCATIONAL ATTAINMENT,High school graduate (includes equivalency),31.4,31.8,24.3,38.0,17.5,24.5,23.3,30.3,25.7
EDUCATIONAL ATTAINMENT,Some college or associate's degree,27.9,32.5,29.8,28.6,27.7,33.8,26.8,34.0,31.8
EDUCATIONAL ATTAINMENT,Bachelor's degree,13.7,13.4,21.7,6.7,28.0,19.1,18.9,14.4,18.5
EDUCATIONAL ATTAINMENT,Graduate or professional degree,5.1,5.3,10.5,2.9,15.7,10.2,10.5,5.7,10.0
INDIVIDUALS' INCOME IN THE PAST 12 MONTHS,Population 15 years and over,36675.0,28723.0,390118.0,61421.0,504624.0,244843.0,3353415.0,23045.0,256456.0
INDIVIDUALS' INCOME IN THE PAST 12 MONTHS,"$1 to $9,999 or loss",22.5,14.5,14.5,16.3,12.8,16.5,15.4,14.8,12.9
INDIVIDUALS' INCOME IN THE PAST 12 MONTHS,"$10,000 to $14,999",8.0,7.4,7.8,8.5,6.2,8.2,8.1,9.2,6.9
INDIVIDUALS' INCOME IN THE PAST 12 MONTHS,"$15,000 to $24,999",13.2,9.6,12.5,12.5,10.4,12.7,14.2,16.0,11.1
INDIVIDUALS' INCOME IN THE PAST 12 MONTHS,"$25,000 to $34,999",10.0,7.5,9.2,9.0,8.5,9.6,10.3,11.8,9.1
INDIVIDUALS' INCOME IN THE PAST 12 MONTHS,"$35,000 to $49,999",10.5,10.3,10.8,9.7,10.3,10.4,10.7,11.7,11.8
INDIVIDUALS' INCOME IN THE PAST 12 MONTHS,"$50,000 to $64,999",6.9,8.4,8.2,7.5,8.8,8.7,7.7,8.6,9.1
INDIVIDUALS' INCOME IN THE PAST 12 MONTHS,"$65,000 to $74,999",2.3,4.2,3.8,2.6,3.6,3.3,3.1,3.2,4.0
INDIVIDUALS' INCOME IN THE PAST 12 MONTHS,"$75,000 or more",8.4,16.9,16.7,8.3,20.2,15.9,12.7,10.8,16.4
VEHICLES AVAILABLE,Workers 16 years and over in households,18076.0,14858.0,226444.0,27017.0,309583.0,140832.0,2040031.0,13335.0,152332.0
VEHICLES AVAILABLE,No vehicle available,1.6,1.5,1.5,1.5,1.3,2.9,3.1,1.2,1.2
VEHICLES AVAILABLE,1 vehicle available,18.0,18.0,17.9,22.5,12.8,20.0,25.0,19.6,17.2
VEHICLES AVAILABLE,2 vehicles available,42.7,44.2,44.6,42.7,48.6,46.5,42.7,39.3,47.1
VEHICLES AVAILABLE,3 or more vehicles available,37.7,36.2,36.0,33.3,37.3,30.6,29.3,40.0,34.5
