id,from_segment,to_segment,from_lane,to_lane,is_true_connector,tags
0,1,2,100,200,,
1,2,3,200,300,,
2,3,4,300,400,,
3,4,5,400,500,,
4,5,6,500,600,,
5,6,7,600,700,,
6,7,8,700,800,,
7,8,9,800,900,,
8,9,10,900,1000,,
9,11,12,1100,1200,,
10,12,13,1200,1300,,
11,13,14,1300,1400,,
12,14,15,1400,1500,,
13,15,16,1500,1600,,
14,16,17,1600,1700,,
15,17,18,1700,1800,,
16,18,19,1800,1900,,
17,20,21,2000,2100,,
18,21,22,2100,2200,,
19,22,23,2200,2300,,
20,23,24,2300,2400,,
21,25,26,2500,2600,,
22,25,26,2500,2601,,
23,25,26,2500,2602,,
26,25,26,2501,2602,,
25,25,26,2501,2601,,
24,25,26,2501,2600,,
27,25,26,2502,2600,,
28,25,26,2502,2601,,
29,25,26,2502,2602,,
30,26,27,2600,2700,,
31,26,27,2600,2701,,
32,26,27,2600,2702,,
35,26,27,2601,2702,,
34,26,27,2601,2701,,
33,26,27,2601,2700,,
38,26,27,2602,2702,,
36,26,27,2602,2700,,
37,26,27,2602,2701,,
39,28,29,2800,2900,,
40,29,30,2900,3000,,
41,30,31,3000,3100,,
42,31,32,3100,3200,,
43,33,34,3300,3400,,
44,33,34,3300,3401,,
45,33,34,3300,3402,,
47,33,34,3301,3401,,
48,33,34,3301,3402,,
46,33,34,3301,3400,,
51,33,34,3302,3402,,
49,33,34,3302,3400,,
50,33,34,3302,3401,,
52,35,36,3500,3600,,
53,35,36,3500,3601,,
55,35,36,3501,3601,,
54,35,36,3501,3600,,
56,36,37,3600,3700,,
57,36,37,3600,3701,,
58,36,37,3601,3700,,
59,36,37,3601,3701,,
61,37,38,3700,3801,,
60,37,38,3700,3800,,
63,37,38,3701,3801,,
62,37,38,3701,3800,,
64,38,39,3800,3900,,
65,38,39,3800,3901,,
67,38,39,3801,3901,,
66,38,39,3801,3900,,
68,39,40,3900,4000,,
69,39,40,3900,4001,,
70,39,40,3901,4000,,
71,39,40,3901,4001,,
72,40,41,4000,4100,,
73,40,41,4000,4101,,
74,40,41,4001,4100,,
75,40,41,4001,4101,,
77,41,42,4100,4201,,
