id,x,y,z,seq_id
100,-76.31358918400878,38.979363762996975,0,1
100,-76.3155643,38.9796874,0,2
200,-76.3155643,38.9796874,0,1
200,-76.3157762,38.979727,0,2
200,-76.3159774,38.9798021,0,3
300,-76.3159774,38.9798021,0,1
300,-76.3161195,38.9798844,0,2
300,-76.3162268,38.9799616,0,3
400,-76.3162268,38.9799616,0,1
400,-76.3163314,38.9800721,0,2
400,-76.3163971,38.9801795,0,3
500,-76.3163971,38.9801795,0,1
500,-76.3164414,38.9802889,0,2
500,-76.3165098,38.9805151,0,3
600,-76.3165098,38.9805151,0,1
600,-76.3165728,38.9806726,0,2
600,-76.3166841,38.9808581,0,3
700,-76.3166841,38.9808581,0,1
700,-76.3168209,38.9810322,0,2
800,-76.3168209,38.9810322,0,1
800,-76.3175411,38.9817797,0,2
900,-76.3175411,38.9817797,0,1
900,-76.3180959,38.982357,0,2
1000,-76.3180959,38.982357,0,1
1000,-76.31828986761813,38.982562377478025,0,2
1100,-76.31356756125791,38.97938621220533,0,1
1100,-76.3135914,38.9794207,0,2
1100,-76.3136625,38.9795062,0,3
1100,-76.3147233,38.9804997,0,4
1200,-76.3147233,38.9804997,0,1
1200,-76.3150237,38.9807979,0,2
1300,-76.3150237,38.9807979,0,1
1300,-76.3149688,38.980923,0,2
1300,-76.3149191,38.980997,0,3
1400,-76.3149191,38.980997,0,1
1400,-76.3142875,38.9815464,0,2
1500,-76.3142875,38.9815464,0,1
1500,-76.3134117,38.982322,0,2
1600,-76.3134117,38.982322,0,1
1600,-76.3119016,38.9836627,0,2
1700,-76.3119016,38.9836627,0,1
1700,-76.3113598,38.9841464,0,2
1800,-76.3113598,38.9841464,0,1
1800,-76.3112129,38.98428,0,2
1800,-76.3103165,38.9850804,0,3
1900,-76.3103165,38.9850804,0,1
1900,-76.310126,38.9852691,0,2
1900,-76.31003753292254,38.985398134853334,0,3
2000,-76.31350600239055,38.97934814901271,0,1
2000,-76.313149,38.9792725,0,2
2100,-76.313149,38.9792725,0,1
2100,-76.3118253,38.9789503,0,2
2200,-76.3118253,38.9789503,0,1
2200,-76.3114766,38.9788659,0,2
2300,-76.3114766,38.9788659,0,1
