id,road_type,category,from_node,to_node,road_name,tags,osmid
1,3,3,182837290,1063435937,Main Street,,114575606
2,4,4,182837290,182822675,East Main Street,,17654012
3,3,3,182837290,182817935,Main Street,,131947832
4,1,1,640712788,640712792,Blue Star Memorial Highway,,50419980
5,6,6,640712788,182859939,noname,,50420069
6,1,1,640712792,640685807,Blue Star Memorial Highway,,50419980
7,1,1,182837349,4796033410,Queen Anne Highway,,487090343
8,1,1,182837349,2440989805,Queen Anne Highway,,487090346
9,4,4,182853768,182853914,Kent Point Road,,17655561
10,1,1,640723656,640723780,Blue Star Memorial Highway,,91546139
11,6,6,640723656,640723661,noname,,50420518
12,6,6,182812864,640596498,noname,,505707906
13,3,3,182812864,640596475,Business Parkway,,17653181
14,3,3,182837445,182849344,Main Street,,174016988
15,3,3,182837445,1063451549,Main Street,,174016988
16,4,4,182837445,640615989,South Piney Road,,17654028
17,3,3,640712406,182849432,Main Street,,17654981
18,6,6,640712406,640712416,noname,,50419895
19,1,1,4131101404,873345922,Blue Star Memorial Highway,,131947781
20,3,3,182804791,182848928,Main Street,,17655001
21,3,3,182804791,182849293,Main Street,,17655001
22,6,6,182804791,640659239,noname,,50418389
23,3,3,182804802,1063451541,Dominion Road,,91543773
24,3,3,182804802,1063451563,Main Street,,174016988
25,3,3,182804802,1063451557,Dominion Road,,91543773
26,3,3,182804802,1063451549,Main Street,,174016988
27,3,3,183353712,183358910,Old Skipton Road,,17702887
28,3,3,797784811,1540749672,Del Rhodes Avenue,,17655697
29,3,3,797784811,182831589,Del Rhodes Avenue,,17655697
30,3,3,182861141,182812864,Romancoke Road,,505707904
31,6,6,182861141,640596498,noname,,91539630
32,3,3,2619134046,640782450,Ruthsburg Road,,256235496
33,3,3,777822777,1661249174,Starr Road,,319272790
34,3,3,182813295,182813292,West Water Street,,17651952
35,2,2,182813295,1311880215,South Liberty Street,,17655563
36,3,3,182813299,182814329,Chesterfield Avenue,,17655390
37,3,3,182813299,182813295,West Water Street,,114575623
38,4,4,182805138,182856544,Saddler Road,,17655873
39,4,4,182805138,640658740,Chester River Beach Road,,91545479
40,4,4,182805138,640658728,Chester River Beach Road,,91545479
41,1,1,640596487,640596506,Blue Star Memorial Highway,,505707335
42,6,6,640596487,1063422309,noname,,50417354
43,1,1,182805178,182805187,Blue Star Memorial Highway,,131947781
44,6,6,182805178,182805471,noname,,154195532
45,2,2,182805179,1661250080,Centreville Road,,30778957
46,2,2,182805179,182805188,Centreville Road,,30778957
47,6,6,182805179,1661249644,noname,,154195527
48,6,6,182805187,182805188,noname,,154195535
49,1,1,182805187,640782532,Blue Star Memorial Highway,,131947781
50,2,2,182805188,640782520,Centreville Road,,17653619
51,2,2,182805188,182805179,Centreville Road,,30778958
52,1,1,2391073646,2017166530,Ocean Gateway,,131941632
53,4,4,182813566,182813575,Batts Neck Road,,17651981
54,4,4,182813566,182813649,Batts Neck Road,,17651985
55,4,4,182813566,182813587,Batts Neck Road,,17651985
56,4,4,182813566,1989622971,Batts Neck Road,,17651981
57,3,3,182813575,182813649,Romancoke Road,,114575648
58,3,3,182813575,182813587,Romancoke Road,,114575648
59,4,4,182813575,182813566,Batts Neck Road,,17651981
60,3,3,182813587,182853914,Romancoke Road,,114575648
61,4,4,182813587,182813566,Batts Neck Road,,17651985
62,3,3,182813587,182813575,Romancoke Road,,114575648
63,4,4,182854609,182856544,Long Point Road,,91602427
64,2,2,182805471,640782520,Centreville Road,,17653619
65,2,2,182805471,182806760,Centreville Road,,17653619
66,1,1,182846504,4131101408,Blue Star Memorial Highway,,91546139
67,3,3,182846504,182807058,Hope Road,,17655950
68,3,3,1847632957,1063455269,Main Street,,505707257
69,3,3,1847632957,640660639,Main Street,,174016987
70,4,4,182805640,182850688,Bennett Point Road,,17657355
71,3,3,2462393495,2462393501,Nesbit Road,,238394181
72,3,3,2462393495,2462393501,Nesbit Road,,238394181
73,3,3,2462393495,182849191,Nesbit Road,,17657099
74,3,3,2462393501,182866184,Nesbit Road,,238394178
75,3,3,2462393501,2462393495,Nesbit Road,,238394181
76,3,3,2462393501,2462393495,Nesbit Road,,238394181
77,2,2,182822072,182806760,Centreville Road,,17653619
78,2,2,182822072,1037749605,Centreville Road,,17653619
79,3,3,182822072,1661249174,Starr Road,,319272790
80,1,1,2017166530,797784674,Ocean Gateway,,131941632
81,6,6,2017166530,2017166538,noname,,191138899
82,1,1,2017166538,182820522,Ocean Gateway,,17652607
83,1,1,2017166559,1540749672,Ocean Gateway,,131941632
84,6,6,2017166559,797784811,noname,,191138898
85,1,1,2017166587,640712580,Ocean Gateway,,65250814
86,1,1,2017166591,2017166587,Ocean Gateway,,65250814
87,6,6,2017166591,2017166587,noname,,191138890
88,1,1,2017166695,640712527,Ocean Gateway,,131941632
89,6,6,182805879,640685745,noname,,50418870
90,4,4,182805879,182859652,Winchester Creek Road,,17656284
91,4,4,182805879,640685876,Winchester Creek Road,,17656284
92,3,3,1063451541,182804802,Dominion Road,,91543773
93,3,3,1063451541,1063452474,Dominion Road,,91543773
94,6,6,1063451541,1063451549,noname,,91543147
95,1,1,640616002,640629360,Blue Star Memorial Highway,,50417358
96,1,1,640615889,640616070,Blue Star Memorial Highway,,50417998
97,4,4,640615882,3605815180,Piney Creek Road,,17655797
98,4,4,182855141,182822612,Love Point Road,,91537554
99,4,4,640615933,182855738,Chester Station Lane,,17655938
100,6,6,640615933,640615951,noname,,50417794
101,1,1,640615951,640616269,Blue Star Memorial Highway,,50417998
102,1,1,640615970,640616002,Blue Star Memorial Highway,,50417358
103,6,6,640615970,640615989,noname,,50417796
104,1,1,640616010,640615889,Blue Star Memorial Highway,,50417998
105,6,6,640616010,640615882,noname,,50417798
106,1,1,640616037,640616066,Blue Star Memorial Highway,,50417358
107,6,6,640616037,640616047,noname,,50417799
108,3,3,182814315,182814311,Broadway,,17652063
109,3,3,182814315,182814329,Broadway,,17652063
110,2,2,182814315,182813295,North Liberty Street,,17656343
111,3,3,182814329,182814315,Broadway,,17652063
112,3,3,182814329,182813299,Chesterfield Avenue,,17655390
113,3,3,182814329,182819367,Chesterfield Avenue,,17655390
114,1,1,640616066,640615970,Blue Star Memorial Highway,,50417358
115,6,6,182806161,640686057,noname,,50418882
116,4,4,182806161,182831143,Station Lane,,17653500
117,3,3,1661249174,182822072,Starr Road,,319272790
118,3,3,1661249174,777822777,Starr Road,,319272790
119,6,6,640616047,640616066,noname,,50417800
120,3,3,640616047,1063451557,Dominion Road,,91543773
121,4,4,182853914,182853768,Kent Point Road,,17655561
122,4,4,182853914,182860883,Romancoke Road,,17656382
123,3,3,182853914,182813587,Romancoke Road,,114575648
124,1,1,640616104,640616138,Blue Star Memorial Highway,,50417358
125,6,6,640616104,182850363,noname,,50417802
126,1,1,640616138,640616037,Blue Star Memorial Highway,,50417358
127,4,4,182822612,182822666,Old Love Point Road,,17652727
128,3,3,182822612,182855141,Love Point Road,,44625998
129,3,3,182822612,182843639,Love Point Road,,44625998
130,4,4,640616152,640616505,Postal Road,,17656783
131,4,4,640616152,182850363,Postal Road,,17656783
132,4,4,640616152,640616155,noname,,50417805
133,3,3,640616155,640616240,Main Street,,174016988
134,3,3,640616155,1063451563,Main Street,,174016988
135,3,3,182847214,182859099,Wye Mills Road,,435743580
136,3,3,182847214,1037749643,College Drive,,65250829
137,3,3,182847214,183387909,College Drive,,17656183
138,1,1,182806265,182805178,Blue Star Memorial Highway,,131947781
139,3,3,182806265,640782047,4-H Park Road,,17651011
140,3,3,182806268,4429093890,4-H Park Road,,17651011
141,3,3,182806268,1063458925,4-H Park Road,,17653342
142,3,3,182806268,182852399,Main Street,,17655377
143,3,3,183387909,183218562,Old Wye Mills Road,,17699243
144,3,3,183387909,2440989797,Queen Anne Highway,,17703596
145,3,3,183387909,182847214,Wye Mills Queen Anne Road,,17702374
146,4,4,182822666,182822675,Old Love Point Road,,17652724
147,4,4,182822666,182822612,Old Love Point Road,,17652727
148,4,4,182822666,182843639,Lots Road,,17654476
149,4,4,182822675,182837290,Love Point Road,,50417356
150,4,4,182822675,182827571,Love Point Road,,50417356
151,4,4,182822675,182822666,Old Love Point Road,,17652724
152,1,1,182814510,182820747,Ocean Gateway,,17652607
153,6,6,182814510,2017166695,noname,,191292529
154,4,4,640616240,640616505,Postal Road,,17656783
155,3,3,640616240,1063451651,Main Street,,174016988
156,3,3,640616240,640616155,Main Street,,174016988
157,6,6,640616269,640616276,noname,,50417808
158,1,1,640616269,640616284,Blue Star Memorial Highway,,50417998
159,6,6,640713016,182866184,noname,,50420065
160,1,1,640713016,640686662,Blue Star Memorial Highway,,50417987
161,4,4,640616276,1063455290,Castle Marina Road,,44625999
162,6,6,640616276,640616284,noname,,50417809
163,6,6,640616320,640616329,noname,,50417811
164,6,6,640616320,640616364,noname,,50417812
165,6,6,640616329,640616332,noname,,50417811
166,6,6,640616329,640616332,noname,,50417813
167,6,6,640616332,640596564,noname,,50417811
168,3,3,1063455733,640658728,Chester River Beach Road,,17656867
169,3,3,1063455733,182807817,Chester River Beach Road,,17656867
170,6,6,1063455733,640658816,noname,,91545048
171,3,3,640616439,1063451651,Main Street,,30779269
172,3,3,640616439,1063442822,Main Street,,30779269
173,4,4,640616439,182855738,Piney Creek Road,,91543143
174,3,3,5112003583,5112003584,Ruthsburg Road,,525483997
175,3,3,5112003583,5112003572,Ruthsburg Road,,525484007
176,3,3,5112003583,5112003581,Ruthsburg Road,,525483996
177,4,4,182822938,182850363,Cox Neck Road,,356313268
178,1,1,1661249571,640782047,Blue Star Memorial Highway,,91546139
179,1,1,183355429,183353712,Ocean Gateway,,131941629
