id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category
1,1,1,1,1000,60,,3
2,1,2,1,1000,60,,3
3,1,3,1,1000,60,,3
4,1,4,1,1000,60,,3
5,1,5,1,1000,60,,3
6,1,6,1,1000,60,,3
7,1,7,1,1000,60,,3
8,1,8,1,1000,60,,3
9,1,9,1,1000,60,,3
10,1,10,1,1000,60,,3
11,2,1,1,1000,60,,4
12,2,2,1,1000,60,,4
13,2,3,1,1000,60,,4
14,2,4,1,1000,60,,4
15,2,5,1,1000,60,,4
16,2,6,1,1000,60,,4
17,2,7,1,1000,60,,4
18,2,8,1,1000,60,,4
19,2,9,1,1000,60,,4
20,3,1,1,1000,60,,3
21,3,2,1,1000,60,,3
22,3,3,1,1000,60,,3
23,3,4,1,1000,60,,3
24,3,5,1,1000,60,,3
25,4,1,3,1000,55,,1
26,4,2,3,1000,55,,1
27,4,3,3,1000,55,,1
28,5,1,1,1000,60,,6
29,5,2,1,1000,60,,6
30,5,3,1,1000,60,,6
31,5,4,1,1000,60,,6
32,5,5,1,1000,60,,6
33,6,1,3,1000,55,,1
34,6,2,3,1000,55,,1
35,7,1,2,1000,60,,1
36,7,2,2,1000,60,,1
37,7,3,2,1000,60,,1
38,7,4,2,1000,60,,1
39,7,5,2,1000,60,,1
40,7,6,2,1000,60,,1
41,7,7,2,1000,60,,1
42,7,8,2,1000,60,,1
43,7,9,2,1000,60,,1
44,7,10,2,1000,60,,1
45,7,11,2,1000,60,,1
46,7,12,2,1000,60,,1
47,7,13,2,1000,60,,1
48,7,14,2,1000,60,,1
49,7,15,2,1000,60,,1
50,7,16,2,1000,60,,1
51,7,17,2,1000,60,,1
52,7,18,2,1000,60,,1
53,7,19,2,1000,60,,1
54,8,1,2,1000,45,,1
55,8,2,2,1000,45,,1
56,8,3,2,1000,45,,1
57,8,4,2,1000,45,,1
58,8,5,2,1000,45,,1
59,9,1,1,1000,60,,4
60,9,2,1,1000,60,,4
61,9,3,1,1000,60,,4
62,9,4,1,1000,60,,4
63,9,5,1,1000,60,,4
64,9,6,1,1000,60,,4
65,9,7,1,1000,60,,4
66,9,8,1,1000,60,,4
67,9,9,1,1000,60,,4
68,9,10,1,1000,60,,4
69,9,11,1,1000,60,,4
70,9,12,1,1000,60,,4
71,9,13,1,1000,60,,4
72,9,14,1,1000,60,,4
73,9,15,1,1000,60,,4
74,9,16,1,1000,60,,4
75,9,17,1,1000,60,,4
