id,x,y,z,seq_id
1,-76.313589184008777,38.979363762996975,0,0
1,-76.3155643,38.9796874,0,1
2,-76.3155643,38.9796874,0,0
2,-76.3157762,38.979727,0,1
2,-76.3159774,38.9798021,0,2
3,-76.3159774,38.9798021,0,0
3,-76.3161195,38.9798844,0,1
3,-76.3162268,38.9799616,0,2
4,-76.3162268,38.9799616,0,0
4,-76.3163314,38.9800721,0,1
4,-76.3163971,38.9801795,0,2
5,-76.3163971,38.9801795,0,0
5,-76.3164414,38.9802889,0,1
5,-76.3165098,38.9805151,0,2
6,-76.3165098,38.9805151,0,0
6,-76.3165728,38.9806726,0,1
6,-76.3166841,38.9808581,0,2
7,-76.3166841,38.9808581,0,0
7,-76.3168209,38.9810322,0,1
8,-76.3168209,38.9810322,0,0
8,-76.3175411,38.9817797,0,1
9,-76.3175411,38.9817797,0,0
9,-76.3180959,38.982357,0,1
10,-76.3180959,38.982357,0,0
10,-76.318289867618134,38.982562377478025,0,1
11,-76.313567561257912,38.979386212205327,0,0
11,-76.3135914,38.9794207,0,1
11,-76.3136625,38.9795062,0,2
11,-76.3147233,38.9804997,0,3
12,-76.3147233,38.9804997,0,0
12,-76.3150237,38.9807979,0,1
13,-76.3150237,38.9807979,0,0
13,-76.3149688,38.980923,0,1
13,-76.3149191,38.980997,0,2
14,-76.3149191,38.980997,0,0
14,-76.3142875,38.9815464,0,1
15,-76.3142875,38.9815464,0,0
15,-76.3134117,38.982322,0,1
16,-76.3134117,38.982322,0,0
16,-76.3119016,38.9836627,0,1
17,-76.3119016,38.9836627,0,0
17,-76.3113598,38.9841464,0,1
18,-76.3113598,38.9841464,0,0
18,-76.3112129,38.98428,0,1
18,-76.3103165,38.9850804,0,2
19,-76.3103165,38.9850804,0,0
19,-76.310126,38.9852691,0,1
19,-76.310037532922536,38.985398134853334,0,2
20,-76.313506002390554,38.979348149012708,0,0
20,-76.313149,38.9792725,0,1
21,-76.313149,38.9792725,0,0
21,-76.3118253,38.9789503,0,1
22,-76.3118253,38.9789503,0,0
22,-76.3114766,38.9788659,0,1
23,-76.3114766,38.9788659,0,0
23,-76.3109269,38.9787288,0,1
24,-76.3109269,38.9787288,0,0
24,-76.31035465967139,38.978586159996389,0,1
25,-76.182728703026015,38.968962854898692,0,0
25,-76.1831044,38.9688016,0,1
26,-76.1831044,38.9688016,0,0
26,-76.1847888,38.9681593,0,1
27,-76.1847888,38.9681593,0,0
27,-76.187260875644782,38.967296193100999,0,1
