id,from_lane,to_lane,group_id,max_speed,tags
18988,1000,494900,1078,60,
18990,1000,495300,1080,60,
18989,1000,495000,1079,60,
16986,1900,190700,350,30,
16985,1900,189700,349,60,
16984,1900,188800,348,60,
18759,2400,446600,981,60,
18761,2400,447300,983,60,
18760,2400,447100,982,60,
16128,2700,3302,12,55,
16126,2700,3300,12,55,
16127,2700,3301,12,55,
16131,2701,3302,12,55,
16130,2701,3301,12,55,
16129,2701,3300,12,55,
16132,2702,3300,12,55,
16133,2702,3301,12,55,
16134,2702,3302,12,55,
19103,3200,523300,1115,60,
18911,3400,487300,1037,55,
18920,3400,487400,1038,55,
18913,3400,487302,1037,55,
18912,3400,487301,1037,55,
18916,3401,487302,1037,55,
18915,3401,487301,1037,55,
18921,3401,487400,1038,55,
18914,3401,487300,1037,55,
18922,3402,487400,1038,55,
18919,3402,487302,1037,55,
18917,3402,487300,1037,55,
18918,3402,487301,1037,55,
17850,5800,277900,647,45,
17851,5800,277901,647,45,
17844,5800,277800,646,45,
17842,5800,277300,645,45,
17845,5800,277801,646,45,
17846,5800,277802,646,45,
17843,5801,277300,645,45,
17852,5801,277900,647,45,
17853,5801,277901,647,45,
17849,5801,277802,646,45,
17848,5801,277801,646,45,
17847,5801,277800,646,45,
16772,13900,132000,275,60,
16771,13900,123900,274,60,
16773,13900,134700,276,60,
17602,14000,263100,583,55,
17606,14000,263200,584,55,
17603,14000,263101,583,55,
17604,14001,263100,583,55,
17605,14001,263101,583,55,
17607,14001,263200,584,55,
17556,14200,260700,559,60,
19842,14300,574700,1396,60,
19311,14600,537200,1186,60,
19310,14600,537100,1185,60,
18353,15400,345001,811,60,
18350,15400,344400,810,60,
18357,15400,345801,812,60,
18356,15400,345800,812,60,
18352,15400,345000,811,60,
18355,15401,345001,811,60,
18359,15401,345801,812,60,
18354,15401,345000,811,60,
18351,15401,344400,810,60,
18358,15401,345800,812,60,
19642,16600,559201,1289,60,
19641,16600,559200,1289,60,
19645,16600,559300,1290,60,
19646,16600,559301,1290,60,
19643,16601,559200,1289,60,
19644,16601,559201,1289,60,
19648,16601,559301,1290,60,
19647,16601,559300,1290,60,
18668,17000,400000,919,60,
18669,17000,400200,920,60,
18416,18100,350001,827,60,
18420,18100,350801,828,60,
18423,18100,351900,829,60,
18419,18100,350800,828,60,
18424,18100,351901,829,60,
18415,18100,350000,827,60,
18421,18101,350800,828,60,
18426,18101,351901,829,60,
18418,18101,350001,827,60,
18422,18101,350801,828,60,
18425,18101,351900,829,60,
18417,18101,350000,827,60,
20046,18200,621301,1500,55,
20045,18200,621300,1500,55,
19588,23000,556800,1267,40,
19593,23000,557401,1268,40,
19589,23000,556801,1267,40,
19592,23000,557400,1268,40,
19586,23000,556400,1266,40,
19590,23001,556800,1267,40,
19594,23001,557400,1268,40,
