id,nodeid,from_link,to_link,phases,rules,visibility,tags
1080,1063435937,1,483,,,,
1079,1063435937,1,482,,,,
1078,1063435937,1,481,,,,
349,182822675,2,150,,,,
350,182822675,2,151,,,,
348,182822675,2,149,,,,
981,182817935,3,442,,,,
982,182817935,3,443,,,,
983,182817935,3,444,,,,
12,640712792,4,6,,,,
1115,182859939,5,497,,,,
1037,640685807,6,465,,,,
1038,640685807,6,466,,,,
645,2440989805,8,289,,,,
646,2440989805,8,290,,,,
647,2440989805,8,291,,,,
274,182853914,9,121,,,,
276,182853914,9,123,,,,
275,182853914,9,122,,,,
583,640723780,10,259,,,,
584,640723780,10,260,,,,
559,640723661,11,245,,,,
1396,640596498,12,623,,,,
1186,640596475,13,533,,,,
1185,640596475,13,532,,,,
812,182849344,14,364,,,,
810,182849344,14,362,,,,
811,182849344,14,363,,,,
1290,1063451549,15,577,,,,
1289,1063451549,15,576,,,,
919,640615989,16,413,,,,
920,640615989,16,414,,,,
829,182849432,17,373,,,,
827,182849432,17,371,,,,
828,182849432,17,372,,,,
1500,640712416,18,673,,,,
1267,182848928,20,569,,,,
1268,182848928,20,570,,,,
1266,182848928,20,568,,,,
798,182849293,21,357,,,,
800,182849293,21,359,,,,
799,182849293,21,358,,,,
1233,640659239,22,556,,,,
217,1063451541,23,94,,,,
216,1063451541,23,93,,,,
215,1063451541,23,92,,,,
1299,1063451563,24,581,,,,
1300,1063451563,24,582,,,,
1294,1063451557,25,579,,,,
1295,1063451557,25,580,,,,
1293,1063451557,25,578,,,,
1287,1063451549,26,576,,,,
1288,1063451549,26,577,,,,
990,183358910,27,445,,,,
992,183358910,27,447,,,,
991,183358910,27,446,,,,
1158,1540749672,28,515,,,,
1160,1540749672,28,517,,,,
1159,1540749672,28,516,,,,
678,182831589,29,308,,,,
677,182831589,29,307,,,,
676,182831589,29,306,,,,
23,182812864,30,12,,,,
24,182812864,30,13,,,,
1397,640596498,31,623,,,,
852,640782450,32,381,,,,
853,640782450,32,382,,,,
267,1661249174,33,118,,,,
266,1661249174,33,117,,,,
758,182813292,34,343,,,,
757,182813292,34,342,,,,
937,1311880215,35,424,,,,
938,1311880215,35,425,,,,
253,182814329,36,112,,,,
254,182814329,36,113,,,,
252,182814329,36,111,,,,
82,182813295,37,35,,,,
81,182813295,37,34,,,,
598,182856544,38,266,,,,
599,182856544,38,267,,,,
597,182856544,38,265,,,,
664,640658740,39,303,,,,
666,640658740,39,305,,,,
665,640658740,39,304,,,,
658,640658728,40,300,,,,
659,640658728,40,301,,,,
660,640658728,40,302,,,,
1190,640596506,41,534,,,,
734,1063422309,42,331,,,,
735,1063422309,42,332,,,,
107,182805187,43,48,,,,
108,182805187,43,49,,,,
157,182805471,44,65,,,,
156,182805471,44,64,,,,
517,1661250080,45,227,,,,
516,1661250080,45,226,,,,
114,182805188,46,51,,,,
113,182805188,46,50,,,,
449,1661249644,47,193,,,,
109,182805188,48,50,,,,
110,182805188,48,51,,,,
862,640782532,49,387,,,,
855,640782520,50,384,,,,
856,640782520,50,385,,,,
854,640782520,50,383,,,,
104,182805179,51,45,,,,
106,182805179,51,47,,,,
105,182805179,51,46,,,,
194,2017166530,52,80,,,,
195,2017166530,52,81,,,,
141,182813575,53,59,,,,
140,182813575,53,58,,,,
139,182813575,53,57,,,,
1031,182813649,54,462,,,,
1032,182813649,54,463,,,,
1033,182813649,54,464,,,,
147,182813587,55,62,,,,
146,182813587,55,61,,,,
145,182813587,55,60,,,,
1407,1989622971,56,627,,,,
1035,182813649,57,463,,,,
1036,182813649,57,464,,,,
1034,182813649,57,462,,,,
150,182813587,58,62,,,,
148,182813587,58,60,,,,
149,182813587,58,61,,,,
132,182813566,59,56,,,,
130,182813566,59,54,,,,
129,182813566,59,53,,,,
131,182813566,59,55,,,,
280,182853914,60,121,,,,
