,id,index_righ,shape_id,from_node,to_node,ends,geometry
0,1,9,R3c,97,298,97_298,"LINESTRING (459475.1223344753 145938.9825573768, 459303.719219659 145973.6234444505)"
1,2,9,R3c,298,299,298_299,"LINESTRING (459303.719219659 145973.6234444505, 459285.3262956764 145977.8816701985, 459267.8309588504 145986.0876196048)"
2,3,9,R3c,299,300,299_300,"LINESTRING (459267.8309588504 145986.0876196048, 459255.4503490705 145995.1312155483, 459246.0892260611 146003.6312819283)"
3,4,9,R3c,300,301,300_301,"LINESTRING (459246.0892260611 146003.6312819283, 459236.93437808 146015.8296314259, 459231.1525840246 146027.7091102658)"
4,5,9,R3c,301,302,301_302,"LINESTRING (459231.1525840246 146027.7091102658, 459227.2233220802 146039.8244907352, 459221.1088825352 146064.8898113362)"
5,6,9,R3c,302,303,302_303,"LINESTRING (459221.1088825352 146064.8898113362, 459215.519448071 146082.3324857967, 459205.7219078194 146102.8520238531)"
6,7,9,R3c,303,304,303_304,"LINESTRING (459205.7219078194 146102.8520238531, 459193.7244947154 146122.089564108)"
7,8,9,R3c,304,305,304_305,"LINESTRING (459193.7244947154 146122.089564108, 459130.7039368385 146204.6002815356)"
8,9,9,R3c,305,306,305_306,"LINESTRING (459130.7039368385 146204.6002815356, 459082.1562527522 146268.325212015)"
9,10,9,R3c,306,1,306_1,"LINESTRING (459082.1562527522 146268.325212015, 459065.1803935594 146290.9979645209)"
10,11,9,R3c,97,307,97_307,"LINESTRING (459476.9770970112 145941.488654425, 459474.8828055639 145945.3014946596, 459468.6509992442 145954.7462364067, 459375.9103669505 146064.3407710496)"
11,16,9,R3c,311,312,311_312,"LINESTRING (459488.0305716945 146267.4820188548, 459617.7457837982 146417.2937431909)"
12,17,9,R3c,312,313,312_313,"LINESTRING (459617.7457837982 146417.2937431909, 459664.2821037996 146471.3416296701)"
13,18,9,R3c,313,314,313_314,"LINESTRING (459664.2821037996 146471.3416296701, 459676.8974832779 146486.2681392173, 459753.8893298707 146575.7042378626)"
14,19,9,R3c,314,2,314_2,"LINESTRING (459753.8893298707 146575.7042378626, 459770.2355551356 146596.7759061268, 459777.7918779374 146611.1575615295)"
15,20,9,R3c,97,315,97_315,"LINESTRING (459482.3426324514 145937.3034993856, 459513.3382614908 145929.1386413073)"
16,21,9,R3c,315,316,315_316,"LINESTRING (459513.3382614908 145929.1386413073, 459628.2998896462 145894.236119792)"
17,22,9,R3c,316,317,316_317,"LINESTRING (459628.2998896462 145894.236119792, 459658.5838038742 145885.0949918226)"
18,23,9,R3c,317,318,317_318,"LINESTRING (459658.5838038742 145885.0949918226, 459706.3277125187 145870.2353788899)"
19,24,9,R3c,318,3,318_3,"LINESTRING (459706.3277125187 145870.2353788899, 459756.0294735768 145854.7758323805)"
20,25,9,R3c,282,319,282_319,"LINESTRING (470823.7881409305 144877.8115689571, 470791.391727072 144859.620057868)"
21,26,9,R3c,319,320,319_320,"LINESTRING (470791.391727072 144859.620057868, 470646.0638341713 144787.0166735782)"
22,27,9,R3c,320,4,320_4,"LINESTRING (470646.0638341713 144787.0166735782, 470432.6928578304 144689.2972754483)"
23,28,9,R3c,282,321,282_321,"LINESTRING (470823.107942791 144879.2438286598, 470779.2781840677 144862.2981152298)"
24,29,9,R3c,321,322,321_322,"LINESTRING (470779.2781840677 144862.2981152298, 470747.2769232166 144854.140972068)"
25,30,9,R3c,322,323,322_323,"LINESTRING (470747.2769232166 144854.140972068, 470718.0200710587 144850.1715132406)"
26,31,9,R3c,323,324,323_324,"LINESTRING (470718.0200710587 144850.1715132406, 470698.0038705457 144853.7004686905)"
