,stop_id,segment_id,from_node,to_node,distance,str_end_nodes
14,16,3572,1720,1721,31.522039414715486,1720_1721
17,19,2302,181,1178,61.92133350326848,181_1178
0,22,5769,2777,2778,64.42568884580363,2777_2778
1,9,5594,2711,2712,65.20426578447103,2711_2712
2,13,2114,1058,1059,69.09737429123932,1058_1059
10,26,6087,2826,2827,81.25269813925803,2826_2827
11,1,1972,981,982,85.5138896859395,981_982
12,18,5474,2635,2636,88.5992677745329,2635_2636
20,14,6120,2847,2848,90.98529639914916,2847_2848
15,12,3578,1726,1727,98.26118936415725,1726_1727
8,17,2329,1199,1200,100.01531571406136,1199_1200
9,25,3311,1543,1544,109.22202116877749,1543_1544
13,23,5288,2512,2513,182.26011183127923,2512_2513
16,11,2539,1233,1234,192.77168298916527,1233_1234
