trip_id,shape_id,stop_segments,path_segments,stops
Annapolis AM1_T01,R3a,"[2330, 2302]","[2330, 1102, 1103, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 4164, 4165, 3386, 3387, 3388, 3389, 3390, 3391, 3392, 3393, 3394, 3395, 3999, 5207, 5208, 5209, 5210, 5211, 5212, 5213, 5214, 5215, 5216, 5217, 5218, 5219, 5220, 5221, 5222, 5223, 5224, 5225, 5226, 5227, 5228, 5229, 5230, 2510, 2511, 2512, 2513, 2514, 2515, 2516, 2517, 2518, 2198, 2199, 2200, 2201, 2202, 2070, 2071, 2072, 2073, 2074, 2075, 2076, 2077, 2078, 2079, 2080, 2081, 2082, 2083, 2084, 2085, 2086, 2087, 2088, 2089, 2090, 3406, 2628, 2633, 140, 2631, 2653, 2654, 2655, 2656, 2657, 5545, 5546, 6248, 6262, 2302]","[17, 19]"
Annapolis AM1_T01,R3a,"[3565, 3572]","[3565, 3566, 3567, 3568, 3569, 3570, 3571, 3572]","[22, 16]"
Annapolis AM2_T01,R3b,"[2330, 3081, 5474]","[2330, 1102, 1103, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 4164, 4165, 3386, 3387, 3388, 3389, 3390, 3391, 3392, 3393, 3394, 3395, 3998, 5055, 5056, 5057, 5058, 5059, 5060, 5061, 5062, 5063, 5064, 5065, 5066, 5067, 5068, 5069, 5070, 5071, 5072, 5073, 5074, 5075, 5076, 5077, 5078, 5079, 5080, 5081, 5082, 5083, 5084, 5085, 5086, 5087, 5088, 5089, 5090, 5091, 5092, 5093, 5094, 5095, 5096, 5097, 5098, 5099, 5100, 5101, 5102, 5103, 5104, 5105, 5106, 5107, 5108, 5109, 5110, 5111, 5112, 5113, 5114, 5115, 5116, 5117, 5118, 5119, 5120, 5121, 5122, 5123, 5124, 5125, 5126, 5127, 5128, 5129, 5130, 5131, 5132, 5133, 5134, 5135, 5136, 5137, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5145, 5146, 5147, 5148, 5149, 5150, 5151, 5152, 5153, 5154, 5155, 5156, 5157, 5158, 5159, 5160, 5161, 5162, 5163, 5164, 5165, 5166, 5167, 5168, 5169, 5170, 5171, 5172, 5173, 5174, 5175, 5176, 5177, 5178, 5179, 5180, 5181, 5182, 5183, 5184, 5185, 5186, 5187, 5188, 5189, 5190, 5191, 5192, 5193, 5194, 5195, 5196, 5197, 5198, 5199, 5200, 5201, 5202, 5203, 5204, 5205, 1565, 5850, 5851, 5852, 5853, 5854, 3406, 2628, 2633, 140, 2631, 2653, 2654, 2655, 2656, 2657, 5544, 6271, 6232, 6213, 6214, 6215, 6216, 6217, 6218, 6219, 6220, 6221, 6222, 6223, 6224, 6225, 6226, 6227, 6237, 6238, 6239, 6240, 6241, 6242, 6243, 6244, 6245, 6246, 28, 29, 30, 31, 32, 5233, 5580, 5581, 5582, 3706, 853, 854, 851, 4973, 4974, 4975, 4976, 4977, 4978, 4979, 4980, 4981, 4982, 4983, 4984, 4985, 4986, 4987, 4988, 4989, 3073, 3074, 3075, 3076, 3077, 3078, 3079, 3080, 3081, 3082, 2103, 2104, 2105, 2106, 2107, 2108, 2109, 2110, 2111, 2992, 2993, 2994, 2995, 2996, 2997, 5564, 5565, 5566, 5567, 5666, 2844, 1990, 1991, 1992, 1993, 2851, 2852, 2853, 2854, 2855, 2856, 3070, 3071, 5672, 3106, 3107, 3108, 3109, 3477, 3532, 3533, 3534, 3535, 3536, 3537, 3538, 3539, 3540, 3541, 3542, 3543, 3544, 3545, 3546, 5276, 5277, 5278, 5279, 5302, 5303, 1090, 1035, 1036, 1037, 1038, 1039, 5675, 1082, 1083, 1084, 1085, 1951, 1952, 1953, 1954, 2679, 2680, 2681, 2682, 2683, 2684, 2685, 2686, 2687, 2688, 2689, 2690, 2691, 2692, 2693, 2694, 2695, 2696, 2697, 2698, 2665, 2666, 2667, 2668, 6231, 5589, 5590, 5591, 5378, 5379, 5380, 2209, 2210, 2211, 2214, 2215, 2216, 2217, 2218, 5997, 5998, 6006, 4991, 4992, 4993, 3124, 6103, 6153, 6154, 6155, 6156, 6157, 6158, 6159, 6160, 6161, 5466, 5467, 5468, 5469, 5470, 5471, 5472, 5473, 5474]","[17, 13, 18]"
Annapolis AM2_T01,R3b,"[3565, 5474]","[3565, 3566, 3567, 3568, 3569, 3570, 3571, 3572, 3573, 3574, 3575, 3576, 3577, 3578, 3579, 3580, 5753, 5754, 5755, 5756, 5757, 5758, 5759, 5760, 5761, 5762, 5763, 5764, 5765, 5766, 5767, 5768, 5769, 5770, 5771, 5772, 3560, 256, 144, 145, 146, 5371, 2214, 2215, 2216, 2217, 2218, 5997, 5998, 6006, 4991, 4992, 4993, 3124, 6103, 6153, 6154, 6155, 6156, 6157, 6158, 6159, 6160, 6161, 5466, 5467, 5468, 5469, 5470, 5471, 5472, 5473, 5474]","[22, 18]"
Annapolis PM1_T01,R3c,"[2330, 3081, 5474]","[2330, 1102, 1103, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 4164, 4165, 3386, 3387, 3388, 3389, 3390, 3391, 3392, 3393, 3394, 3395, 3998, 5055, 5056, 5057, 5058, 5059, 5060, 5061, 5062, 5063, 5064, 5065, 5066, 5067, 5068, 5069, 5070, 5071, 5072, 5073, 5074, 5075, 5076, 5077, 5078, 5079, 5080, 5081, 5082, 5083, 5084, 5085, 5086, 5087, 5088, 5089, 5090, 5091, 5092, 5093, 5094, 5095, 5096, 5097, 5098, 5099, 5100, 5101, 5102, 5103, 5104, 5105, 5106, 5107, 5108, 5109, 5110, 5111, 5112, 5113, 5114, 5115, 5116, 5117, 5118, 5119, 5120, 5121, 5122, 5123, 5124, 5125, 5126, 5127, 5128, 5129, 5130, 5131, 5132, 5133, 5134, 5135, 5136, 5137, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5145, 5146, 5147, 5148, 5149, 5150, 5151, 5152, 5153, 5154, 5155, 5156, 5157, 5158, 5159, 5160, 5161, 5162, 5163, 5164, 5165, 5166, 5167, 5168, 5169, 5170, 5171, 5172, 5173, 5174, 5175, 5176, 5177, 5178, 5179, 5180, 5181, 5182, 5183, 5184, 5185, 5186, 5187, 5188, 5189, 5190, 5191, 5192, 5193, 5194, 5195, 5196, 5197, 5198, 5199, 5200, 5201, 5202, 5203, 5204, 5205, 1565, 5850, 5851, 5852, 5853, 5854, 3406, 2628, 2633, 140, 2631, 2653, 2654, 2655, 2656, 2657, 5544, 6271, 6232, 6213, 6214, 6215, 6216, 6217, 6218, 6219, 6220, 6221, 6222, 6223, 6224, 6225, 6226, 6227, 6237, 6238, 6239, 6240, 6241, 6242, 6243, 6244, 6245, 6246, 28, 29, 30, 31, 32, 5233, 5580, 5581, 5582, 3706, 853, 854, 851, 4973, 4974, 4975, 4976, 4977, 4978, 4979, 4980, 4981, 4982, 4983, 4984, 4985, 4986, 4987, 4988, 4989, 3073, 3074, 3075, 3076, 3077, 3078, 3079, 3080, 3081, 3082, 2103, 2104, 2105, 2106, 2107, 2108, 2109, 2110, 2111, 2992, 2993, 2994, 2995, 2996, 2997, 5564, 5565, 5566, 5567, 5666, 2844, 1990, 1991, 1992, 1993, 2851, 2852, 2853, 2854, 2855, 2856, 3070, 3071, 5672, 3106, 3107, 3108, 3109, 3477, 3532, 3533, 3534, 3535, 3536, 3537, 3538, 3539, 3540, 3541, 3542, 3543, 3544, 3545, 3546, 5276, 5277, 5278, 5279, 5302, 5303, 1090, 1035, 1036, 1037, 1038, 1039, 5675, 1082, 1083, 1084, 1085, 1951, 1952, 1953, 1954, 2679, 2680, 2681, 2682, 2683, 2684, 2685, 2686, 2687, 2688, 2689, 2690, 2691, 2692, 2693, 2694, 2695, 2696, 2697, 2698, 2665, 2666, 2667, 2668, 6231, 5589, 5590, 5591, 5378, 5379, 5380, 2209, 2210, 2211, 2214, 2215, 2216, 2217, 2218, 5997, 5998, 6006, 4991, 4992, 4993, 3124, 6103, 6153, 6154, 6155, 6156, 6157, 6158, 6159, 6160, 6161, 5466, 5467, 5468, 5469, 5470, 5471, 5472, 5473, 5474]","[17, 13, 18]"
Annapolis PM1_T01,R3c,"[3565, 5474]","[3565, 3566, 3567, 3568, 3569, 3570, 3571, 3572, 3573, 3574, 3575, 3576, 3577, 3578, 3579, 3580, 5753, 5754, 5755, 5756, 5757, 5758, 5759, 5760, 5761, 5762, 5763, 5764, 5765, 5766, 5767, 5768, 5769, 5770, 5771, 5772, 3560, 256, 144, 145, 146, 5371, 2214, 2215, 2216, 2217, 2218, 5997, 5998, 6006, 4991, 4992, 4993, 3124, 6103, 6153, 6154, 6155, 6156, 6157, 6158, 6159, 6160, 6161, 5466, 5467, 5468, 5469, 5470, 5471, 5472, 5473, 5474]","[22, 18]"
Annapolis PM2_T01,R3d,"[2330, 3565]","[2330, 1102, 1103, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 4164, 4165, 3386, 3387, 3388, 3389, 3390, 3391, 3392, 3393, 3394, 3395, 3998, 5055, 5056, 5057, 5058, 5059, 5060, 5061, 5062, 5063, 5064, 5065, 5066, 5067, 5068, 5069, 5070, 5071, 5072, 5073, 5074, 5075, 5076, 5077, 5078, 5079, 5080, 5081, 5082, 5083, 5084, 5085, 5086, 5087, 5088, 5089, 5090, 5091, 5092, 5093, 5094, 5095, 5096, 5097, 5098, 5099, 5100, 5101, 5102, 5103, 5104, 5105, 5106, 5107, 5108, 5109, 5110, 5111, 5112, 5113, 5114, 5115, 5116, 5117, 5118, 5119, 5120, 5121, 5122, 5123, 5124, 5125, 5126, 5127, 5128, 5129, 5130, 5131, 5132, 5133, 5134, 5135, 5136, 5137, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5145, 5146, 5147, 5148, 5149, 5150, 5151, 5152, 5153, 5154, 5155, 5156, 5157, 5158, 5159, 5160, 5161, 5162, 5163, 5164, 5165, 5166, 5167, 5168, 5169, 5170, 5171, 5172, 5173, 5174, 5175, 5176, 5177, 5178, 5179, 5180, 5181, 5182, 5183, 5184, 5185, 5186, 5187, 5188, 5189, 5190, 5191, 5192, 5193, 5194, 5195, 5196, 5197, 5198, 5199, 5200, 5201, 5202, 5203, 5204, 5205, 1565, 5850, 5851, 5852, 5853, 5854, 3406, 2628, 2633, 140, 2631, 2653, 2654, 2655, 2656, 2657, 5544, 6271, 6232, 6213, 6214, 6215, 6216, 6217, 6218, 6219, 6220, 6221, 6222, 6223, 6224, 6225, 6226, 6227, 6237, 6238, 6239, 6240, 6241, 6242, 6243, 6244, 6245, 6246, 25, 26, 27, 33, 34, 4873, 4879, 4880, 2669, 2294, 2295, 2296, 2297, 2298, 2299, 4387, 4388, 5259, 5260, 5261, 5262, 5263, 5264, 5265, 3070, 3071, 5672, 3106, 3107, 3108, 3109, 3477, 3532, 3533, 3534, 3535, 3536, 3537, 3538, 3539, 3540, 3541, 3542, 3543, 3544, 3545, 3546, 5276, 5277, 5278, 5279, 5302, 5303, 1090, 1035, 1036, 1037, 1038, 1039, 5675, 1082, 1083, 1084, 1085, 1951, 1952, 1953, 1954, 2679, 2680, 2681, 2682, 2683, 2684, 2685, 2686, 2687, 2688, 2689, 2690, 2691, 2692, 2693, 2694, 2695, 2696, 2697, 2698, 2665, 2666, 2667, 2668, 6231, 5589, 5590, 5591, 5378, 5379, 5380, 2212, 2213, 5372, 4928, 4929, 4930, 2322, 2300, 6168, 3561, 3562, 3563, 3564, 3565]","[17, 22]"
Annapolis PM2_T01,R3d,"[3565, 246]","[3565, 3566, 3567, 3568, 3569, 3570, 3571, 3572, 3573, 3574, 3575, 3576, 3577, 3578, 3579, 3580, 5752, 4426, 2619, 2620, 2621, 6104, 6105, 6106, 6107, 6108, 6109, 6110, 6111, 6112, 6113, 6114, 6115, 6116, 6117, 6118, 6119, 6120, 6121, 6122, 6123, 6124, 6125, 1401, 1402, 1403, 1404, 1410, 1411, 1412, 1413, 1414, 1094, 1095, 1096, 1237, 1238, 5605, 246]","[22, 9]"
County Ride 1A_T01,R2b,"[2330, 3311]","[2330, 1102, 1103, 386, 3301, 3302, 3303, 3304, 3305, 3306, 3307, 3308, 3309, 3310, 3311]","[17, 25]"
County Ride 1A_T01,R2b,"[2539, 2302]","[2539, 2540, 2541, 2542, 5232, 5055, 5056, 5057, 5058, 5059, 5060, 5061, 5062, 5063, 5064, 5065, 5066, 5067, 5068, 5069, 5070, 5071, 5072, 5073, 5074, 5075, 5076, 5077, 5078, 5079, 5080, 5081, 5082, 5083, 5084, 5085, 5086, 5087, 5088, 5089, 5090, 5091, 5092, 5093, 5094, 5095, 5096, 5097, 5098, 5099, 5100, 5101, 5102, 5103, 5104, 5105, 5106, 5107, 5108, 5109, 5110, 5111, 5112, 5113, 5114, 5115, 5116, 5117, 5118, 5119, 5120, 5121, 5122, 5123, 5124, 5125, 5126, 5127, 5128, 5129, 5130, 5131, 5132, 5133, 5134, 5135, 5136, 5137, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5145, 5146, 5147, 5148, 5149, 5150, 5151, 5152, 5153, 5154, 5155, 5156, 5157, 5158, 5159, 5160, 5161, 5162, 5163, 5164, 5165, 5166, 5167, 5168, 5169, 5170, 5171, 5172, 5173, 5174, 5175, 5176, 5177, 5178, 5179, 5180, 5181, 5182, 5183, 5184, 5185, 5186, 5187, 5188, 5189, 5190, 5191, 5192, 5193, 5194, 5195, 5196, 5197, 5198, 5199, 5200, 5201, 5202, 5203, 5204, 5205, 1565, 5850, 5851, 5852, 5853, 5854, 3406, 2628, 2633, 140, 2631, 2653, 2654, 2655, 2656, 2657, 5545, 5546, 6248, 6262, 2302]","[11, 19]"
