service_id,trip_id,stop_id,stop_sequence,arrival_time,departure_time,dwelling_time
BL_1_1,0,9,0,09:42:00,09:42:00,00:00:00
BL_1_1,0,13,1,10:46:00,10:46:00,00:00:00
BL_1_1,0,19,2,10:58:00,10:58:00,00:00:00
BL_1_1,0,11,3,11:07:00,11:07:00,00:00:00
BL_1_1,0,25,4,11:13:00,11:13:00,00:00:00
BL_3_1,1,23,0,10:02:00,10:02:00,00:00:00
BL_3_1,1,16,1,10:07:00,10:07:00,00:00:00
BL_3_1,1,12,2,10:11:00,10:11:00,00:00:00
BL_3_1,1,18,3,10:18:00,10:18:00,00:00:00
BL_2_1,2,23,0,07:35:00,07:35:00,00:00:00
BL_2_1,2,16,1,07:40:00,07:40:00,00:00:00
BL_2_1,2,12,2,07:42:00,07:42:00,00:00:00
BL_2_1,2,9,3,07:46:00,07:46:00,00:00:00
