route_id,sequence_no,section_id
BL_1_1,0,166
BL_1_1,1,5593
BL_1_1,2,5594
BL_1_1,3,5595
BL_1_1,4,5596
BL_1_1,5,5597
BL_1_1,6,5598
BL_1_1,7,5599
BL_1_1,8,5600
BL_1_1,9,5601
BL_1_1,10,5602
BL_1_1,11,5603
BL_1_1,12,5604
BL_1_1,13,147
BL_1_1,14,148
BL_1_1,15,149
BL_1_1,16,150
BL_1_1,17,151
BL_1_1,18,152
BL_1_1,19,153
BL_1_1,20,154
BL_1_1,21,3458
BL_1_1,22,3459
BL_1_1,23,3460
BL_1_1,24,3461
BL_1_1,25,3462
BL_1_1,26,3463
BL_1_1,27,3464
BL_1_1,28,3465
BL_1_1,29,3466
BL_1_1,30,3467
BL_1_1,31,3468
BL_1_1,32,3469
BL_1_1,33,3470
BL_1_1,34,3471
BL_1_1,35,3472
BL_1_1,36,3473
BL_1_1,37,3443
BL_1_1,38,5244
BL_1_1,39,5245
BL_1_1,40,5246
BL_1_1,41,5247
BL_1_1,42,5248
BL_1_1,43,5249
BL_1_1,44,5250
BL_1_1,45,5251
BL_1_1,46,5243
BL_1_1,47,2554
BL_1_1,48,733
BL_1_1,49,734
BL_1_1,50,735
BL_1_1,51,736
BL_1_1,52,737
BL_1_1,53,5625
BL_1_1,54,5626
BL_1_1,55,5627
BL_1_1,56,5628
BL_1_1,57,5629
BL_1_1,58,5630
BL_1_1,59,5631
BL_1_1,60,4653
BL_1_1,61,4654
BL_1_1,62,4655
BL_1_1,63,4656
BL_1_1,64,4657
BL_1_1,65,4658
BL_1_1,66,4659
BL_1_1,67,3418
BL_1_1,68,3419
BL_1_1,69,3420
BL_1_1,70,3421
BL_1_1,71,3422
BL_1_1,72,3423
BL_1_1,73,3424
BL_1_1,74,3425
BL_1_1,75,3426
BL_1_1,76,226
BL_1_1,77,227
BL_1_1,78,228
BL_1_1,79,229
BL_1_1,80,230
BL_1_1,81,5568
BL_1_1,82,5569
BL_1_1,83,5570
BL_1_1,84,5571
BL_1_1,85,5572
BL_1_1,86,5573
BL_1_1,87,3061
BL_1_1,88,3062
BL_1_1,89,3063
BL_1_1,90,3064
BL_1_1,91,3065
BL_1_1,92,3066
BL_1_1,93,3067
BL_1_1,94,3068
BL_1_1,95,3069
BL_1_1,96,2112
BL_1_1,97,2113
BL_1_1,98,2114
BL_1_1,99,2115
BL_1_1,100,2116
BL_1_1,101,2117
BL_1_1,102,2118
BL_1_1,103,2119
BL_1_1,104,2120
BL_1_1,105,2121
BL_1_1,106,3073
BL_1_1,107,3074
BL_1_1,108,3075
BL_1_1,109,3076
BL_1_1,110,3077
BL_1_1,111,3078
BL_1_1,112,3079
BL_1_1,113,3080
BL_1_1,114,3081
BL_1_1,115,3082
